time,semitone,f0
0.58,68,404.832
0.59,68,403.707
0.601,68,405.503
0.612,68,415.662
0.623,68,416.821
0.633,68,416.457
0.644,68,416.672
0.655,68,416.366
0.665,68,415.147
0.676,68,414.42
0.687,68,413.71
0.698,68,413.865
0.708,68,414.658
0.719,68,415.688
0.73,68,416.181
0.74,68,416.221
0.751,68,416.824
0.762,68,417.96
0.773,68,418.641
0.783,68,418.628
0.794,68,418.419
0.805,68,417.943
0.815,68,417.165
0.826,68,416.743
0.837,68,417.003
0.848,68,417.843
0.858,68,417.665
0.869,68,417.347
0.88,68,417.23
0.89,68,417.245
0.901,68,417.2
0.912,68,416.857
0.923,68,416.246
0.933,68,415.572
0.944,68,415.236
0.955,68,415.323
0.965,68,415.326
0.976,68,415.532
0.987,68,415.871
0.998,68,416.65
1.008,68,416.95
1.019,68,417.171
1.03,68,417.946
1.04,68,418.123
1.051,68,418.067
1.062,68,418.139
1.073,68,417.406
1.083,68,416.402
1.094,68,415.759
1.105,68,415.932
1.115,68,416.39
1.126,68,416.665
1.137,68,417.099
1.148,68,416.621
1.158,68,415.391
1.169,68,414.586
1.18,68,414.663
1.19,68,415.005
1.201,68,415.725
1.212,68,416.196
1.223,68,415.628
1.233,68,415.286
1.244,68,415.685
1.255,68,415.934
1.265,68,415.534
1.276,68,413.9
1.287,68,410.18
1.298,68,405.073
1.308,67,394.365
1.319,66,376.039
1.33,66,360.311
1.34,65,339.949
1.351,64,324.74
1.362,63,318.42
1.373,63,316.114
1.383,63,316.002
1.394,63,316.973
1.405,63,319.051
1.415,64,326.489
1.426,64,327.298
1.437,64,327.549
1.448,64,328.129
1.458,64,328.961
1.469,64,329.503
1.48,64,329.868
1.49,64,330.102
1.501,64,330.596
1.512,64,331.016
1.523,64,330.902
1.533,64,330.447
1.544,64,330.43
1.555,64,330.752
1.565,64,331.533
1.576,64,331.794
1.587,64,332.071
1.598,64,331.714
1.608,64,331.08
1.619,64,331.223
1.63,64,331.086
1.64,64,330.55
1.651,64,329.925
1.662,64,329.339
1.673,64,329.111
1.683,64,329.443
1.694,64,330.128
1.705,64,331.134
1.715,64,332.324
1.726,64,333.079
1.737,64,333.573
1.748,64,333.52
1.758,64,333.377
1.769,64,333.11
1.78,64,332.472
1.79,64,331.483
1.801,64,330.559
1.812,64,330.093
1.823,64,329.976
1.833,64,329.514
1.844,64,329.217
1.855,64,329.685
1.865,64,330.463
1.876,64,332.165
1.887,64,334.338
1.898,64,336.242
1.908,64,337.476
1.919,64,337.192
1.93,64,335.851
1.94,64,334.411
1.951,64,332.465
1.962,64,329.86
1.973,64,328
1.983,64,327.941
1.994,64,329.678
2.005,64,332.047
2.015,64,335.654
2.026,64,338.913
2.037,65,341.293
2.048,65,342.097
2.058,65,340.941
2.069,64,336.993
2.433,60,267.87
2.444,60,264.377
2.455,60,260.399
2.465,60,260.288
2.476,60,268.418
2.487,61,272.876
2.498,61,273.988
2.508,61,274.185
2.519,61,274.938
2.53,61,276.984
2.54,61,279.637
2.551,61,281.202
2.562,61,281.011
2.573,61,280.015
2.583,61,276.967
2.594,61,273.98
2.605,61,270.848
2.615,61,269.318
2.626,60,267.214
2.637,61,270.132
2.648,61,275.629
2.658,61,281.688
2.669,62,288.685
2.68,62,292.357
2.69,62,293.137
2.701,62,292.013
2.712,62,288.372
2.723,61,284.435
2.733,61,282.01
2.744,61,283.263
2.755,62,288.988
2.765,63,308.657
2.776,64,324.311
2.787,64,336.608
2.798,65,350.133
2.808,66,361.727
2.819,66,370.985
2.83,66,376.917
2.84,66,379.948
2.851,66,380.522
2.862,67,381.169
2.873,67,383.279
2.883,67,386.459
2.894,67,390.515
2.905,67,395.915
2.915,67,402.194
2.926,68,409.36
2.937,68,415.928
2.948,68,420.924
2.958,68,423.003
2.969,68,422.897
2.98,68,421.966
2.99,68,420.683
3.001,68,419.448
3.012,68,417.412
3.023,68,415.527
3.033,68,414.697
3.044,68,415.982
3.055,68,417.063
3.065,68,417.34
3.076,68,417.883
3.087,68,418.58
3.098,68,418.89
3.108,68,418.992
3.119,68,418.798
3.13,68,418.68
3.14,68,418.772
3.151,68,419.385
3.162,68,420.142
3.173,68,420.364
3.183,68,419.899
3.194,68,417.599
3.205,68,417.405
3.215,68,418.141
3.226,68,418.379
3.237,68,418.446
3.248,68,418.174
3.258,68,417.665
3.269,68,416.693
3.28,68,415.903
3.29,68,416.203
3.301,68,419.98
3.312,68,423.875
3.323,68,424.592
3.333,68,424.491
3.344,68,423.301
3.355,68,421.578
3.365,68,419.711
3.376,68,418.186
3.387,68,416.597
3.398,68,415.876
3.408,68,415.403
3.419,68,414.52
3.43,68,412.888
3.44,68,413.312
3.451,68,416.27
3.462,68,419.404
3.473,68,422.432
3.483,68,423.939
3.494,68,423.709
3.505,68,423.287
3.515,68,422.054
3.526,68,420.087
3.537,68,418.453
3.548,68,416.763
3.558,68,415.263
3.569,68,414.073
3.58,68,414.378
3.59,68,414.912
3.601,68,416.017
3.612,68,418.074
3.623,68,421.45
3.633,68,422.489
3.644,68,422.794
3.655,68,422.4
3.665,68,421.958
3.676,68,422.072
3.687,68,421.645
3.698,68,421.437
3.708,68,421.065
3.719,68,420.789
3.73,68,420.57
3.74,68,420.328
3.751,68,420.433
3.762,68,420.597
3.773,68,419.915
3.783,68,419.317
3.794,68,419.111
3.805,68,419.283
3.815,68,418.896
3.826,68,418.719
3.837,68,418.807
3.848,68,418.123
3.858,68,418.146
3.869,68,418.023
3.88,68,418.068
3.89,68,418.096
3.901,68,418.143
3.912,68,418.198
3.923,68,417.848
3.933,68,417.584
3.944,68,417.952
3.955,68,417.987
3.965,68,417.461
3.976,68,417.049
3.987,68,416.856
3.998,68,416.613
4.008,68,416.253
4.019,68,416.078
4.03,68,416.298
4.04,68,416.493
4.051,68,416.098
4.062,68,415.162
4.073,68,414.569
4.083,68,412.549
4.094,68,409.448
4.105,67,403.235
4.115,67,391.732
4.126,67,384.681
4.137,66,373.417
4.148,65,358.527
4.158,65,339.937
4.169,64,325.42
4.18,64,322.473
4.19,64,322.987
4.201,64,323.009
4.212,64,323.072
4.223,64,324.389
4.233,64,325.655
4.244,64,327.132
4.255,64,329.32
4.265,64,331.802
4.276,64,333.717
4.287,64,334.995
4.298,64,335.963
4.308,64,336.148
4.319,64,335.549
4.33,64,334.691
4.34,64,333.666
4.351,64,332.97
4.362,64,332.24
4.373,64,331.464
4.383,64,331.079
4.394,64,331.049
4.405,64,330.916
4.415,64,330.596
4.426,64,330.659
4.437,64,330.497
4.448,64,330.578
4.458,64,330.872
4.469,64,331.063
4.48,64,331.442
4.49,64,331.393
4.501,64,331.57
4.512,64,331.503
4.523,64,330.977
4.533,64,330.835
4.544,64,330.761
4.555,64,330.248
4.565,64,329.773
4.576,64,329.859
4.587,64,329.843
4.598,64,329.758
4.608,64,329.252
4.619,64,328.352
4.63,64,327.706
4.64,64,327.662
4.651,64,327.944
4.662,64,327.35
4.673,64,325.278
4.683,64,326.79
4.694,64,328.994
4.705,64,331.497
4.715,65,342.338
4.726,65,342.611
4.737,65,341.715
4.748,65,339.585
4.758,64,336.874
4.769,64,333.585
4.78,64,329.952
4.79,64,327.568
4.801,64,326.898
4.812,64,327.291
4.823,64,327.352
4.833,64,328.648
4.844,64,332.515
4.855,64,334.855
4.865,64,336.377
4.876,64,336.837
4.887,64,336.064
4.898,64,334.388
4.908,64,332.556
4.919,64,330.139
4.93,64,327.007
4.94,64,323.343
4.951,63,319.931
4.962,63,318.061
4.973,63,318
4.983,64,324.465
4.994,64,331.805
5.005,64,335.652
5.015,65,339.705
5.026,65,341.967
5.037,65,342.676
5.048,65,342.295
5.058,65,340.982
5.069,65,339.958
5.08,65,340.393
5.09,65,342.859
5.101,65,348.291
5.112,65,354.727
5.123,66,361.166
5.133,66,367.634
5.144,66,372.768
5.155,66,376.051
5.165,66,377.233
5.176,66,376.467
5.187,66,375.023
5.198,66,373.215
5.208,66,371.388
5.219,66,370.593
5.23,66,370.158
5.24,66,369.947
5.251,66,368.903
5.262,66,366.399
5.273,66,366.352
5.283,66,370.792
5.294,66,375.694
5.305,66,376.346
5.315,66,376.147
5.326,66,375.293
5.337,66,374.694
5.348,66,374.029
5.358,66,373.235
5.369,66,372.612
5.38,66,371.845
5.39,66,370.39
5.401,66,368.467
5.412,66,368.595
5.423,66,369.633
5.433,66,370.429
5.444,66,371.238
5.455,66,371.888
5.465,66,372.126
5.476,66,372.52
5.487,66,372.539
5.498,66,372.54
5.508,66,372.831
5.519,66,373.071
5.53,66,375.246
5.54,66,379.693
