time,semitone
3840,60
4200,58
4440,56
4680,61
5160,60
5400,58
5640,56
7680,53
8040,60
8280,61
8640,53
9000,60
9240,61
9600,53
9960,56
10320,56
10560,56
11040,55
11520,56
11880,63
12120,61
12360,60
12600,60
12840,64
13200,65
13440,67
13760,67
14060,70
14420,68
15380,65
15740,63
15980,61
16340,63
16700,61
16940,60
17300,61
17660,60
18020,58
18260,60
20060,60
20180,60
20420,65
20540,65
20780,67
21020,70
21380,69
21500,67
21740,65
21980,62
23900,62
24020,62
24260,67
24380,67
24620,69
24860,70
25220,70
25340,69
25580,67
25940,70
26300,69
26660,67
26900,65
27380,64
27740,60
27860,60
28100,65
28220,65
28460,67
28700,70
29060,69
29180,67
29420,65
29660,62
31580,62
31700,62
31940,67
32060,67
32300,69
32540,70
32900,70
33020,69
33260,67
33620,70
33980,69
34340,67
34580,65
35060,64
35540,72
37340,65
37460,72
37700,70
37820,70
38060,69
38300,70
38540,69
38780,67
39020,69
39380,70
41180,62
41300,70
41540,69
41660,69
41900,67
42140,67
42380,65
42620,64
42860,65
43220,60
43580,67
43940,65
44780,57
45140,58
45860,65
45980,67
46100,65
46580,64
47060,65
48980,60
49340,58
49580,56
49940,61
50300,60
50540,58
50780,56
52820,53
53180,60
53420,61
53780,53
54140,60
54380,61
54740,53
55100,56
55460,56
55700,56
56180,55
56660,56
57020,63
57260,61
57500,60
57740,64
57980,65
58220,67
58580,67
58900,67
59140,70
59500,68
60340,60
60460,65
60840,63
61080,61
61440,63
61800,61
62040,60
62760,60
63120,58
63360,60
65160,60
65500,65
65620,65
65860,67
66100,70
66460,69
66580,67
66820,65
67060,62
69000,62
69340,67
69460,67
69700,69
69940,70
70300,70
70420,69
70660,67
71020,70
71400,69
71760,67
72000,65
72480,64
72840,60
73180,65
73300,65
73540,67
73780,70
74140,69
74260,67
74500,65
74740,62
76680,62
77020,67
77140,67
77380,69
77620,70
77980,70
78100,69
78340,67
78700,70
79080,69
79440,67
79680,65
80160,64
82440,65
82780,70
82900,70
83140,69
83380,70
83620,69
83860,67
84100,69
84460,70
86280,62
86620,69
86740,69
86980,67
87220,67
87460,65
87700,64
87940,65
88300,60
88680,67
89040,65
89880,57
90960,65
91080,67
91200,65
91680,64
94300,65
94420,65
94780,65
94900,67
95260,68
95380,67
95620,65
95860,63
96340,65
96580,67
96820,68
97780,56
97900,63
98280,61
98520,60
98760,63
99720,58
100200,63
100440,61
100680,63
101980,65
102100,65
102460,65
102580,67
102940,68
103060,67
103300,65
103660,63
103900,63
104020,67
104380,67
104500,70
104980,68
105460,63
105580,63
105820,65
105940,61
106180,60
106420,61
107380,65
107500,68
107740,68
107860,70
108100,70
108340,72
108820,70
126600,60
126940,65
127060,65
127300,67
127540,70
127900,69
128020,67
128260,65
128500,62
130440,62
130780,67
130900,67
131140,69
131380,70
131740,70
131860,69
132100,67
132460,70
132840,69
133200,67
133440,65
133920,64
134280,60
134620,65
134740,65
134980,67
135220,70
135580,69
135700,67
135940,65
136180,62
138120,62
138460,67
138580,67
138820,69
139060,70
139420,70
139540,69
139780,67
140140,70
140520,69
140880,67
141120,65
141600,64
143880,65
144220,70
144340,70
144580,69
144820,70
145060,69
145300,67
145540,69
145900,70
147720,62
148060,69
148180,69
148420,67
148660,67
148900,65
149140,64
149380,65
149740,60
150120,67
150480,65
151320,57
152400,65
152520,67
152640,65
153120,64
