time,semitone
13620,64
13740,69
14040,68
14280,66
14760,68
15000,69
15240,64
15720,62
15960,61
16200,64
17520,64
17640,69
17880,68
18120,66
18600,68
18840,69
19200,73
19560,71
19800,69
20160,71
21360,64
21480,69
21720,68
21960,66
22440,68
22680,69
23040,64
23400,62
23640,61
24000,64
24240,64
24360,68
24720,68
24960,68
25320,69
25680,66
26640,71
26880,69
27360,68
27600,68
31080,73
31320,69
31560,71
32040,68
32280,69
32640,64
33000,73
33240,69
33600,71
34920,73
35160,71
35520,69
35880,74
36120,73
36480,69
36840,71
37080,73
37440,71
38760,73
39000,71
39240,69
39720,68
39960,69
40320,64
40680,68
40920,69
41280,64
41640,66
41880,68
42240,71
42600,69
43920,68
44160,71
45120,69
45840,61
46080,62
46320,64
46560,71
46800,69
47280,68
49440,69
49680,68
49920,66
50160,69
50400,78
50640,76
51120,69
51360,74
51600,73
52080,71
52320,69
52560,71
53280,69
53520,68
53760,66
54000,69
54240,80
54480,76
54960,69
55440,73
55920,74
56160,76
56400,76
57120,69
57360,68
57600,66
57840,69
58080,78
58320,76
58800,69
59040,74
59280,73
59760,71
60000,69
60240,71
60720,73
61080,74
61440,73
61800,71
62160,71
63120,61
63360,62
63600,64
63840,71
64080,69
64560,68
67560,69
67800,68
68040,66
68520,68
68760,69
69120,64
69480,62
69840,61
70080,64
71400,69
71760,68
72000,66
72360,68
72720,69
72960,73
73320,71
73680,69
73920,71
75120,64
75240,69
75600,68
75840,66
76200,68
76560,69
76800,64
77160,62
77520,61
77760,64
78120,66
78480,68
78720,68
79080,69
79440,62
80400,69
80640,68
81120,64
81360,65
84000,69
84240,68
84480,66
84720,69
84960,78
85200,76
85680,69
85920,74
86160,73
86640,71
86880,69
87120,71
87840,69
88080,68
88320,66
88560,69
88800,80
89040,76
89520,69
90000,73
90480,74
90720,76
90960,76
91680,69
91920,68
92160,66
92400,69
92640,78
92880,76
93360,69
93600,74
93840,73
94320,71
94560,69
94800,71
95280,73
95640,74
96000,73
96360,71
96720,71
97680,61
97920,62
98160,64
98400,71
98640,69
99120,68
102000,69
102120,74
102480,73
102720,71
103080,76
103440,74
103680,73
104040,71
104400,73
104640,69
105840,69
105960,74
106320,73
106560,71
106920,69
107280,68
107520,71
107880,69
109680,69
109800,74
110160,73
110400,71
110760,76
111000,78
111360,73
111720,71
111960,73
112320,69
113280,71
114960,69
115200,71
115440,73
115560,73
133920,69
134160,68
134400,66
134640,69
134880,78
135120,76
135600,69
135840,74
136080,73
136560,71
136800,69
137040,71
137760,69
138000,68
138240,66
138480,69
138720,80
138960,76
139440,69
139920,73
140400,74
140640,76
140880,76
141600,69
141840,68
142080,66
142320,69
142560,78
142800,76
143280,69
143520,74
143760,73
144240,71
144480,69
144720,71
145200,73
145560,74
145920,73
146280,71
146640,71
147600,61
147840,62
148080,64
148320,71
148560,69
149040,68
149280,69
149520,68
149760,66
150000,69
150240,78
150480,76
150960,69
151200,74
151440,73
151920,71
152160,69
152400,71
153120,69
153360,68
153600,66
153840,69
154080,80
154320,76
154800,69
155280,73
155760,74
156000,76
156240,76
156960,69
157200,68
157440,66
157680,69
157920,78
158160,76
158640,69
158880,74
159120,73
159600,71
159840,69
160080,71
160560,73
160920,74
161280,73
161640,71
162000,71
162960,61
163200,62
163440,64
163680,71
163920,69
164400,68
