time,semitone
6240,56
6480,51
6720,51
7020,52
7260,56
7500,56
8160,54
8400,54
10020,54
10320,54
10560,54
10800,57
11040,56
11280,56
13920,56
14160,56
14400,56
14640,54
14880,52
15120,61
15780,58
16020,54
16740,49
16920,51
17040,52
17280,56
17520,54
17820,52
18000,54
21600,61
21840,61
22080,61
22260,66
22500,64
22800,59
24000,52
24240,54
24420,56
24720,59
25200,57
25440,56
25680,54
26100,52
26340,56
26640,54
27060,52
29280,61
29520,61
29760,61
30000,66
30180,64
30480,59
31620,52
31920,54
32160,56
32400,59
32820,57
33120,56
33360,59
34080,52
34320,62
34800,60
35220,59
35760,57
36000,59
36240,59
37320,47
37440,57
37560,56
37860,54
38160,47
38340,54
38640,56
38880,52
39060,54
39600,56
39840,51
40020,52
41280,59
41400,57
41760,57
42060,56
42270,57
42510,59
42690,56
42990,57
43470,59
43710,56
43950,57
45150,57
45270,56
45630,54
45870,47
46110,54
46290,56
46590,52
46830,54
47250,56
47490,51
47790,52
48912,59
49032,57
49392,57
49632,56
49872,57
50190,59
50430,56
50610,57
51150,59
51330,56
51570,57
56130,56
56370,52
56550,51
56850,52
57090,56
57330,56
58050,54
58290,54
59970,54
60210,54
60450,54
60690,57
60870,56
61170,56
63810,56
63990,56
64230,56
64470,54
64710,52
64950,61
65670,58
65910,54
66630,49
66810,51
66930,52
67170,56
67392,54
67572,52
67812,54
71490,61
71730,61
71970,61
72210,66
72390,64
72690,59
73890,52
74070,54
74310,56
74550,59
75072,57
75312,56
75552,54
75972,52
76212,56
76512,54
76950,52
79170,61
79410,61
79650,61
79890,66
80130,64
80370,59
81570,52
81810,54
82050,56
82290,59
82710,57
83010,56
83250,59
83910,52
84150,62
84690,60
85110,59
85650,57
85890,59
86130,59
87192,47
87312,57
87432,56
87732,54
88212,47
88350,54
88530,56
88770,52
89010,54
89430,56
89730,51
89970,52
91110,59
91230,57
91590,57
91890,56
92070,57
92352,59
92592,56
92832,57
93312,59
93552,56
93792,57
95010,57
95130,56
95490,54
95730,47
95910,54
96150,56
96450,52
96630,54
97110,56
97410,51
97650,52
98790,59
98910,57
99270,57
99570,56
99750,57
100032,59
100212,56
100512,57
100992,59
101172,56
101412,57
102690,54
102930,56
103170,61
103410,59
105090,63
105330,63
105990,61
106290,59
106950,52
107550,59
108930,66
109170,66
109830,68
110130,64
110850,52
110970,54
111090,56
111330,59
111510,57
111750,56
112110,59
112530,57
112770,56
113190,52
115650,60
115890,60
116130,64
116370,62
116790,59
117552,59
117792,59
118032,59
118272,57
118512,55
118752,57
119430,57
119670,57
119970,57
120150,59
120450,57
120690,56
123330,60
123570,60
123810,64
124050,62
124290,60
124530,59
125250,59
125490,59
125730,59
125910,57
126150,55
126390,59
127152,59
127332,59
127632,59
127632,61
127872,63
128292,66
131370,47
131490,57
131610,56
131970,54
132270,47
132510,54
132690,56
132930,52
133110,54
133590,56
133890,51
134070,52
135270,59
135390,57
135810,57
135990,56
136230,57
136470,59
136710,56
136950,57
137430,59
137670,56
137910,57
139110,57
139230,56
139590,54
139830,47
140070,54
140352,56
140592,52
140772,54
141192,56
141492,51
141732,52
142950,59
143070,57
143430,57
143670,56
143910,57
144150,59
144390,56
144630,57
145110,59
145350,56
145590,57
146790,54
147030,56
147270,61
147510,59
149190,63
149430,63
150090,61
150390,59
151110,52
151350,59
153030,66
153270,66
153930,68
154170,64
154950,52
155070,54
155190,56
155430,59
155670,57
155910,56
156630,54
157110,52
160590,47
160710,57
160830,56
161130,54
161430,47
161730,54
163290,52
165312,47
165432,57
165492,56
165852,54
166212,47
166452,54
167430,52
