time,semitone
14340,66
14820,69
16320,61
16800,69
18840,57
19140,66
19260,67
19620,66
19920,64
20400,62
21240,59
22080,64
22200,66
22620,64
23460,62
24420,56
25860,62
25980,64
26400,62
27300,61
29820,66
30300,69
31680,73
32160,74
34320,62
34560,69
34680,71
34980,69
35280,67
35820,66
36600,62
37500,64
37980,62
39780,64
40080,62
40320,69
40860,68
41820,64
45060,59
45600,62
47040,64
47160,66
47580,62
52740,59
53280,62
54720,64
55200,62
55680,73
56100,74
56580,73
57060,69
58080,62
58560,62
58800,64
59040,66
60420,59
60960,62
62460,64
62580,66
62820,64
62880,62
66720,64
66960,62
67260,69
67680,68
68640,64
69600,64
70080,68
70620,69
72000,69
72480,67
74400,67
74820,66
75180,67
75300,66
75420,64
75900,62
76320,64
78720,69
79680,69
80160,67
82020,67
82560,66
82980,67
83460,69
83940,69
86880,69
87360,69
87780,69
88260,69
88740,71
89220,73
89700,66
94560,66
95040,66
95460,66
95940,66
96420,67
96960,69
97440,71
98880,74
99360,69
100800,66
101280,68
102660,76
103200,69
104160,69
104640,69
105060,69
105540,69
106080,71
106560,73
106980,74
107160,76
107520,74
108540,74
109020,76
109980,78
110880,73
112320,74
112440,76
112800,74
114240,73
114360,74
114540,73
114660,71
118560,69
118680,71
118860,69
118920,67
119040,69
123780,66
124260,69
125760,61
126240,69
128280,57
128580,66
128700,67
129060,66
129360,64
129840,62
130680,59
131520,64
131640,66
132060,64
132900,62
133860,56
135300,62
135420,64
135840,62
136740,61
139260,66
139740,69
141120,73
141600,74
143760,62
144000,69
144120,71
144420,69
144720,67
145260,66
146040,62
146940,64
147420,62
149220,64
149520,62
149760,69
150300,68
151260,64
154500,59
155040,62
156480,64
156600,66
157020,62
162180,59
162720,62
164160,64
164640,62
165120,73
165540,74
166020,73
166500,69
167520,62
168000,62
168240,64
168480,66
169860,59
170400,62
171900,64
172020,66
172260,64
172320,62
176160,64
176400,62
176700,69
177120,68
178080,64
179040,64
179520,68
180060,69
181440,69
181920,67
183840,67
184260,66
184620,67
184740,66
184860,64
185340,62
185760,64
188160,69
189120,69
189600,67
191460,67
192000,66
192420,67
192900,69
193380,69
196320,69
196800,69
197220,69
197700,69
198180,71
198660,73
199140,66
204000,66
204480,66
204900,66
205380,66
205860,67
206400,69
206880,71
208320,74
208800,69
210240,66
210720,68
212100,76
212640,69
213600,69
214080,69
214500,69
214980,69
215520,71
216000,73
216420,74
216600,76
216960,74
217980,74
218460,76
219420,78
220320,73
221760,74
221880,76
222240,74
223680,73
223800,74
223980,73
224100,71
227940,69
228060,71
228240,69
228300,67
228420,69
228900,69
229380,69
229860,69
230340,69
230820,71
231360,73
231840,66
236640,66
237120,66
237540,66
238020,66
238500,67
239040,69
239520,71
240960,74
241440,69
242880,66
243360,68
244740,76
245280,69
246240,69
246720,69
247140,69
247620,69
248160,71
248640,73
249060,74
249240,76
249600,74
250620,74
251100,76
252060,78
252960,73
254400,74
254520,76
254880,74
256320,73
256440,74
256620,73
256740,71
260640,69
260760,71
260940,69
261000,67
261120,69
296160,69
296640,69
297060,69
297540,69
298020,71
298500,73
298980,66
303840,66
304320,66
304740,66
305220,66
305700,67
306240,69
306720,71
308160,74
308640,69
310080,66
310560,68
311940,76
312480,69
313440,69
313920,69
314340,69
314820,69
315360,71
315840,73
316260,74
316440,76
316800,74
317820,74
318300,76
319260,78
320160,73
321600,74
321720,76
322080,74
323520,73
323640,74
323820,73
323940,71
327780,69
327900,71
328080,69
328140,67
328260,69
328740,69
329220,69
329700,69
330180,69
330660,71
331200,73
331680,66
336480,66
336960,66
337380,66
337860,66
338340,67
338880,69
339360,71
340800,74
341280,69
342720,66
343200,68
344580,76
345120,69
346080,69
346560,69
346980,69
347460,69
348000,71
348480,73
348900,74
349080,76
349440,74
350460,74
350940,76
351900,78
352800,73
354240,74
354360,76
354720,74
356160,73
356280,74
356460,73
356580,71
360480,69
360600,71
360780,69
360840,67
360960,69
