time,semitone
9600,63
9840,63
10080,63
10320,62
10800,63
11040,62
11280,60
13440,63
13680,63
13920,63
14160,65
14640,65
14880,68
15120,67
17280,63
17520,63
17760,63
18000,62
18480,63
18960,60
21000,60
21120,63
21360,63
21600,63
21840,65
22320,58
22560,58
22800,67
24840,60
24960,63
25200,62
25320,63
25560,70
25920,62
26640,63
26880,60
28800,63
29040,63
29160,63
29400,70
29760,68
30000,67
30120,65
30360,63
30720,67
32640,63
32880,63
33000,63
33240,70
33600,62
34320,63
34560,60
36480,63
36720,63
36840,63
37080,70
37440,68
37680,67
37800,65
38040,63
38400,67
41520,67
41760,72
42000,75
42240,74
42960,72
43200,67
43920,63
44160,65
44880,67
45120,67
45840,67
46080,68
46320,67
46560,65
46800,63
47040,62
47520,67
48000,65
48720,63
49200,67
49440,72
49680,75
49920,74
50640,72
50880,67
51600,70
51840,77
52560,75
52800,75
53520,67
53760,68
54000,67
54240,65
54480,63
54720,62
55200,67
55680,67
56400,65
57120,67
57600,67
61440,63
61680,63
61920,63
62160,62
62640,63
62880,65
63120,60
65280,63
65520,63
65760,63
66000,65
66480,65
66720,68
66960,67
69120,63
69360,63
69600,63
69840,62
70320,63
70560,62
70800,60
72840,60
72960,63
73200,63
73440,63
73680,65
74160,58
74400,58
74640,67
78000,67
78240,72
78480,75
78720,74
79440,72
79680,67
80400,63
80640,65
81360,67
81600,67
82320,67
82560,68
82800,67
83040,65
83280,63
83520,62
84000,67
84480,65
85200,63
85680,67
85920,72
86160,75
86400,74
87120,72
87360,67
88080,70
88320,77
89040,75
89280,75
90000,67
90240,68
90480,67
90720,65
90960,63
91200,62
91680,67
92160,67
92880,65
93600,67
94080,67
96000,67
97440,65
97680,63
97920,67
98160,70
98640,65
99600,65
99720,63
99840,65
100080,67
100320,67
101280,65
101520,63
101760,65
102000,72
102480,70
103320,58
103440,63
103560,65
103680,67
105120,65
105360,63
105600,65
105840,70
106320,62
107280,63
107400,62
107520,60
107760,63
107880,70
108480,60
108720,63
108840,70
109440,72
109680,74
109920,75
110400,74
112560,67
112800,72
113040,75
113280,74
114000,72
114240,67
114960,63
115200,65
115920,67
116160,67
116880,67
117120,68
117360,67
117600,65
117840,63
118080,62
118560,67
119040,65
119760,63
120240,67
120480,72
120720,75
120960,74
121680,72
121920,67
122640,70
122880,77
123600,75
123840,75
124560,67
124800,68
125040,67
125280,65
125520,63
125760,62
126240,67
126720,67
127440,65
128160,67
128640,67
129840,67
130080,72
130320,75
130560,74
131280,72
131520,67
132240,63
132480,65
133200,67
133440,67
134160,67
134400,68
134640,67
134880,72
135120,75
135360,74
135840,67
136320,75
136680,77
137040,75
137520,67
137760,72
138000,75
138240,74
138960,72
139200,67
139920,70
140160,77
140880,75
141120,75
141840,67
142080,68
142320,67
142560,65
142800,63
143040,62
143520,67
144000,67
144720,65
145440,67
145920,67
