time,semitone
13680,66
13920,66
14160,66
14400,69
15120,62
15300,61
15840,59
16080,59
17460,71
17700,71
18000,71
18240,71
18960,66
19200,69
19680,67
19920,67
21360,67
21600,67
21840,67
22080,66
22800,61
23040,64
23520,62
23760,66
24720,61
24960,59
25920,71
26160,69
26340,67
26580,66
26880,69
27600,67
27720,66
27840,64
28740,65
28800,66
31620,71
32100,73
32580,75
32880,75
33120,75
33360,78
33600,76
34080,75
34320,73
35040,71
35280,71
36240,71
36300,73
36480,75
36720,75
36960,75
37200,75
37440,75
37920,73
38160,76
40080,75
40320,73
40560,73
40800,73
41040,73
41280,78
41760,73
42000,76
42660,75
42960,73
43680,71
43920,68
44640,73
44880,70
45360,66
49200,66
49440,66
49680,66
49860,67
49920,69
50520,66
50580,64
50640,62
50880,61
51300,59
51600,59
52980,69
53040,71
53040,70
53280,71
53520,71
53760,71
54480,69
54720,69
55200,67
55440,71
56880,67
57120,67
57360,67
57600,66
58320,61
58500,62
58560,64
58980,62
59220,64
59280,66
60180,62
60480,59
61380,69
61440,71
61680,69
61920,67
62160,66
62400,69
63120,67
63360,67
64020,69
64080,71
64320,69
65280,74
65760,76
66240,78
66480,78
66720,78
66960,81
67200,79
67920,78
68160,76
68880,74
69120,74
69840,74
69960,76
70080,78
70320,78
70560,78
70800,78
71040,78
71400,74
71460,73
71520,71
71760,79
73680,78
73920,76
74160,76
74400,76
74640,76
74820,79
74880,81
75360,76
75600,79
76320,78
76560,76
77280,74
77760,71
78240,76
78480,73
78960,73
78960,71
79020,69
79440,69
79680,74
80160,76
80640,78
81120,79
81420,78
81480,79
81540,78
97860,76
98340,78
98880,80
99120,80
99360,80
99600,83
99840,81
100320,80
100560,78
101280,76
101460,78
101520,80
102480,76
102540,78
102720,80
102900,80
103200,80
103440,80
103680,80
104040,76
104100,75
104160,73
104400,81
106260,80
106560,78
106800,78
107040,78
107280,78
107460,83
107460,80
108000,78
108180,81
108900,80
109200,78
109920,76
110160,73
110880,78
111120,75
113760,83
114000,83
114240,80
114480,80
114660,80
114900,80
115080,83
115140,85
115620,80
115860,78
116580,76
116880,80
117840,76
117900,78
118080,80
118260,80
118560,80
118740,80
118932,83
118992,85
119532,83
119772,83
120270,81
120750,81
121710,80
121950,78
122130,78
122430,78
122610,78
122850,83
122850,81
123390,78
123570,81
124032,80
124512,78
125052,76
125790,80
126210,76
126390,77
126450,78
129792,78
129852,80
130032,80
130332,80
130512,83
131232,76
131550,75
131970,73
132210,73
