time,semitone
20160,55
21120,52
21600,53
22080,55
25440,58
25920,57
26400,55
26880,53
27360,52
27840,53
28800,50
29280,52
29760,53
33120,55
33600,53
34080,52
34560,50
35040,48
35520,52
37440,50
38040,48
39000,57
41760,53
42240,55
42720,55
47040,55
48000,52
48480,53
48960,55
52320,58
52800,57
53280,55
53760,53
54240,52
54720,53
55680,50
56160,52
56640,53
60000,55
60480,53
60960,52
61440,50
61920,48
62400,52
64320,50
64920,48
65880,57
68640,57
69120,59
69600,60
72480,55
72960,54
73440,55
73920,65
74880,64
75840,62
76440,60
77400,59
79200,57
80160,58
80640,57
81120,57
81600,67
82560,65
83520,64
84480,62
84960,60
85440,64
85920,65
86400,64
86880,62
87840,65
88320,64
88800,62
89280,62
90240,60
91200,59
92160,60
92640,57
96000,57
96480,59
96960,60
97440,53
98400,60
102240,53
102720,60
103320,62
103800,59
104760,60
112320,55
113280,52
113760,53
114240,55
117600,58
118080,64
118080,57
118560,55
119040,53
119520,52
120000,53
120960,50
121440,52
121920,53
125280,55
125760,53
126240,52
126720,50
127200,48
127680,52
129600,50
130200,48
131160,57
133920,60
134400,60
134880,62
137760,55
138240,54
138720,55
139200,65
140160,64
141120,62
141720,60
142680,59
144480,57
145440,58
145920,57
146400,57
146880,67
147840,65
148800,64
149760,62
150240,60
150720,64
151200,65
151680,64
152160,62
153120,65
153600,64
154080,62
154560,62
155520,60
156480,59
157440,60
157920,64
161760,57
162000,59
162240,60
162720,53
163680,60
167520,53
168000,60
168600,62
169080,59
169920,64
187680,69
188160,69
188640,69
189120,67
190080,69
191040,64
191640,62
192600,61
194400,59
195360,60
195840,59
196320,59
196800,69
197760,67
198720,66
199680,64
200160,62
200640,66
201120,67
201600,66
202080,64
203040,67
203520,66
204000,64
204480,64
205440,62
206400,61
207360,62
207840,66
209760,62
211680,59
211920,61
212160,62
212640,55
213600,62
217440,55
217920,62
218520,64
219000,61
219840,69
226080,60
226560,59
227040,59
227520,66
228000,67
228480,59
228960,62
229440,66
229920,67
230400,59
230880,62
231360,66
231840,67
232320,66
232800,64
233760,67
234240,66
234720,64
235200,64
236160,62
237120,61
238080,62
238560,71
241920,59
242400,61
242880,62
243360,55
244320,62
249600,69
250080,67
250560,66
251040,62
251520,59
252000,64
252480,62
256200,57
256380,62
257100,64
257580,61
258540,62
262080,61
264000,61
264240,61
264480,61
265920,63
267840,63
268080,63
268320,63
268560,63
