time,semitone
7680,48
9600,48
11460,48
19200,60
19680,57
20160,55
20640,52
20880,53
21120,55
21600,52
21840,53
22080,55
22560,57
23040,50
26820,60
27360,57
27840,55
28320,52
28560,53
28800,55
29280,52
29520,53
29760,55
30240,57
30720,50
34800,52
35040,57
35280,59
35400,59
35580,61
36000,59
36240,57
36360,59
36600,61
37020,59
37200,57
37320,59
37560,61
37920,59
38160,57
38400,59
40320,61
40800,57
41280,54
41760,52
42480,52
42720,57
42960,59
43080,59
43320,61
43680,59
43920,57
44040,59
44280,61
44640,59
44880,57
45000,59
45240,61
45600,59
45840,57
46080,59
48000,60
48480,59
48960,60
49440,62
49920,62
49920,60
50040,62
50340,62
50460,62
50700,64
50880,64
51360,55
51480,57
51600,60
51720,57
51840,62
51960,62
52200,62
52380,62
52560,64
52800,60
53760,67
53760,62
53808,62
53928,62
54168,62
54288,62
54468,67
54708,64
55188,64
55488,62
55728,60
56148,57
56388,60
56628,62
57588,62
57588,62
57708,62
57948,62
58068,62
58368,64
58608,64
59028,55
59148,57
59268,60
59388,57
59508,62
59628,62
59868,62
60048,62
60228,64
60468,60
61488,67
61668,67
61908,65
62148,65
62388,64
62868,64
63108,60
63348,62
63588,62
64608,55
64848,62
65088,60
73428,57
73908,55
74388,52
74628,53
74868,55
75348,52
75588,53
75828,55
76308,57
76788,50
80568,60
81120,57
81600,55
82080,52
82320,53
83028,52
83268,53
83508,55
83988,57
84468,50
88548,52
88788,57
89028,59
89148,59
89328,61
89748,59
89928,57
90108,59
90360,61
90780,59
90960,57
91080,59
91320,61
91680,59
91860,57
94020,61
94548,57
95028,54
95508,52
96228,52
96468,57
96708,59
96828,59
97068,61
97428,59
97668,57
97788,59
98040,61
98400,59
98640,57
98760,59
99000,61
99360,59
99600,57
101748,60
102228,59
102708,60
103188,62
103668,62
103668,60
103800,62
104100,62
104160,62
104460,64
104640,64
105120,55
105240,57
105360,60
105480,57
105708,62
105948,62
106068,62
106308,64
106548,60
107508,67
107508,62
107580,62
107700,62
107940,62
108000,62
108240,67
108480,64
108960,64
109200,62
109500,60
109920,57
110160,60
110400,62
111480,62
111720,62
111840,62
112140,64
112380,64
112800,55
112920,57
113040,60
113160,57
113400,62
113640,62
113760,62
114000,64
114240,60
115260,67
115440,67
115680,65
115920,65
116160,64
116640,64
116880,60
117360,62
118380,55
118620,62
118860,60
119100,62
119220,62
119460,62
119580,62
119820,64
120060,64
120480,55
120600,57
120720,60
120840,57
121140,62
121380,62
121500,62
121740,64
121980,60
122904,62
123024,62
123264,62
123384,62
123624,67
123864,64
124344,64
124584,62
124824,60
125304,57
125544,60
125784,62
126744,62
126744,62
126804,62
127104,62
127224,62
127464,64
127704,64
128124,55
128244,57
128364,60
128484,57
128604,62
128724,62
129024,62
129144,62
129384,64
129624,60
130584,67
130824,67
131064,65
131244,65
131544,64
132024,64
132264,60
132504,62
132744,62
133704,55
133944,62
134184,60
134424,62
134424,60
134544,62
134784,62
134904,62
135144,64
135384,64
135864,55
135924,57
136044,60
136164,57
136344,62
136464,62
136704,62
136824,62
137064,64
137304,60
138264,67
138264,62
138312,62
138372,62
138612,62
138732,62
138972,67
139212,64
139692,64
139932,62
140190,60
140670,57
140910,60
141150,62
142110,62
142110,62
142230,62
142470,62
142590,62
142830,64
143070,64
143550,55
143670,57
143790,60
143910,57
144030,62
144150,62
144390,62
144510,62
144750,64
144990,60
145950,67
146190,67
146430,65
146610,65
146910,64
147390,64
147630,60
147870,62
148110,62
149070,55
149310,62
149610,60
151710,48
153570,48
155490,48
