time,semitone
29760,55
30000,56
30240,58
30480,60
30960,58
31440,56
31920,55
32640,56
33600,53
33840,53
34080,53
34320,62
35040,60
35280,58
35760,56
36240,58
37440,63
37920,62
38160,63
39060,51
39360,51
39600,53
39840,55
40080,53
40800,51
41040,51
42000,46
42240,56
42480,55
42720,53
42960,51
43380,53
43920,55
45120,55
45360,56
45600,58
45840,60
46320,58
46800,56
47280,55
48000,56
48960,53
49200,53
49440,53
49680,62
50400,60
50640,58
51120,56
51600,58
52800,63
53280,62
53520,63
54480,51
54720,51
54960,53
55200,55
55440,53
56160,51
56400,51
57420,46
57600,56
57840,55
58080,53
58320,51
58560,51
58800,53
59280,51
61920,63
62160,65
62400,67
62880,63
63360,60
64320,67
65040,65
65760,63
66000,65
66240,67
66720,63
67200,58
68160,65
68880,67
69600,63
69840,65
70080,67
70560,63
71040,56
72000,63
72660,58
73740,63
74160,65
74580,66
75360,65
75600,65
76080,63
76560,65
77280,63
77520,65
77760,67
78240,63
78720,60
79680,67
80400,65
81120,63
81360,65
81600,67
82080,63
82560,58
83520,65
84000,63
84240,67
84960,63
85200,65
85440,67
85920,63
86400,56
87120,63
88020,60
88560,63
88980,65
89460,60
90180,63
93120,55
93360,56
93600,58
93840,60
94320,58
94800,56
95280,55
96000,56
96960,53
97200,53
97440,53
97680,62
98400,60
98640,58
99120,56
99600,58
100800,63
101280,62
101520,63
102420,51
102720,51
102960,53
103200,55
103440,53
104160,51
104400,51
105360,46
105600,56
105840,55
106080,53
106320,51
106740,53
107280,55
108480,55
108720,56
108960,58
109200,60
109680,58
110160,56
110640,55
111360,56
112320,53
112560,53
112800,53
113040,62
113760,60
114000,58
114480,56
114960,58
116160,63
116640,62
116880,63
117840,51
118080,51
118320,53
118560,55
118800,53
119520,51
119760,51
120780,46
120960,56
121200,55
121440,53
121680,51
121920,51
122160,53
122640,51
125280,63
125520,65
125760,67
126240,63
126720,60
127680,67
128400,65
129120,63
129360,65
129600,67
130080,63
130560,58
131520,65
132240,67
132960,63
133200,65
133440,67
133920,63
134400,56
135360,63
136080,58
137100,63
137520,65
138000,66
138720,65
138960,65
139440,63
139920,65
140700,63
140880,65
141120,67
141600,63
142080,60
143040,67
143760,65
144480,63
144720,65
144960,67
145440,63
145920,58
146880,65
147360,63
147600,67
148320,63
148560,65
148800,67
149280,63
149760,56
150480,63
151440,60
151920,63
152400,65
152880,60
153600,63
155760,55
156000,55
156480,55
156720,55
157200,56
157680,56
157920,56
158400,56
158640,56
159120,58
159600,58
159840,58
160320,58
160560,58
161040,61
163500,55
163680,55
164220,55
164400,55
164880,56
165360,56
165600,56
166080,56
166320,56
166800,58
171120,55
171360,55
171840,55
172140,55
172560,56
173100,56
173280,56
173760,56
174060,56
174480,58
175020,58
175200,58
175680,58
175920,58
176400,61
178800,55
179040,55
179520,55
179760,55
180180,56
180720,56
180960,56
181440,56
181740,56
182160,60
182160,58
200160,63
200400,65
200640,67
201120,63
201600,60
202560,67
203280,65
204000,63
204240,65
204480,67
204960,63
205440,58
206400,65
207120,67
207840,63
208080,65
208320,67
208800,63
209280,56
210240,63
210960,58
211980,63
212400,65
212880,66
213600,65
213840,65
214320,63
214800,65
215580,63
215760,65
216000,67
216480,63
216960,60
217920,67
218640,65
219360,63
219600,65
219840,67
220320,63
220800,58
221760,65
222240,63
222480,67
223200,63
223440,65
223680,67
224160,63
224640,56
225360,63
226320,60
226800,63
227280,65
227760,60
228480,63
230880,63
231120,65
231360,67
231780,63
232320,60
233280,67
233940,65
234720,63
234900,65
235140,67
235620,63
236100,58
237060,65
237540,63
237780,67
238560,63
238740,65
238980,67
239460,63
239940,56
240720,63
241620,60
242100,63
242580,65
243060,60
243780,63
246300,60
246480,63
246720,65
246960,67
247440,63
248400,67
249360,68
249840,67
250320,65
250800,63
251280,63
251760,55
252000,55
252480,55
252780,55
253200,56
253740,56
253920,56
254400,56
254700,56
255120,58
255660,58
255840,58
256320,58
256560,58
257040,61
259440,55
259680,55
260160,55
260400,55
260820,56
261360,56
261600,56
262080,56
262380,56
262800,60
262800,58
