time,semitone
2280,47
2400,56
2700,56
2820,56
3120,54
3240,57
3600,56
3720,52
6180,56
6240,57
6480,57
6660,56
6960,54
7080,52
7320,54
7680,49
9960,47
10080,59
10320,57
10440,56
10800,57
10920,59
11160,57
11520,49
12240,59
12360,57
12720,56
12900,54
13200,52
13440,56
14040,57
14280,59
14400,52
15240,47
15360,56
15600,54
15780,54
16080,52
16200,52
16560,51
16680,49
16920,51
17280,52
19560,47
19680,56
19980,56
20100,56
20400,54
20520,57
20880,56
21000,52
23460,56
23520,57
23760,57
23940,56
24240,54
24360,52
24600,54
24960,49
27240,47
27360,59
27600,57
27720,56
28080,57
28200,59
28440,57
28800,49
29520,59
29640,57
30000,56
30180,54
30480,52
30720,56
31320,57
31560,59
31680,52
32520,47
32640,56
32880,54
33060,54
33360,52
33480,52
33840,51
33960,49
34200,51
34560,52
36720,59
36840,64
37200,59
37320,59
37680,57
37800,66
38160,57
38280,57
38640,56
38820,64
39180,56
39300,56
39600,54
39720,61
40320,61
40440,63
40560,64
40740,59
41280,56
41400,57
41520,56
41700,54
41880,52
42180,54
44400,59
44520,64
44820,66
44940,68
45060,68
45300,57
45540,57
45720,66
45960,66
46200,56
46500,56
46680,64
46920,64
47160,54
47400,61
48000,61
48120,63
48240,64
48420,59
48840,56
48960,57
49200,56
49320,54
49380,56
49620,54
49740,52
49860,54
51600,52
51780,51
51840,52
51960,54
52080,52
53520,54
53760,56
54000,63
54060,64
54720,66
55440,64
55500,66
55680,64
60360,59
60480,69
60480,68
60720,68
60840,68
61080,66
61320,68
61380,69
61680,68
61800,68
62040,66
62280,66
62340,68
62400,66
62460,64
71280,59
71400,64
71760,59
71880,59
72240,57
72360,66
72720,57
72840,57
73200,56
73380,64
73740,56
73860,56
74160,54
74280,61
74880,61
75000,63
75120,64
75300,59
75840,56
75960,57
76080,56
76260,54
76440,52
76740,54
78960,60
79080,65
79380,67
79500,69
79620,69
79860,58
80100,58
80280,67
80520,67
80760,57
81060,57
81240,65
81480,65
81720,55
81960,62
82560,62
82680,64
82800,65
82980,60
83400,57
83520,58
83760,57
83880,55
83940,57
84180,55
84300,53
84420,55
94320,60
94440,65
94680,67
94740,69
94980,69
95280,67
95400,70
95760,67
95880,67
96120,65
96360,67
96480,69
96720,64
96840,64
97200,62
97380,67
97920,67
97980,68
98040,67
98160,65
98280,65
99840,67
99840,65
100740,62
100800,64
100860,62
100980,60
101520,53
101640,52
101760,53
101820,55
102000,53
103380,53
103440,55
103920,57
104160,64
104220,65
105600,64
105660,65
