time,semitone
1920,62
2160,62
2400,62
3120,62
3840,62
4080,62
4320,62
4800,62
5280,62
6600,62
8640,62
8880,62
9120,62
10560,62
12480,62
12720,62
12960,62
13200,62
19920,55
20400,60
20880,62
22800,60
23040,62
23520,60
23760,62
24240,64
24720,62
28560,60
28800,62
29280,60
29520,59
30000,55
30720,55
31200,57
31440,57
34320,55
34560,53
35040,52
35280,53
35760,60
36240,60
37680,60
38160,59
38880,52
39120,59
39600,57
42000,55
42240,55
42720,53
42960,53
43440,60
44160,60
44640,59
44880,60
45360,64
45840,62
48960,60
49440,62
49920,64
50400,62
50640,62
51120,57
51600,62
53520,62
53760,62
54240,60
54480,60
54960,55
55440,60
57360,55
57600,55
58080,53
58320,53
58800,60
59280,59
60960,55
61200,65
61920,64
62160,64
62640,62
63120,64
64320,60
64560,60
64800,62
65280,64
65760,62
66000,62
66480,57
66960,62
68640,60
69120,62
72000,57
72480,55
72960,53
73440,53
73680,60
76560,55
76800,55
77280,53
77520,53
78000,60
78480,60
79680,59
80640,60
89040,55
89520,60
90000,62
91920,60
92160,62
92640,60
92880,62
93360,64
93840,62
95280,62
95400,60
95520,59
96000,60
96120,59
96240,57
97440,60
97680,62
98400,60
98640,59
99120,55
99600,59
100320,57
100560,57
101040,53
103440,55
103680,55
104160,53
104400,53
104880,60
105360,60
106800,60
107280,59
108000,52
108240,59
108720,57
111120,55
111360,55
111840,53
112080,53
112560,60
113280,60
113760,59
114000,60
114480,64
114960,62
118080,60
118560,62
119040,64
119520,62
119760,62
120240,57
120720,62
122640,62
122880,62
123360,60
123600,60
124080,55
124560,60
126480,55
126720,55
127200,53
127440,53
127920,60
128400,59
130080,55
130320,65
131040,64
131280,64
131760,62
132240,64
133440,60
133680,62
133920,64
134400,64
134880,62
135120,62
135600,57
136080,62
137760,60
138000,67
139680,65
140160,64
141120,57
141600,55
142080,53
142560,53
142800,60
145680,55
145920,55
146400,53
146640,53
147120,60
147600,60
148800,59
149640,62
150000,60
150120,59
150240,62
150480,60
179520,67
180000,65
180480,64
180960,62
181200,62
181680,57
182160,62
184080,62
184320,62
184800,60
185040,60
185520,55
186000,60
187920,55
188160,55
188640,53
188880,53
189360,60
189840,59
191520,55
191760,65
192480,64
192720,67
193200,62
193680,64
194880,60
195120,60
195360,62
195840,64
196320,62
196560,62
197040,57
197520,62
199200,60
199440,67
200880,65
201120,67
201360,65
201600,64
202560,57
203040,55
203520,53
204000,53
204240,60
207360,64
208800,65
209280,67
210240,67
210720,67
211200,67
211680,60
211920,60
214800,55
215040,55
215520,53
215760,53
216240,60
216720,60
217920,59
218880,60
