time,semitone
5760,68
6360,66
6600,68
7440,66
7680,69
8280,68
8520,69
9360,69
9600,71
10200,69
10440,71
11280,73
11520,69
12120,68
12360,71
13440,68
14040,66
14280,68
15120,66
15360,69
15960,68
16200,69
17040,69
17280,71
17880,69
18120,71
18960,73
19200,69
19800,73
20040,71
21120,73
21720,74
21960,71
22800,69
23040,64
23400,71
23640,68
24000,69
24720,64
24960,62
25200,62
25320,66
25560,69
25920,68
26280,69
26520,71
26880,68
27240,64
28800,73
29400,74
29640,71
30480,69
30720,71
31080,76
31320,68
31560,69
32400,64
32640,62
33000,69
33480,64
33600,66
33960,68
34200,69
34560,71
36480,71
36720,71
36840,71
37080,71
37200,71
37320,69
37440,71
37680,73
37920,73
38400,73
38640,73
38760,73
39000,74
39360,73
39840,71
40320,71
40560,71
40680,71
40920,71
41040,71
41160,69
41280,71
41520,76
41760,73
42240,66
42480,66
42600,66
42840,69
43080,74
43200,73
43680,71
44160,71
44400,71
44520,71
44760,71
44880,71
45000,69
45120,71
45360,73
45600,73
46080,73
46320,73
46440,73
46680,73
46920,74
47040,73
47520,71
48000,71
48360,76
48600,71
48960,69
49320,71
49560,73
49920,69
50880,74
51120,73
51360,71
51600,69
57240,76
57480,76
57720,74
57960,73
58200,69
58440,71
59040,69
60120,76
60360,79
60600,76
60840,74
62040,81
62280,79
62520,76
62760,74
64200,79
64440,77
64680,76
64920,74
65160,76
69120,73
69720,74
69960,71
70800,69
71040,64
71400,71
71640,68
72000,69
72720,64
72960,62
73200,62
73320,66
73560,69
73920,68
74280,69
74520,71
74880,68
75240,64
76800,73
77400,74
77640,71
78480,69
78720,71
79080,76
79320,68
79560,69
80400,64
80640,62
81000,69
81480,64
81600,76
81960,81
82200,80
82560,76
83040,81
83520,83
84000,85
84480,71
84720,71
84840,71
85080,71
85200,71
85320,69
85440,71
85680,73
85920,73
86400,73
86640,73
86760,73
87000,74
87360,73
87840,71
88320,71
88560,71
88680,71
88920,71
89040,71
89160,69
89280,71
89520,76
89760,73
90240,66
90480,66
90600,66
90840,69
91080,74
91200,73
91680,71
92160,71
92400,71
92520,71
92760,71
92880,71
93000,69
93120,71
93360,73
93600,73
94080,73
94320,73
94440,73
94680,73
94920,74
95040,73
95520,71
96000,71
96360,76
96600,71
96960,69
97320,71
97560,73
97920,69
98880,74
99120,73
99360,71
99600,69
101640,73
101760,76
102000,73
102120,76
102360,73
102600,81
102840,80
103080,76
103560,83
103920,81
104040,80
104280,81
104400,80
104520,80
104640,78
104880,78
105120,76
105600,66
105840,66
105960,66
106200,66
106440,74
106560,73
107040,71
107520,76
109440,73
109680,73
109800,73
110040,73
110280,74
110400,73
110880,71
111360,71
111720,76
111960,71
112320,69
112680,71
112920,73
113280,69
114240,74
114480,73
114720,71
114960,69
118080,74
118320,73
118560,71
118800,76
121920,74
122160,73
122400,71
122640,69
