time,semitone
960,69
1200,69
1680,71
2160,73
2400,71
2640,69
2880,69
3360,69
3840,68
4800,69
5040,69
5520,71
6000,73
6240,71
6480,69
6720,69
7200,66
7680,64
8640,69
8880,69
9360,73
10320,69
10560,69
10800,69
11280,67
12720,68
12960,68
13200,68
13440,71
13680,71
14160,71
16320,69
16560,69
17040,72
18240,69
18480,69
18960,74
20160,69
20400,69
20880,76
21360,74
21600,72
21840,69
22080,72
22560,72
23040,69
24000,67
24240,67
24720,69
25920,69
26160,69
26640,74
27840,69
28080,69
28560,76
29040,74
29280,72
29520,69
29760,72
30240,72
30720,69
31680,67
31920,67
32400,69
33600,69
33840,69
34320,72
35520,69
35760,69
36240,76
36960,74
37200,72
37440,74
37680,72
37920,76
38160,76
39360,69
39600,69
40080,72
42240,69
44160,74
44400,72
44640,74
45840,76
46980,69
47220,69
47700,71
48180,73
48420,71
48660,69
48900,69
49380,69
49860,68
50820,69
51060,69
51540,71
52020,73
52260,71
52500,69
52740,69
53220,66
53700,64
54660,69
54900,69
55380,73
56340,69
56580,69
56820,69
57300,67
58740,68
58980,68
59220,68
59460,71
59700,71
60180,71
70080,67
70320,67
70800,69
72000,69
72240,69
72720,74
73920,69
74160,69
74640,76
75120,74
75360,72
75600,69
75840,72
76320,72
76800,69
77760,67
78000,67
78480,69
79680,69
79920,69
80400,74
81600,69
81840,69
82320,76
82800,74
83040,72
83280,69
83520,72
84000,72
84480,69
85440,67
85680,67
86160,69
87360,69
87600,69
88080,72
89280,69
89520,69
90000,76
90720,74
90960,72
91200,74
91440,72
91680,76
91920,76
93120,69
93360,69
93840,72
96000,69
97920,74
98160,72
98400,74
99600,76
100800,69
101040,69
101520,71
102000,73
102240,71
102480,69
102720,69
103200,69
103680,68
104640,69
104880,69
105360,71
105840,73
106080,71
106320,69
106560,69
107040,66
107520,64
108480,69
108720,69
109200,73
110160,69
110400,69
110640,69
111120,67
112560,68
112800,68
113040,68
113280,71
113520,71
114000,71
116160,69
116400,69
116880,71
117360,73
117600,71
117840,69
118080,69
118560,69
119040,68
120000,69
120240,69
120720,71
121200,73
121440,71
121680,69
121920,69
122400,66
122880,64
123840,69
124080,69
124560,73
125520,69
125760,69
126000,69
126480,67
127920,68
128160,68
128400,68
128640,71
128880,71
129360,71
131520,71
131760,69
132000,69
132240,71
132480,69
133680,69
133920,76
134160,76
134880,74
135120,73
135600,71
136320,74
137760,73
138000,73
139680,71
139920,69
141600,69
141840,76
142560,74
142800,73
143280,71
144000,74
144240,73
144480,74
144720,73
144960,74
145200,73
145440,74
145680,73
145920,74
146160,73
146400,74
146640,73
146880,74
147120,73
147360,74
147600,76
150720,69
150960,69
151440,71
151920,73
152160,71
152400,69
152640,69
153120,69
153600,68
154560,69
154800,69
155280,71
155760,73
156000,71
156240,69
156480,69
156960,66
157440,64
158400,69
158640,69
159120,73
160080,69
160320,69
160560,69
161040,67
162480,68
162720,68
162960,68
163200,71
163440,71
163920,71
166080,69
166320,69
166800,71
167280,73
167520,71
167760,69
168000,69
168480,69
168960,68
169920,69
170160,69
170640,71
171120,73
171360,71
171600,69
171840,69
172320,66
172800,64
173760,69
174000,69
174480,73
175440,69
175680,69
175920,69
176400,67
177840,68
178080,68
178320,68
178560,71
178800,71
179280,71
181440,69
181680,69
182160,71
182640,73
182880,71
183120,69
183360,69
183840,69
184320,68
185280,69
185520,69
186000,71
186480,73
186720,71
186960,69
187200,69
187680,66
188160,64
189120,69
189360,69
189840,73
190800,69
191040,69
191280,69
191760,67
193200,68
193440,68
193680,68
193920,71
194160,71
194640,71
196800,69
197040,69
197520,71
198000,73
198240,71
198480,69
198720,69
199200,69
199680,68
200640,69
200880,69
201360,71
201840,73
202080,71
202320,69
202560,69
203040,66
203520,64
204480,69
204720,69
205200,73
206160,69
206400,69
206640,69
207120,67
208560,68
208800,68
209040,68
209280,71
209520,71
210000,71
