time,semitone
32880,67
33120,67
33360,67
33480,67
33720,67
33960,67
34200,67
34440,68
35520,68
35760,68
36000,68
36120,70
36360,67
37440,67
37680,67
37800,65
38040,63
38280,65
40560,67
40800,67
41040,67
41280,67
41520,67
41640,67
41880,67
42120,68
42360,68
42480,68
43200,68
43440,68
43680,68
43920,70
44160,67
45000,67
45120,70
45360,70
45600,68
45720,67
46080,68
46320,67
46440,65
48240,63
48480,63
48720,60
48960,63
49200,60
49680,64
50160,64
50400,64
50640,65
51120,67
51840,68
52080,67
52320,65
53040,65
53280,65
53520,65
53760,72
54000,72
54240,70
54480,68
54720,72
55920,68
56160,68
56400,65
56640,68
56880,65
57360,70
57840,68
58080,68
58320,65
58560,68
58800,65
59280,70
59760,68
60000,68
60240,65
60480,68
60720,65
61200,68
61440,67
61680,67
61920,67
62160,65
62400,68
62640,67
63600,68
63840,68
64080,65
64320,68
64560,65
65040,70
65520,68
65760,68
66000,65
66240,68
66480,65
66960,70
67440,68
67680,68
67920,65
68160,68
68400,65
68880,68
69120,67
69360,67
69600,67
69840,65
70080,67
71040,65
78960,64
79200,64
79440,64
79680,64
79920,64
80040,64
80280,64
80520,65
81600,65
81840,65
82080,65
82320,67
82440,64
83400,64
83520,64
83760,64
83880,62
84120,60
84360,62
86640,64
86880,64
87120,64
87360,64
87600,64
87720,64
87960,64
88200,65
88560,65
89280,68
89520,68
89760,68
90000,70
90240,67
91080,67
91200,70
91440,70
91680,68
91800,67
92160,68
92400,67
92520,65
94320,63
94560,63
94800,60
95040,63
95280,60
95760,64
96240,64
96480,64
96720,65
97200,67
97920,68
98160,67
98400,65
99120,65
99360,65
99600,65
99840,72
100080,72
100320,70
100560,68
100800,72
103920,68
104160,68
104400,65
104640,68
104880,65
105360,70
105840,68
106080,68
106320,65
106560,68
106800,65
107280,70
107760,68
108000,68
108240,65
108480,68
108720,65
109200,68
109440,67
109680,67
109920,67
110160,65
110400,68
110640,67
111600,68
111840,68
112080,65
112320,68
112560,65
113040,70
113520,68
113760,68
114000,65
114240,68
114480,65
114960,70
115440,68
115680,68
115920,65
116160,68
116400,65
116880,68
117120,67
117360,67
117600,67
117840,65
118080,67
119040,65
119280,68
119520,68
119760,65
120000,68
120240,65
120720,70
121200,68
121440,68
121680,65
121920,68
122160,65
122640,70
123120,68
123360,68
123600,65
123840,68
124080,65
124560,68
124800,67
125040,67
125280,67
125520,65
125760,68
126000,67
126960,68
127200,68
127440,65
127680,68
127920,65
128400,70
128880,68
129120,68
129360,65
129600,68
129840,65
130320,70
130800,68
131040,68
131280,70
131400,68
131520,70
131760,68
132000,70
132300,68
132480,72
132720,75
132960,72
133440,72
133680,72
133872,70
134172,68
134430,65
136590,72
136830,70
137070,72
137310,73
137550,72
137790,70
138030,72
138270,70
138510,67
140430,72
140670,70
140910,72
141150,76
141390,72
141630,70
141870,72
142110,70
142350,67
142830,72
143070,70
144270,72
144450,70
144750,72
145230,76
145710,76
146190,76
146670,76
147150,76
147570,72
147870,77
167310,63
167550,63
167790,60
168030,63
168270,60
168750,64
169230,64
169470,64
169710,65
170190,67
170910,68
171150,67
171390,65
172110,65
172350,65
172590,65
172830,72
173070,72
173310,70
173550,68
173790,72
174990,68
175230,68
175470,65
175710,68
175950,65
176430,70
176892,68
177132,68
177372,65
177612,68
177852,65
178332,70
178812,68
179052,68
179292,65
179532,68
179772,65
180252,68
180510,67
180750,67
180990,67
181230,65
181470,68
181710,67
182670,68
182910,68
183150,65
183390,68
183630,65
184110,70
184572,68
184812,68
185052,65
185292,68
185532,65
186012,70
186492,68
186732,68
186972,65
187212,68
187452,65
187932,68
188190,67
188430,67
188670,67
188910,65
189150,67
190110,65
190350,68
190590,68
190830,65
191070,68
191310,65
191790,70
192252,68
192492,68
192732,65
192972,68
193212,65
193692,70
194172,68
194412,68
194652,65
194892,68
195132,65
195612,68
195870,67
196110,67
196350,67
196590,65
196830,68
197070,67
198030,68
198270,68
198510,65
198750,68
198990,65
199470,70
199932,68
200172,68
200412,65
200652,68
200892,65
201372,70
201852,68
202092,68
202332,70
202452,68
202572,70
202812,68
203052,70
203292,68
203550,72
203790,75
204030,72
204510,72
204750,72
204942,70
205182,68
