time,semitone
1920,65
2400,65
2640,65
3120,64
3600,64
4320,62
4560,62
5040,61
5520,64
7440,61
7680,68
8160,69
8400,61
8880,64
9360,64
9840,62
10320,62
12000,65
12240,64
13200,62
13440,64
17280,65
17760,65
18000,65
18480,64
18960,64
19680,62
19920,62
20400,61
20880,64
22800,61
23040,68
23520,69
23760,61
24240,64
24720,64
25200,62
25680,62
27360,65
27600,64
28560,62
28800,64
32640,62
33120,62
33360,62
33840,64
34320,65
36240,62
36480,61
36960,64
37200,64
37680,61
38160,66
40080,62
40320,62
40800,62
41040,62
41520,64
42000,65
42480,64
43680,64
44160,62
44400,64
48000,72
48480,72
48720,72
49680,72
49920,71
50400,69
51120,69
51600,67
51840,67
53760,69
54240,70
54480,69
54960,67
55440,67
56160,65
56400,65
56880,64
57360,62
59280,62
59520,62
60000,61
60240,64
63360,72
63840,72
64080,72
65040,72
65280,71
65760,69
66480,69
66960,67
67200,67
69120,69
69600,70
69840,69
70320,67
70800,67
71520,65
71760,65
72240,64
72720,62
74640,62
74880,62
75360,61
75600,64
76320,65
78480,62
78720,62
79200,61
79440,64
80160,65
84480,65
84960,65
85200,65
85680,64
86160,64
86880,62
87120,62
87600,61
88080,64
90000,61
90240,68
90720,69
90960,61
91440,64
91920,64
92400,62
92880,62
94560,65
94800,64
95760,62
96000,64
99840,65
100320,65
100560,65
101040,64
101520,64
102240,62
102480,62
102960,61
103440,64
105360,61
105600,68
106080,69
106320,61
106800,64
107280,64
107760,62
108240,62
109920,65
110160,64
111120,62
111360,64
115200,62
115680,62
115920,62
116400,64
116880,65
118800,62
119040,61
119520,64
119760,64
120240,61
120720,66
122640,62
122880,62
123360,62
123600,62
124080,64
124560,65
125040,64
126240,64
126720,62
126960,64
130560,72
131040,72
131280,72
132240,72
132480,71
132960,69
133680,69
134160,67
134400,67
136320,69
136800,70
137040,69
137520,67
138000,67
138720,65
138960,65
139440,64
139920,62
141840,62
142080,62
142560,61
142800,64
145920,72
146400,72
146640,72
147600,72
147840,71
148320,69
149040,69
149520,67
149760,67
151680,69
152160,70
152400,69
152880,67
153360,67
154080,65
154320,65
154800,64
155280,62
157200,62
157440,62
157920,61
158160,64
158880,65
161040,62
161280,62
161760,61
162000,64
162720,65
167520,62
167760,62
168000,62
168480,62
168720,62
169200,71
169680,68
170400,64
170640,64
171360,71
171600,71
172320,69
172560,69
174720,71
174960,71
175200,69
175440,69
176400,62
176640,71
176880,71
177120,69
177360,69
178320,65
178560,64
178800,73
179280,73
182880,62
183120,62
183360,62
183840,62
184080,62
184560,71
185040,68
185760,64
186000,64
186720,71
186960,71
187680,69
187920,69
190080,71
190320,71
190560,69
190800,69
191760,62
192000,71
192240,71
192480,69
192720,69
193680,71
193920,71
194160,73
194640,73
197760,72
198240,72
198480,72
199440,72
199680,71
200160,69
200880,69
201360,67
201600,67
203520,69
204000,70
204240,69
204720,67
205200,67
205920,65
206160,65
206640,64
207120,62
209040,62
209280,62
209760,61
210000,64
213120,72
213600,72
213840,72
214800,72
215040,71
215520,69
216240,69
216720,67
216960,67
218880,69
219360,70
219600,69
220080,67
220560,67
221280,65
221520,65
222000,64
222480,62
224400,62
224640,62
225120,61
225360,64
