time,semitone
10560,83
13680,84
13800,83
13920,81
14040,83
14880,81
17760,83
18240,79
18480,81
19080,79
19200,78
19440,79
19680,78
20640,74
21120,69
21360,71
21600,69
38160,78
38520,78
39000,79
40320,71
40800,71
41280,78
41580,79
42000,78
42480,78
42900,78
45840,78
46080,78
46380,81
47820,71
48300,71
48720,79
48760,81
49300,79
50380,79
50740,81
51100,79
53260,76
53980,74
54220,76
55660,67
56140,67
56380,74
56460,76
57600,74
59520,67
60000,67
60240,74
60960,72
61440,72
63840,67
64080,74
64800,72
65280,71
65760,69
66000,71
66240,69
66600,69
68640,78
69240,78
69720,79
71040,71
71520,71
72000,78
72300,79
72720,78
73200,78
73620,78
76560,78
77100,81
78540,71
79020,71
79440,79
79480,81
80020,79
80660,79
81140,81
81620,79
84020,76
84740,74
84980,76
86420,67
86900,67
87140,74
87220,76
87580,74
88060,74
88540,74
90220,67
90700,67
90940,74
91900,72
92380,72
94540,72
94660,74
95500,72
95980,71
96300,69
96460,71
96940,69
97300,69
99360,81
101280,81
101520,79
101880,82
102240,81
103200,81
103320,79
103900,86
104860,87
105340,86
105660,87
107040,79
107520,81
108960,79
109200,77
109560,81
110040,79
110640,79
111000,77
111360,82
111600,84
112560,86
113040,84
113360,86
115220,77
115700,79
116660,77
116900,75
117260,79
118340,77
118700,75
119060,74
119180,75
119260,74
119980,72
120460,82
122380,79
123100,81
123820,79
124300,79
124540,78
124780,81
125640,79
126120,78
126440,79
126740,81
127700,82
128180,81
128420,82
128660,84
130100,81
130820,82
131540,81
132020,81
132260,79
132500,81
132620,82
132980,81
133940,81
134060,79
134420,79
134660,86
135620,87
136100,86
136440,87
137760,79
138380,82
139660,79
139900,77
140280,81
140760,79
141360,79
141720,77
142300,84
143260,86
143740,84
144060,86
144140,87
145940,77
146420,79
147380,77
147620,75
147980,79
149060,77
149420,75
149780,74
149900,75
149980,74
150700,72
151180,82
153100,79
153820,81
154540,79
155020,79
155260,78
155500,81
156360,79
156840,78
157160,79
157460,81
159380,82
160100,81
160340,82
160500,81
160660,82
160820,81
220940,78
221420,79
222740,71
223220,71
223700,78
223940,79
224420,78
224900,78
225260,78
228260,78
228740,81
230240,71
230660,71
231140,79
231180,81
231660,79
232800,81
232960,79
234740,81
234980,82
235460,81
235700,79
236180,79
236260,81
236380,76
236500,79
238060,79
238540,79
238780,76
239260,74
239740,74
240220,83
241900,67
242380,67
242620,74
243580,72
244060,72
246220,72
246340,74
246940,76
247360,79
247680,79
248640,78
248880,76
249300,78
251040,81
251520,82
252960,81
253200,79
253440,81
253560,82
253920,81
254880,81
255000,79
255360,79
255600,86
256560,87
257040,86
257360,87
258740,79
259220,81
260420,79
260660,77
261020,81
262340,79
262700,77
263060,82
263300,84
264260,86
264740,84
265080,86
265200,87
266400,77
267160,79
268120,77
268540,75
268920,79
270000,77
270360,75
270840,75
270920,74
271700,72
272180,82
274080,79
274800,81
276000,79
276240,78
276480,81
277320,79
277740,78
278060,79
278380,81
279340,82
279820,81
280060,82
280300,84
281740,81
282220,82
283180,81
283480,81
283900,79
284140,81
284280,82
285360,81
285720,79
286300,86
287260,87
287980,79
289420,79
289900,81
290040,82
291360,79
291600,77
291960,81
293040,79
293400,77
293980,84
294940,86
295420,84
295740,86
295820,87
297620,77
298100,79
299060,77
299300,75
299660,79
300740,77
301100,75
301460,74
301580,75
301660,74
302380,72
302860,82
304780,79
305260,81
306720,79
306960,78
308040,79
308520,78
308840,79
309140,81
312500,74
312740,81
312980,82
313140,81
313300,82
313460,81
317540,79
318740,74
318980,72
319100,73
323420,84
323580,86
327600,87
327840,86
328080,84
328320,82
328560,84
333120,83
335040,81
335280,79
335520,81
338880,79
339360,78
341760,76
