time,semitone
1920,62
2040,62
2400,62
2520,62
3360,62
3480,62
3600,62
3840,62
3960,62
4800,62
5760,60
5880,60
6000,60
6480,62
7200,62
7320,62
7440,62
7560,62
8640,62
8880,70
9120,69
9360,67
9600,69
9840,62
9960,62
10560,67
10800,65
11040,63
11160,67
11520,65
12360,62
12480,62
12720,70
13080,69
13320,67
13440,69
13680,62
13800,62
14400,67
14640,65
14760,63
15000,67
15360,65
16320,63
16560,65
16680,63
16920,62
17160,63
18240,62
18480,63
18600,62
18840,60
19080,62
20160,63
20400,65
20520,63
21000,62
21120,63
21360,65
21480,63
21840,63
21960,63
22080,62
22320,62
22440,62
22680,62
22920,62
25920,62
26160,70
26400,69
26640,67
26880,69
27120,62
27240,62
27480,60
27840,67
28080,65
28200,63
28440,67
28800,65
29760,62
30000,70
30240,69
30480,67
30720,69
30960,62
31080,62
31320,60
31680,67
31920,65
32040,63
32280,67
32640,65
33600,63
33840,65
33960,63
34200,62
34440,63
35520,62
35760,63
35880,62
36120,60
36360,62
37440,63
37680,65
37800,63
38160,62
38280,63
38520,65
38760,63
39120,67
39240,67
39360,66
39600,66
39720,66
39960,69
40320,69
43080,62
43200,70
43440,62
43800,62
43980,70
44160,69
44400,62
44520,62
45000,62
45120,67
45360,65
45720,63
45900,67
46080,65
46440,58
46920,58
47040,60
47280,62
47400,63
47880,60
48000,60
48240,62
48360,63
48600,62
48720,63
48840,62
48960,69
49200,69
49320,69
49560,67
49800,66
50760,62
50880,70
51240,62
51480,62
51600,70
51840,69
52080,62
52200,62
52680,62
52800,67
53040,65
53400,63
53580,67
53760,65
54000,60
54120,58
54720,60
54960,62
55080,63
55560,60
55680,60
55920,62
56040,63
56520,63
56640,62
56880,62
57000,62
57600,62
57840,62
62400,62
62640,70
62880,69
63120,67
63360,69
63600,62
63720,62
63960,60
64320,67
64560,65
64680,63
64920,67
65280,65
66240,62
66480,70
66720,69
66960,67
67200,69
67440,62
67560,62
67800,60
68160,67
68400,65
68520,63
68760,67
69120,65
70080,63
70320,65
70440,63
70680,62
70920,63
72000,62
72240,63
72360,62
72600,60
72840,62
73920,63
74160,65
74280,63
74640,62
74760,63
75000,65
75240,63
75600,67
75720,67
75840,74
76080,72
76200,70
76440,72
76740,72
92640,67
92760,69
92880,70
93000,67
93120,74
94560,67
94680,69
94800,70
94920,67
95040,74
96840,62
96960,70
97200,62
97560,62
97740,70
97920,69
98160,62
98280,62
98760,62
98880,67
99120,65
99480,63
99660,67
99840,65
100200,58
100680,58
100800,60
101040,62
101160,60
101640,60
101760,60
102000,62
102120,63
102360,62
102480,63
102600,62
102720,69
102960,69
103080,69
103320,67
103560,66
103800,67
103920,69
104640,70
106560,69
107040,70
107520,69
108360,74
108480,79
108840,77
109080,74
109320,70
109440,72
109680,67
109800,69
109920,72
109980,75
110040,74
110280,70
110400,70
110640,69
110880,67
111120,65
111240,67
111360,65
111420,62
111480,60
111540,58
111720,58
112200,58
112320,60
112560,62
112680,63
113160,60
113280,60
113520,62
113640,63
113880,62
114000,63
114120,62
114240,69
114480,69
114600,69
114840,67
115080,66
116040,67
116160,74
116460,72
116760,70
117000,69
117120,72
117360,70
117480,69
117960,70
118080,67
118320,67
118440,70
118680,67
118920,74
119160,70
119400,70
119640,67
120000,63
120240,65
120360,63
120840,62
120960,63
121200,65
121320,67
121800,67
121920,69
122160,69
122400,72
122640,70
122880,79
123360,77
123840,74
123960,70
124080,72
125640,77
125760,72
126840,70
127080,69
127320,67
127560,65
127680,67
129600,66
129780,67
130080,62
130200,66
130320,67
130560,66
130680,67
130800,69
131160,62
131400,62
131520,74
131640,70
131760,72
133320,77
133440,72
134520,70
134760,69
135000,67
135240,65
135360,67
137280,66
137460,67
137760,62
137880,66
138000,67
138240,66
138360,67
138480,69
138840,62
139080,62
139200,74
139500,72
139800,70
140040,69
140160,72
140400,70
140520,69
141000,70
141120,67
141360,67
141480,70
141720,67
141960,74
142200,70
142440,70
142680,67
143040,63
143280,65
143400,63
143880,62
144000,63
144240,65
144360,67
144840,67
144960,69
145200,69
145440,72
145680,70
145920,79
146400,77
146880,74
