time,semitone
9720,62
10200,74
10680,72
10920,70
11160,69
11400,62
11640,65
12120,63
13560,60
13800,62
14040,63
14280,70
14520,69
14760,67
15000,69
15240,72
15480,72
15960,65
16680,62
16920,63
17160,65
17400,67
17640,63
17880,63
18600,63
18840,62
19020,60
19320,69
19800,69
20700,67
20760,69
21000,66
21240,66
21480,67
21720,69
25080,62
25560,74
26040,72
26280,70
26520,69
26760,62
27000,65
27480,63
28920,60
29160,62
29400,63
29640,70
29880,69
30120,67
30360,69
30540,72
30840,72
31320,65
32040,62
32280,63
32520,65
32760,67
33000,63
33240,63
33960,63
34200,62
34380,60
34680,69
35820,69
36060,67
36360,67
36600,66
37080,74
39720,67
39960,69
40140,70
40380,74
40740,75
41160,75
42360,72
42600,74
42840,72
43080,70
43320,69
43560,65
43800,77
43980,72
44280,75
44760,74
46200,72
46440,74
46680,72
46920,70
47100,69
47400,67
47580,75
47880,67
48120,74
48600,72
49800,70
50040,69
50340,67
50760,66
51240,75
51720,74
55080,67
55320,69
55560,70
55800,74
56100,75
56520,75
57720,72
57960,74
58200,72
58440,70
58680,69
58860,65
59100,77
59340,72
59640,75
60120,74
61560,72
61800,74
62040,72
62280,70
62460,69
62760,67
63000,75
63240,72
63240,70
63480,74
63960,72
65160,70
65400,69
65640,67
65880,66
66120,67
66360,69
66600,66
66840,67
67080,69
67320,69
67800,67
73020,62
73560,74
74040,72
74280,70
74520,69
74760,62
75000,65
75480,63
76920,60
77160,62
77400,63
77640,70
77880,69
78120,67
78360,69
78600,72
78840,72
79320,65
80040,62
80280,63
80520,65
80760,67
81000,63
81240,63
81960,63
82200,62
82440,60
82680,69
83880,69
84120,67
84360,67
84600,66
85080,74
87720,65
87960,67
88200,70
88440,74
88800,75
89160,75
90360,72
90600,74
90840,72
91080,70
91320,69
91500,65
91740,77
91980,72
92280,75
92760,74
94200,72
94380,74
94680,72
94860,70
95100,69
95400,67
95640,75
95880,70
96120,74
96600,72
97800,70
98040,69
98340,67
98760,66
99240,75
99720,74
103080,67
103320,69
103560,70
103800,74
104160,75
104520,75
105720,72
105960,74
106200,72
106440,70
106680,69
106920,65
107160,77
107400,72
107640,75
108120,74
109560,72
109800,74
110040,72
110280,70
110520,69
110580,70
110760,67
111000,75
111240,67
111480,74
111960,72
113160,70
113400,69
113640,67
113880,66
114120,67
114360,69
114600,66
114840,67
115020,69
115320,69
115800,67
