time,semitone
13440,64
13560,65
13680,64
13800,65
13920,64
14160,57
14280,57
15360,64
15480,65
15600,64
15720,65
15840,64
16080,58
16200,58
17280,55
17520,57
17760,58
18000,65
18480,64
18840,65
19080,67
19200,64
19920,57
20160,60
21360,58
21600,58
22080,57
22320,57
22920,57
23040,57
23280,62
23520,62
23760,64
24000,65
25920,69
26160,69
26400,70
26640,67
27840,69
28080,72
28320,69
28560,67
29760,64
29880,65
30000,64
30120,65
30240,64
30480,57
30600,57
31680,64
31800,65
31920,64
32040,65
32160,64
32400,58
32520,58
33600,55
33840,57
34080,58
34320,65
34800,64
35160,65
35400,67
35520,64
36240,57
36480,60
37680,58
37920,58
38400,57
38640,57
39240,57
39360,57
39600,62
39840,62
40080,64
40320,65
42240,69
42480,69
42720,70
42960,67
43920,65
44040,67
44160,69
44400,72
44640,69
44880,67
45600,65
45840,69
48000,69
48120,70
48240,69
48360,70
48480,69
48720,70
48840,70
49920,69
50040,70
50160,69
50280,70
50400,69
50640,70
50760,72
52080,62
52200,67
52560,69
52800,69
53400,69
53520,67
53640,69
53760,74
54240,72
54480,70
54960,69
55680,69
55800,70
55920,69
56040,70
56160,69
56400,70
56520,70
57600,69
57720,70
57840,69
57960,70
58080,69
58320,70
58440,72
59760,62
59880,67
60240,69
60480,69
61080,69
61200,67
61320,69
61440,74
61920,72
62160,70
62640,69
63360,69
64080,67
65160,57
65280,65
65760,65
66000,64
67080,57
67200,64
67680,62
67920,62
71040,64
71160,65
71280,64
71400,65
71520,64
71760,57
71880,57
72960,64
73080,65
73200,64
73320,65
73440,64
73680,58
73800,58
74880,55
75120,57
75360,58
75600,65
76080,64
76440,65
76620,67
76780,70
77500,69
77740,69
78700,69
79080,69
79320,69
79680,69
80520,57
80860,62
81100,62
81340,64
81580,69
83400,69
83740,69
83860,69
84100,67
84460,69
99000,70
99120,69
99240,70
99360,69
99600,70
99720,70
100920,70
101040,69
101160,70
101280,69
101520,70
101640,72
102940,62
103060,67
103420,69
103660,69
104260,69
104380,67
104500,69
104620,74
105120,72
105360,70
105840,69
106680,70
106800,69
106920,70
107040,69
107280,70
107400,70
108600,70
108720,69
108840,70
108960,69
109200,70
109320,72
110620,62
110740,67
111100,69
111340,69
111820,72
111980,69
112140,72
112300,75
112800,74
113280,77
113440,74
113760,72
113920,70
116060,58
116180,65
116660,65
116900,64
117980,57
118100,64
118580,62
118820,65
120020,64
123380,69
123860,69
124340,67
124580,70
125060,69
125540,67
125780,66
125900,67
126020,69
126740,74
127220,72
127460,70
127580,69
127700,69
129140,67
129620,69
