time,semitone
10560,59
10800,59
11040,64
11280,67
11520,66
11760,62
11880,59
12720,55
12960,60
13200,64
13440,62
13680,59
13800,55
14400,60
14640,62
14760,64
15360,60
15600,62
15780,64
16320,66
16560,67
16680,69
17040,67
17280,66
17520,67
17760,69
18000,67
18240,66
18540,66
18720,67
18960,69
21120,59
21360,59
21600,64
21840,67
22080,66
22320,62
22560,59
23280,55
23520,62
23760,64
24000,62
24240,59
24360,55
24960,60
25200,62
25320,64
25920,60
26160,62
26280,64
26880,66
27120,67
27360,69
27600,67
27840,66
28080,67
28320,69
28680,67
28800,66
29040,66
29280,67
29520,67
29640,69
32160,66
32640,67
33360,66
33600,64
33840,64
34080,67
34320,71
34560,71
34920,69
35040,69
35760,72
36000,71
36360,69
36480,66
36720,67
36840,67
37680,64
37920,67
38160,69
38400,67
38880,66
39120,66
39840,66
40320,67
41040,66
41280,64
41520,64
41760,67
42000,71
42240,71
42600,69
42720,69
43440,72
43680,71
44040,69
44160,66
44400,67
44520,67
45360,64
45600,67
45840,69
46080,67
46560,66
46800,66
55920,59
56160,64
56400,67
56640,66
56880,67
57000,66
57840,55
58080,62
58440,64
58560,62
58800,64
58920,62
59520,60
59760,62
59880,64
60480,60
60720,62
60840,64
61440,66
61680,67
61920,69
62160,67
62400,66
62640,67
62880,69
63120,67
63360,71
64800,71
65280,71
80160,66
80640,67
81360,66
81600,64
81840,64
82080,67
82320,71
82560,71
82920,69
83040,69
83760,72
84000,71
84360,69
84480,66
84720,67
84840,67
85680,64
85920,67
86160,69
86400,67
86880,66
87120,66
87840,66
88320,67
89040,66
89280,64
89520,64
89760,67
90000,71
90240,71
90600,69
90720,69
91440,72
91680,71
92040,69
92160,66
92400,67
92520,67
93360,64
93600,67
93840,69
94080,67
94560,66
94800,66
95520,71
96000,76
96720,71
96960,74
97320,72
97560,71
97740,69
97920,71
98100,72
98220,71
98340,69
99120,72
99360,71
99720,69
99840,66
100080,67
100200,67
101040,62
101280,67
101520,69
101760,67
102240,66
102480,66
103680,67
104400,66
104640,64
104880,64
105120,67
105360,71
105600,71
105960,69
106080,69
106800,72
107040,71
107400,69
107520,66
107760,67
107880,67
108720,64
108960,67
109200,69
109320,67
109440,71
109920,69
110160,69
113280,60
113520,67
113640,64
114000,60
114120,59
114360,57
114600,59
114840,60
115200,59
115440,69
115560,66
115920,62
116040,59
116400,55
116520,57
116760,59
117120,60
117360,67
117480,64
117840,60
117960,59
118200,57
118800,55
119280,55
123120,64
123360,71
123720,69
123840,71
124020,72
124200,71
126960,64
127200,71
127560,69
127680,69
130800,64
131040,71
131400,69
131520,71
131760,72
131880,71
134640,64
134880,71
135240,69
135360,69
138480,64
138720,71
139080,69
139200,71
139440,72
139560,71
142320,64
142560,71
142920,69
143040,69
146160,64
146400,71
146760,69
146880,71
147060,72
147240,71
150000,64
150240,71
150600,69
150720,69
153840,64
154080,71
154440,69
154560,71
154800,72
154920,71
157680,64
157920,71
158280,69
158400,69
161520,64
161760,71
162120,69
162240,71
162480,72
162600,71
165360,64
165600,71
165960,69
166080,69
