time,semitone
9660,59
10260,56
10500,61
11580,63
11940,64
12180,63
12420,61
12660,59
12900,56
13140,54
13380,56
14220,61
14340,59
14580,57
14820,57
15060,56
15300,59
17340,59
17940,56
18180,61
19200,63
19620,64
19860,63
20100,61
20340,59
20640,56
20940,54
21180,56
21840,61
22020,59
22260,57
22440,57
22740,56
22980,59
24540,59
24780,59
25020,66
25380,64
25620,63
25860,64
26460,59
26700,59
26940,66
27300,64
27540,63
27780,64
28380,59
28620,59
28860,66
29220,68
29460,69
29700,68
29940,64
30180,64
32220,64
32460,66
32700,68
33540,68
33660,68
33900,69
34020,66
34260,64
34500,68
34860,66
34980,66
35220,64
35460,66
36060,64
36180,63
36420,66
37380,66
37500,66
37680,68
37860,64
38100,59
38460,57
38820,64
39900,64
40020,66
40380,68
41220,68
41280,68
41580,69
41700,66
41940,64
42180,68
42540,66
42660,66
42900,64
43140,66
43740,64
43860,63
44100,66
45060,66
45180,66
45420,68
45540,64
45780,59
46140,57
46500,64
46980,64
47100,64
47340,66
47460,61
47700,63
48000,64
51900,59
52500,56
52740,61
53820,63
54180,64
54420,63
54660,61
54900,59
55140,56
55380,54
55620,56
56460,61
56580,59
56820,57
57060,57
57300,56
57540,59
59580,59
60180,56
60420,61
61440,63
61860,64
62100,63
62340,61
62580,59
62880,56
63180,54
63420,56
64080,61
64260,59
64500,57
64680,57
64980,56
65220,59
66780,59
67020,59
67260,66
67620,64
67860,63
68100,64
68700,59
68940,59
69180,66
69540,64
69780,63
70020,64
70620,59
70860,59
71100,66
71460,68
71700,69
71940,68
72180,64
72420,64
74460,64
74700,66
74940,68
75780,68
75900,68
76140,69
76260,66
76500,64
76740,68
77100,66
77220,66
77460,64
77700,66
78300,64
78420,63
78660,66
79620,66
79740,66
79920,68
80100,64
80340,59
80700,57
81060,64
82140,64
82260,66
82620,68
83460,68
83520,68
83820,69
83940,66
84180,64
84420,68
84780,66
84900,66
85140,64
85380,66
85980,64
86100,63
86340,66
87300,66
87420,66
87660,68
87780,64
88020,59
88380,57
88740,64
89220,64
89340,64
89580,66
89700,61
89940,63
90240,64
107100,64
107340,66
107580,68
108420,68
108540,68
108780,69
108900,66
109140,64
109380,68
109740,66
109860,66
110100,64
110340,66
110940,64
111060,63
111300,66
112260,66
112380,66
112560,68
112740,64
112980,59
113340,57
113700,64
114780,64
114900,66
115260,68
116100,68
116160,68
116460,69
116580,66
116820,64
117060,68
117420,66
117540,66
117780,64
118020,66
118620,64
118740,63
118980,66
119940,66
120060,66
120300,68
120420,64
120660,59
121020,57
121380,64
121860,64
121980,64
122220,66
122340,61
122460,64
122580,63
122700,66
122880,64
123780,68
123900,68
124140,69
124260,66
124500,64
124740,68
125100,66
125220,66
125460,64
125700,66
126300,64
126420,63
126660,66
127620,66
127740,66
127920,68
128100,64
128340,59
128700,57
129060,64
130140,64
130260,66
130620,68
131460,68
131520,68
131820,69
131940,66
132180,64
132420,68
132780,66
132900,66
133140,64
133380,66
133980,64
134100,63
134340,66
135300,66
135420,66
135660,68
135780,64
136020,59
136380,57
136740,64
137220,64
137340,64
137580,66
137700,61
137940,63
138240,64
