time,semitone
4320,64
4740,68
4800,69
5280,71
5760,68
6480,64
6600,64
8160,64
8640,69
9120,71
9600,68
10320,64
10500,64
12000,69
12420,71
12480,73
12960,71
13440,74
13440,73
13920,73
14400,71
15120,69
15240,69
19680,64
20100,68
20160,69
20640,71
21120,68
21840,64
21960,64
23520,64
24000,69
24480,71
24960,68
25680,64
25860,64
27360,69
27780,71
27840,73
28320,71
28800,74
28800,73
29280,73
29760,71
30480,69
30600,69
35460,71
35520,73
35700,71
35880,71
36120,69
36360,69
36660,71
36900,68
38880,71
38940,73
39060,71
39300,71
39480,69
39720,69
40320,69
40800,71
41280,73
41880,71
42000,69
43140,71
43200,73
43320,71
43560,71
43800,69
44040,69
45120,71
45180,73
45300,71
45480,71
45720,69
45960,69
50400,64
50820,68
50880,69
51360,71
51840,68
52560,64
52680,64
54240,64
54720,69
55200,71
55680,68
56400,64
56580,64
58080,69
58500,71
58560,73
59040,71
59520,74
59520,73
60000,73
60480,71
61200,69
61320,69
66180,71
66240,73
66420,71
66600,71
66840,69
67080,69
67380,71
67620,68
69600,71
69660,73
69780,71
70020,71
70200,69
70440,69
71040,69
71520,71
72000,73
72600,71
72720,69
73860,71
73920,73
74040,71
74280,71
74520,69
74760,69
75000,71
75240,68
77280,71
77340,73
77460,71
77640,71
77880,69
78120,69
78720,69
79200,71
79680,73
81540,71
81600,73
81720,71
81960,71
82200,69
82440,69
83520,71
83580,73
83760,71
83880,71
84180,69
84360,69
100320,64
100740,68
100800,69
101280,71
101760,68
102480,64
102600,64
104160,64
104640,69
105120,71
105600,68
106320,64
106500,64
108000,69
108420,71
108480,73
108960,71
109440,74
109440,73
109920,73
110400,71
111120,69
111240,69
116100,71
116160,73
116340,71
116520,71
116760,69
117000,69
117300,71
117540,68
119520,71
119580,73
119700,71
119940,71
120120,69
120360,69
120960,69
121440,71
121920,73
122520,71
122640,69
123780,71
123840,73
123960,71
124200,71
124440,69
124680,69
124920,71
125160,68
127200,71
127260,73
127380,71
127560,71
127800,69
128040,69
128640,69
129120,71
129600,73
131460,71
131520,73
131640,71
131880,71
132120,69
132360,69
132600,71
132840,68
134880,71
134940,73
135060,71
135240,71
135480,69
135720,69
136320,69
136800,71
137280,73
139140,71
139200,73
139320,71
139560,71
139800,69
140040,69
141120,71
141180,73
141360,71
141480,71
141780,69
141960,69
146400,69
146820,71
146880,73
147360,71
147780,73
147840,74
148320,73
148800,71
149520,69
149640,71
149700,73
150480,71
150600,69
154080,69
154560,71
154620,73
155040,71
155460,73
155520,74
156000,73
156480,71
156720,69
156960,68
159120,69
159240,69
