time,semitone
18120,59
18240,64
18600,63
18840,61
19080,59
19200,59
22080,64
22440,63
22680,61
22920,59
23040,59
25680,54
25800,54
25920,59
26040,54
26280,59
26640,61
26760,59
29520,54
29760,59
30000,54
30120,59
30480,61
30600,59
33600,64
33960,63
34320,59
34440,59
37320,59
37440,63
37560,64
37800,66
38280,59
38400,59
41160,54
41280,59
41400,54
41640,59
42000,61
42120,59
45000,54
45120,59
45240,54
45480,59
45840,61
45960,59
48840,54
48960,59
49200,54
49320,59
49680,54
49800,59
50160,61
52680,54
52800,59
53040,54
53160,59
53520,61
53640,64
54720,63
56640,64
57000,63
57360,59
57480,61
58560,59
58680,61
58920,63
59160,64
59280,63
60480,59
60600,61
60840,63
61200,59
61320,59
62400,59
62520,61
62760,63
63000,64
63120,63
64320,64
64680,63
65040,59
65160,61
66240,59
66360,61
66600,63
66840,64
66960,63
68160,59
68280,61
68520,63
68760,59
69120,64
71880,59
72000,64
72240,63
72360,64
72600,66
72840,66
73080,63
73320,61
74400,59
74640,61
74760,63
75120,64
75240,63
75600,64
75720,63
76080,59
76560,59
76800,64
77160,63
77520,59
79560,59
79680,64
79920,63
80040,64
80280,66
80520,66
80760,68
80880,66
82080,59
82320,59
82560,68
82800,66
83040,63
83280,61
83760,59
84480,68
84720,71
85200,75
102720,64
103080,63
103440,59
103560,61
104640,59
104760,61
105000,63
105240,64
105360,63
106560,59
106680,61
106920,63
107280,59
107400,59
108480,59
108600,61
108840,63
109080,64
109200,63
110400,64
110760,63
111120,59
111240,61
112320,59
112440,61
112680,63
112920,64
113040,63
114240,59
114360,61
114600,63
114960,59
115200,59
118080,64
118440,63
118800,59
118920,61
120000,59
120120,61
120360,63
120600,64
120720,63
121920,66
122160,66
122280,66
122520,63
122760,68
123120,66
123840,59
123960,61
124200,63
124440,64
124560,63
125760,64
126120,63
126480,59
126600,61
127680,59
127800,61
128040,63
128280,64
128400,63
129600,59
129720,61
129960,63
130200,59
130560,64
146640,59
146760,61
146880,63
147240,59
147600,54
