time,semitone
1920,57
2640,62
4800,66
5040,64
5280,66
5760,66
6480,61
8640,66
8880,64
9120,66
9600,66
10320,62
10560,62
12480,59
12720,61
12960,62
13440,64
14160,57
14400,57
17280,57
18240,62
19200,66
20160,66
20400,64
20640,66
21120,66
21840,61
22080,61
24000,66
24240,64
24480,66
24960,66
25680,62
25920,62
26640,59
27840,59
28080,61
28320,62
28800,64
29520,57
29760,57
31680,66
31920,64
32160,66
32640,66
33360,62
35520,66
35760,64
36000,66
36480,66
37200,62
39360,66
39600,64
39840,66
40320,66
41040,62
42000,64
42240,61
43200,66
43440,64
43680,66
44160,66
44880,62
45120,62
48000,57
48720,62
50880,66
51120,64
51360,66
51840,66
52560,61
54720,66
54960,64
55200,66
55680,66
56400,62
56640,62
58560,59
58800,61
59040,62
59280,62
59520,64
60240,57
60480,57
63360,57
64320,62
65280,66
66240,66
66480,64
66720,66
67200,66
67920,61
68160,61
70080,66
70320,64
70560,66
71040,66
71760,62
72000,62
72720,59
73920,59
74160,61
74400,62
74880,64
75600,66
75840,64
77760,66
78000,64
78240,66
78720,66
79440,62
81600,66
81840,64
82080,66
82560,66
83280,62
85440,66
85680,64
85920,66
86400,66
87120,62
88080,64
88320,61
89280,66
89520,64
89760,66
90240,66
90960,62
91200,62
109440,57
110160,62
112320,66
112560,64
112800,66
113280,66
114000,61
116160,66
116400,64
116640,66
117120,66
117840,62
118080,62
120000,59
120240,61
120480,62
120960,64
121680,66
121920,66
125760,66
126000,64
126240,66
126720,66
127440,62
129600,66
129840,64
130080,66
130560,66
131280,62
133440,66
133680,64
133920,66
134400,66
135120,62
136080,64
136320,61
137280,66
137520,64
137760,66
138240,66
138960,62
139200,62
141120,66
141360,64
141600,66
142080,69
142800,66
144960,66
145200,64
145440,66
145920,66
146640,62
148800,66
149040,64
149280,66
149760,69
150480,66
151440,62
152640,66
152880,64
153120,66
153600,66
154320,62
154560,62
155520,66
155760,64
156240,66
156480,64
156960,66
171840,66
172080,64
172320,66
172800,69
173520,66
175680,66
175920,64
176160,66
176640,66
177360,62
179520,66
179760,64
180000,66
180480,69
181200,66
182160,62
183360,66
183600,64
183840,66
184320,66
185040,62
185280,62
