time,semitone
9600,71
9960,71
10320,71
10560,71
10920,71
11280,71
11760,68
12960,71
13200,71
13440,73
13800,71
14160,68
14400,68
14640,66
14760,64
15000,71
15360,68
16800,64
17040,64
17280,68
17640,69
18000,68
18240,66
18720,64
18960,64
19200,68
19560,69
19920,68
20160,66
20640,64
20880,64
24960,71
25320,71
25680,71
25920,71
26280,71
26640,68
28320,71
28560,71
28800,73
29160,71
29520,68
29760,68
30000,66
30120,64
30960,64
31320,71
31680,68
32160,64
32400,64
32640,68
33000,69
33360,68
33600,66
33960,64
34320,64
34560,68
34920,69
35280,68
35520,66
36000,64
36240,71
36720,68
40080,71
40320,80
40680,78
41040,76
41280,76
41640,71
42000,76
42240,76
42600,78
42960,76
43680,76
43920,76
44160,80
44520,78
44880,76
45120,76
45480,71
45840,76
46080,76
46440,78
46800,76
47520,76
47760,76
48000,80
48360,78
48720,76
48960,76
49320,71
49680,76
49920,76
50280,78
50640,76
51360,71
51600,71
51840,80
52200,76
52560,75
53040,76
53520,73
55200,71
55440,71
55680,80
56040,76
56400,75
56880,76
57360,80
59040,76
59280,76
59520,80
59880,81
60240,80
60480,78
60840,76
61200,76
61440,80
61800,81
62160,80
62400,78
62760,76
63120,76
63360,83
63720,76
64080,75
64320,75
64680,76
65040,75
65280,73
68400,71
68400,66
68640,78
68640,71
69120,76
69120,71
72240,71
72240,66
72480,78
72480,71
72960,76
72960,71
73920,75
73920,71
74880,73
74880,68
76800,71
76800,68
77160,71
77160,68
77520,71
77520,68
77760,71
77760,68
78120,71
78120,68
78480,68
78480,64
80160,71
80160,68
80400,71
80400,68
80640,73
80640,68
81000,71
81000,68
81360,68
81360,64
81600,68
81600,64
81960,66
81960,63
82320,64
82320,59
82560,64
82560,59
82920,71
82920,68
83280,68
83280,64
84000,64
84000,59
84240,64
84240,59
84480,68
84480,64
84840,69
84840,64
85200,68
85200,64
85440,66
85440,63
86160,64
86160,59
86400,68
86400,64
86760,69
86760,64
87120,68
87120,64
87360,66
87360,63
87840,64
87840,59
88080,71
88080,68
88560,71
88560,68
91920,71
92160,80
92520,78
92880,76
93120,76
93480,71
93840,76
94080,76
94440,78
94800,76
95520,76
95760,76
96000,80
96360,78
96720,76
96960,76
97320,71
97680,76
97920,76
98280,78
98640,76
99360,76
99600,76
99840,80
100200,78
100560,76
100800,76
101160,71
101520,76
101760,76
102120,78
102480,76
103200,71
103440,71
103680,80
104040,76
104400,75
104880,76
105360,73
107040,71
107280,71
107520,80
107880,76
108240,75
108720,76
109200,80
110880,76
111120,76
111360,80
111720,81
112080,80
112320,78
112680,76
113040,76
113280,80
113640,81
114000,80
114240,78
114600,76
114960,76
115200,83
115560,76
115920,75
116160,75
116520,76
116880,75
117120,73
120240,71
120240,66
120480,78
120480,71
120960,76
120960,71
124080,71
124080,66
124320,78
124320,71
124800,76
124800,71
136080,71
136320,80
136680,78
137040,76
137280,76
137640,71
138000,76
138240,76
138600,78
138960,76
139680,76
139920,76
140160,80
140520,78
140880,76
141120,76
141480,71
141840,76
142080,76
142440,78
142800,76
143520,76
143760,76
144000,80
144360,78
144720,76
144960,76
145320,71
145680,76
145920,76
146280,78
146640,76
147360,71
147600,71
147840,80
148200,76
148560,75
149040,76
149520,73
151200,71
151440,71
151680,80
152040,76
152400,75
152880,76
153360,80
155040,76
155280,76
155520,80
155880,81
156240,80
156480,78
156840,76
157200,76
157440,80
157800,81
158160,80
158400,78
158760,76
159120,76
159360,83
159720,76
160080,75
160320,75
160680,76
161040,75
161280,73
162720,71
162960,71
163200,80
163560,76
163920,75
164400,76
164880,73
166560,71
166800,71
167040,80
167400,76
167760,75
168240,76
168720,80
170400,76
170640,76
170880,80
171240,81
171600,80
171840,78
172200,76
172560,76
172800,80
173160,81
173520,80
173760,78
174120,76
174480,76
174720,83
175080,76
175440,75
175680,75
176040,76
176400,75
176640,73
178560,83
178560,80
178920,81
178920,76
179280,83
179280,75
179520,81
179520,75
179880,80
179880,76
180240,81
180240,75
180480,80
180480,73
183600,71
183600,66
183840,78
183840,71
184320,76
184320,71
187440,71
187440,66
187680,78
187680,71
188160,76
188160,71
