time,semitone
11400,62
11520,62
11760,67
11880,67
12360,69
12480,69
12720,71
12840,71
13320,71
13440,72
13680,71
13800,69
14400,71
14640,67
14760,64
15240,62
15360,62
17280,71
17520,74
17640,71
18240,71
18360,71
18480,69
18600,67
18720,69
19200,69
19320,69
19440,69
19560,67
19680,67
19800,64
19920,67
20040,64
20160,69
20400,64
20520,62
21000,62
21120,64
21240,67
21360,67
21480,64
21600,67
21840,71
22080,69
22920,62
23040,64
23160,67
23280,67
23400,64
23520,67
23760,76
24000,74
24840,62
24960,64
25200,67
25320,67
25560,64
25920,71
26160,71
26280,69
26640,67
26760,69
28680,62
28800,62
29040,67
29160,67
29640,69
29760,69
30000,71
30120,71
30720,72
30960,71
31080,69
31680,71
31920,67
32040,64
32520,62
32640,62
34560,71
34800,74
34920,71
35520,71
35640,71
35760,69
35880,67
36000,69
36480,71
36600,71
36720,69
36840,67
36960,67
37080,64
37200,67
37320,64
37440,69
37680,64
37800,62
38280,62
38400,64
38520,67
38640,67
38760,64
38880,67
39120,71
39360,69
40200,62
40320,64
40440,67
40560,67
40680,64
40800,67
41040,76
41280,74
42120,62
42240,64
42480,67
42600,67
42840,64
43200,72
43440,71
43560,69
44040,67
44160,67
46080,76
46560,76
46680,74
46800,71
46920,74
47880,71
48000,72
48240,71
48480,67
48600,69
48720,71
48840,71
49920,76
50400,76
50520,74
50640,71
50760,74
51720,71
51840,72
52080,71
52200,72
52680,72
52800,72
53040,71
53280,72
53520,74
53640,74
55440,71
55560,72
55680,74
55920,71
56040,67
56520,62
56640,64
56880,67
57000,67
57480,71
57600,71
58080,71
58200,69
58320,67
58440,69
59280,71
59400,72
59520,74
59760,74
59880,74
60360,67
60480,76
60720,76
60960,76
61080,74
61200,74
61320,74
63120,71
63240,72
63360,74
63600,71
63720,67
64200,62
64320,64
64560,66
64680,67
65160,72
65280,71
65760,71
65880,69
66000,67
66120,69
66960,71
67080,72
67200,74
67440,71
67560,67
68040,71
68160,69
68520,71
68640,69
69000,67
69060,67
69120,67
71280,71
71640,69
71760,67
71880,69
72000,71
72240,69
72360,69
72840,69
72960,71
73200,71
73440,76
73680,71
73800,69
74100,71
74140,69
74180,67
74780,71
74900,71
75140,71
75380,71
75500,69
75620,67
75740,69
75860,71
76100,69
76220,69
76580,64
76700,66
76820,67
77060,66
77180,67
77660,66
77780,67
78260,71
78380,72
78740,74
90020,71
90140,72
90260,74
90500,71
90620,67
91100,62
91220,64
91460,66
91580,67
92060,72
92180,71
92660,71
92780,69
92900,67
93020,69
93860,71
93980,72
94100,74
94340,74
94460,74
94940,67
95060,76
95300,76
95540,76
95660,74
95780,74
95900,74
96740,71
96980,69
97700,71
97820,72
97940,74
98180,71
98300,67
98780,62
98900,64
99140,66
99260,67
99740,72
99860,71
100100,74
100340,71
100460,69
100580,67
100700,69
101540,71
101660,72
101780,74
102020,74
102140,74
102620,67
102740,76
102980,76
103220,76
103340,74
103460,74
103580,74
104300,71
104420,76
104660,76
104740,79
104820,76
104900,74
105380,71
105500,72
105620,74
105860,76
105980,74
106460,71
106580,72
106820,71
106940,72
107420,72
107540,71
108020,71
108140,69
108260,67
108380,69
109220,71
109340,72
109460,74
109700,74
109820,74
110300,67
110420,76
110660,76
110900,76
111020,74
111140,74
111260,74
113060,71
113180,72
113300,74
113540,71
113660,67
114140,62
114260,64
114500,66
114620,67
115100,72
115220,71
115460,74
115700,71
115820,69
115940,67
116060,69
116900,71
117020,72
117140,74
117380,71
117500,67
117980,71
118100,69
118460,71
118580,69
118940,67
119060,67
122420,76
122660,71
122780,74
124100,71
124340,69
124580,67
