time,semitone
3840,59
7560,59
11520,59
14880,59
15120,59
15360,59
15600,59
15840,57
16080,56
16320,59
16800,59
17040,59
17280,57
17520,56
17760,59
20640,59
20880,59
21120,59
21360,59
21600,57
21840,56
22080,59
22800,59
23040,59
23280,61
23520,59
24000,57
24240,57
26160,56
26400,57
26640,57
26880,57
27120,57
27360,56
27600,54
27840,57
28800,57
29040,57
29280,56
29700,61
30480,61
30720,63
31200,64
31920,56
32160,54
32280,56
32400,54
35040,61
35280,61
35520,61
35760,61
36000,59
36240,58
36480,61
36960,61
37200,61
37440,59
37680,58
37920,63
38160,61
40560,58
40800,61
41040,61
41280,61
41520,61
41760,59
42000,58
42240,61
42960,61
43200,61
43440,63
43680,61
44160,59
44400,59
46320,58
46560,59
47760,58
48000,59
48960,59
49200,59
49440,58
49920,63
50880,65
51360,66
51840,58
52080,56
52320,58
52560,56
57360,61
57600,63
57840,66
58080,68
58560,66
58800,66
59280,58
59520,65
60000,63
60240,63
60960,66
61920,66
62160,63
62400,65
63120,61
63360,63
63600,66
63840,68
64320,66
64560,66
65040,58
65280,65
65760,63
66000,63
66480,63
66720,66
67680,66
67920,63
68160,65
68880,61
69120,63
69360,66
69600,68
70080,66
70320,66
71040,70
71520,68
71760,68
72000,66
72240,66
72480,66
73440,63
73680,66
73920,68
74640,67
75120,61
75360,61
75840,59
76320,61
76560,63
76800,61
77280,59
78000,61
78240,58
84000,61
84240,61
84480,61
84720,61
84960,59
85200,58
85440,61
85920,61
86160,61
86400,59
86640,58
86880,63
87120,61
88320,63
88800,61
89760,61
90000,61
90240,61
90480,61
90720,59
90960,58
91200,61
91680,61
91920,61
92400,63
92640,61
92880,59
93120,59
93360,54
95280,61
95520,63
95760,63
96000,63
96240,63
96480,61
96720,59
96960,63
98160,63
98400,61
98880,66
99840,68
100320,70
100800,70
101040,68
101280,70
101520,68
103920,65
104160,66
104400,65
106320,61
106560,63
106800,66
107040,68
107520,66
107760,66
108240,58
108480,65
108960,63
109200,63
109920,66
110880,66
111120,63
111360,65
112080,61
112320,63
112560,66
112800,68
113280,66
113520,66
114000,66
114240,65
114720,63
114960,63
115440,63
115680,66
116640,66
116880,63
117120,65
117840,61
118080,63
118320,66
118560,68
119040,66
119280,66
120000,70
120480,68
120720,68
120960,66
121200,66
121440,66
122400,63
122640,66
122880,68
123360,67
124080,61
124320,61
124800,59
125280,61
125520,63
125760,61
126240,59
126960,61
127200,58
140880,61
141120,63
141360,66
141600,68
142080,66
142320,66
142800,58
143040,65
143520,63
143760,63
144480,66
145440,66
145680,63
145920,65
146640,61
146880,63
147120,66
147360,68
147840,66
148080,66
148560,66
148800,65
149280,63
149520,63
150000,63
150240,66
151200,66
151440,63
151680,65
152400,61
152640,63
152880,66
153120,68
153600,66
153840,66
154320,58
154560,65
155040,66
155280,63
156000,66
156960,68
157200,66
157440,65
158160,61
158400,63
158640,66
158880,68
159360,66
159600,66
160080,66
160320,65
160800,63
161040,63
161520,66
161760,66
162720,66
162960,63
163200,65
163920,61
164160,63
164400,66
164640,68
165120,66
165360,66
166080,70
166560,68
166800,68
167040,66
167280,66
167520,66
168480,63
168720,66
168960,68
169440,67
169680,67
170160,61
170400,61
170880,59
171360,61
171600,63
171840,61
172320,59
174480,61
174720,58
177600,63
178020,61
