time,semitone
13800,69
13800,57
13920,81
13920,69
14160,81
14160,69
14280,81
14280,69
14640,79
14640,67
14760,78
14760,66
15120,76
15120,64
15240,78
15240,66
16320,78
16320,66
16560,76
16560,64
16800,74
16800,62
17040,79
17040,67
17760,79
17760,67
18000,78
18000,66
18720,81
18720,69
18960,79
18960,67
21360,81
21360,69
21600,81
21600,69
21840,81
21840,69
21960,81
21960,69
22320,83
22320,71
22560,85
22560,73
22800,86
22800,74
23280,81
23280,69
23880,83
23880,71
24000,84
24000,72
24240,83
24240,71
24480,78
24480,66
24720,79
24720,67
26400,79
26400,67
26640,78
26640,66
26880,78
26880,66
27120,79
27120,67
27240,76
27240,64
29160,69
29160,57
29280,81
29280,69
29520,81
29520,69
29640,81
29640,69
30000,79
30000,67
30120,78
30120,66
30480,76
30480,64
30600,78
30600,66
31680,78
31680,66
31920,76
31920,64
32160,74
32160,62
32400,79
32400,67
33120,79
33120,67
33360,78
33360,66
34080,81
34080,69
34320,79
34320,67
36720,81
36720,69
36960,81
36960,69
37200,81
37200,69
37320,81
37320,69
37680,83
37680,71
37920,85
37920,73
38160,86
38160,74
38640,81
38640,69
39240,83
39240,71
39360,84
39360,72
39600,83
39600,71
39840,78
39840,66
40080,79
40080,67
41760,79
41760,67
41880,78
41880,66
42240,81
42240,69
43680,81
43680,69
43800,81
43800,69
43920,69
44160,88
44160,76
44880,86
44880,74
45000,86
45000,74
45600,81
45600,69
45720,81
45720,69
45840,81
45840,69
46080,90
46080,79
46800,88
46800,78
46920,88
46920,78
48000,91
48000,79
48240,91
48240,79
48600,90
48600,78
48840,88
48840,76
48960,86
48960,74
49440,86
49440,74
49620,88
49620,76
49800,90
49800,78
49920,78
49940,90
50180,88
50180,76
50540,88
50540,76
50720,86
50720,74
50900,85
50900,73
51380,81
51380,69
51500,81
51500,69
51620,81
51620,69
51860,88
51860,76
52520,86
52580,74
52700,90
52700,78
53300,81
53300,69
53420,81
53420,69
53540,81
53540,69
53780,90
53780,78
54500,88
54500,76
54620,91
54620,79
55700,91
55700,79
55940,91
55940,79
56300,90
56300,78
56480,76
56540,88
56660,86
56660,74
57140,86
57140,74
57320,88
57320,76
57500,90
57500,78
57620,90
57620,78
57860,88
57860,76
57980,88
57980,76
58220,90
58220,78
58340,76
58380,88
59040,88
59040,76
59220,88
59220,76
59380,90
59380,78
59500,76
59560,88
59740,88
59740,76
59920,88
59920,76
60160,90
60160,78
60400,91
60400,79
63720,69
63720,57
63840,81
63840,69
64080,81
64080,69
64200,81
64200,69
64560,79
64560,67
64680,78
64680,66
65040,76
65040,64
65160,78
65160,66
66240,78
66240,66
66480,76
66480,64
66720,74
66720,62
66960,79
66960,67
67660,79
