time,semitone
21120,53
21600,53
22080,53
22320,53
22560,53
22800,52
23280,48
24720,48
24960,53
25440,53
25920,53
26160,52
26400,53
26640,57
27120,52
28560,48
28800,50
29280,50
29760,50
30000,50
30240,50
30480,53
30960,50
31200,53
32400,50
32640,53
33120,53
33360,53
33600,53
33840,50
34080,53
34320,53
38400,53
38880,53
39360,53
39600,53
39840,53
40080,52
40560,48
42000,48
42240,53
42720,53
42960,53
43200,53
43440,52
43680,53
43920,57
44400,52
45840,48
46080,50
46560,50
46800,50
47040,50
47280,50
47520,50
47760,53
48240,50
48480,53
49680,50
49920,53
50400,53
50640,53
50880,53
51120,50
51300,53
51540,53
51600,55
52080,53
55680,55
56160,55
56640,55
56880,55
57120,55
57360,55
57840,55
58080,55
58560,55
58800,55
59040,55
59220,57
59460,55
60480,50
60720,52
60960,50
61200,53
61680,53
61920,53
62400,53
62640,53
62880,52
63120,50
63360,52
63540,48
64320,55
64560,55
64800,55
65040,60
65520,60
65760,60
66240,55
66480,55
66720,55
66960,57
67200,55
68160,50
68400,52
68640,50
68880,53
78720,53
79200,53
79680,53
79920,53
80160,53
80400,52
80880,48
82320,48
82560,53
83040,53
83520,53
83760,52
84000,53
84240,57
84720,52
86160,48
86400,50
86880,50
87360,50
87600,50
87840,50
88080,53
88560,50
88800,53
90000,50
90240,53
90720,53
90960,53
91200,53
91440,50
91680,53
91920,53
95940,53
96480,53
96960,53
97200,53
97380,53
97680,52
98160,48
99600,48
99840,53
100320,53
100560,53
100800,53
101040,52
101280,53
101520,57
102000,52
103440,48
103680,50
104160,50
104400,50
104640,50
104880,50
105120,50
105360,53
105840,50
106080,53
107280,50
107520,53
108000,53
108240,53
108480,53
108720,50
108960,53
109200,55
109200,53
109680,53
113280,55
113760,55
114240,55
114480,55
114720,55
114960,55
115440,55
115680,55
116160,55
116400,55
116640,55
116880,57
117120,55
118080,50
118320,52
118560,50
118800,53
119280,53
119520,53
120000,53
120240,53
120480,52
120720,50
120960,52
121200,48
121920,55
122160,55
122400,55
122640,60
123120,60
123360,60
123840,55
124080,55
124320,55
124560,57
124800,55
125760,50
126000,52
126240,50
126480,53
167100,55
167520,55
168000,55
168240,55
168480,55
168720,55
169200,55
169440,55
169920,55
170160,55
170400,55
170640,57
170880,55
171840,50
172080,52
172320,50
172560,53
173040,53
173280,53
173820,53
174000,53
174240,52
174480,50
174720,52
174960,48
175680,55
175920,55
176160,55
176400,60
176880,60
177120,60
177600,55
177840,55
178080,55
178320,57
178560,55
179520,50
179760,52
180000,50
180240,53
182400,55
182880,55
183360,55
183600,55
183840,55
184080,55
184560,55
184800,55
185280,55
185520,55
185760,55
186000,57
186240,55
187200,50
187440,52
187680,50
187920,53
188400,53
188640,53
189120,53
189360,53
189600,52
189840,50
190080,52
190320,48
191040,55
191280,55
191520,55
191760,60
192240,60
192480,60
192960,55
193200,55
193440,55
193680,57
193920,55
194880,50
195120,52
195360,50
195600,53
