time,semitone
9600,62
9840,62
10080,62
10320,62
10560,62
10800,60
11040,58
11280,60
11520,62
12480,60
12720,62
12960,55
13200,60
14400,60
14880,62
15120,58
17280,62
17520,62
17760,62
18000,62
18240,62
18480,60
18720,58
18960,60
19200,62
20160,60
20400,62
20640,55
20880,60
22080,60
22320,58
22560,60
22800,62
23040,58
24480,62
24720,63
24840,65
25920,65
26160,63
26280,62
26640,60
26880,63
28560,60
28680,62
28800,63
29040,63
29280,63
29520,63
29760,63
30000,62
30240,60
30480,58
30720,62
31200,60
32160,62
32400,63
32520,65
33600,65
33840,63
33960,62
34320,60
34440,63
36240,60
36360,62
36480,63
36720,63
36960,63
37200,63
37440,63
37680,62
37920,60
38160,58
38400,62
38760,60
38880,60
39360,62
39840,60
40320,62
41280,69
41760,70
42000,62
42960,62
43200,69
43680,70
43920,62
44880,60
45840,58
45960,60
46080,62
46320,63
46560,65
46800,65
47280,60
47760,58
48000,62
48000,60
48960,69
49440,70
49680,62
50640,67
50880,65
51120,63
51360,62
51600,58
51840,63
53520,60
53640,62
53760,63
54000,62
54240,60
54480,58
54960,58
55200,57
55440,58
55560,60
55680,58
70560,62
70800,63
70920,65
