time,semitone
7020,59
7260,62
7500,62
7740,62
7980,62
8220,60
8460,59
8700,62
9900,59
10140,62
10380,62
10620,62
10860,62
11100,60
11340,59
11580,59
12540,57
12780,59
13020,60
13800,67
14220,60
14460,60
15660,57
15900,60
16140,60
16380,60
16620,60
16860,59
17100,62
17340,62
18540,59
18780,62
19020,62
19260,62
19500,62
19740,60
19980,59
20220,62
21420,59
21660,62
21900,62
22140,62
22380,62
22620,60
22860,59
23100,59
23220,57
23340,55
24120,57
24300,59
24540,60
25260,67
25740,60
26040,60
26940,57
27180,59
27420,60
27660,60
27900,60
28140,60
28380,59
28620,60
28860,62
29580,59
29820,62
30060,59
30300,59
31020,69
31740,67
32460,66
32700,67
32940,69
33180,69
33900,66
35340,66
35580,67
35820,69
36060,69
36780,67
38940,59
39180,59
39420,60
39720,67
40440,60
40620,59
40860,60
41100,69
42540,59
42780,62
43020,59
43260,59
43980,69
44700,67
45420,66
45660,67
45900,69
46140,69
46860,66
48360,66
48540,67
48780,69
49080,69
49740,67
51900,59
52140,59
52380,60
52620,67
53100,64
53340,64
53580,66
53820,67
54060,69
61740,59
62040,62
62280,62
62460,62
62700,62
62940,60
63180,59
63420,62
64620,59
64920,62
65160,62
65340,62
65580,62
65820,60
66060,59
66300,59
67260,57
67500,59
67740,60
68460,67
69000,60
69180,60
70380,57
70620,60
70920,60
71100,60
71340,60
71580,59
71820,62
72060,62
73260,59
73500,62
73740,62
73980,62
74220,62
74460,60
74700,59
74940,62
76140,59
76380,62
76620,62
76860,62
77100,62
77340,60
77580,59
77820,59
77940,57
78060,55
78780,57
79020,59
79260,60
79980,67
80460,60
80700,60
81660,57
81900,59
82140,60
82380,60
82620,60
82860,60
83100,59
83340,60
83580,62
84300,59
84600,62
84780,59
85020,59
85740,69
86460,67
87180,66
87420,67
87660,69
87900,69
88620,66
90060,66
90300,67
90540,69
90780,69
91500,67
93660,59
93900,59
94140,60
94380,67
95100,60
95340,59
95580,60
95880,69
97260,59
97500,62
97740,59
97980,59
98700,69
99420,67
100140,66
100380,67
100620,69
100860,69
101580,66
103080,66
103260,67
103500,69
103740,69
104460,67
106620,59
106920,59
107100,60
107340,67
107820,64
108060,64
108300,66
108540,67
108780,69
110280,59
110460,62
110700,59
110940,59
111660,69
112380,67
113100,66
113340,67
113580,69
113820,69
114540,66
115980,66
116220,67
116460,69
116700,69
117420,67
119580,59
119820,59
120060,60
120300,67
121080,60
121260,59
121500,60
121740,69
123240,59
123420,62
123660,59
123900,59
124620,69
125340,67
126060,66
126300,67
126540,69
126780,69
127500,66
128940,66
129180,67
129420,69
129660,69
130380,67
132540,59
132780,59
133020,60
133320,67
133740,64
133980,64
134220,66
134460,67
134700,69
