time,semitone
10800,66
10800,65
11280,64
11400,62
11520,69
12720,66
12840,69
13200,71
13440,66
13440,65
13680,64
13800,62
17040,57
17280,64
17760,66
18000,61
18480,62
20160,59
20400,61
20640,62
20880,64
21120,66
21600,67
21840,63
22320,64
24000,61
24000,60
24360,59
24720,57
24960,57
25440,69
25440,68
26160,66
26160,65
26400,64
26640,66
27120,64
27240,62
27840,59
28080,61
28320,62
28560,64
28800,66
29040,66
29280,66
29520,66
30480,59
30720,66
31080,66
31440,66
31680,66
31980,67
32340,63
32640,64
36240,57
36480,64
36960,66
37200,61
37680,62
39360,59
39600,61
39840,62
40080,64
40320,66
40800,67
41040,63
41520,64
43200,61
43200,60
43560,59
43920,57
44160,57
44640,69
45360,66
45360,65
45600,64
45840,66
46200,64
46320,62
47040,59
47280,61
47520,62
47760,64
48000,66
48240,66
48480,66
48720,66
49680,59
49920,66
50280,66
50640,66
50880,66
51240,67
51600,63
51840,64
55440,66
55680,66
55920,66
56160,66
56400,66
56880,64
56880,63
57120,62
57360,64
57360,63
57840,57
58800,62
59040,61
59280,62
59760,62
60000,62
60240,62
60720,64
60720,63
60960,62
61200,61
61680,57
62640,59
62760,62
63840,69
63840,68
64080,67
64560,69
64560,68
65040,66
65520,64
65760,62
66000,62
66720,57
66960,57
67200,66
67440,66
67680,66
67920,66
69600,66
69840,66
70320,67
70560,63
70800,64
74640,69
74880,69
75360,71
75600,64
76080,66
76080,65
76560,64
76560,66
76680,64
76800,62
77760,59
78000,61
78240,62
78480,64
78720,66
79200,67
79440,63
79920,64
81600,61
81600,60
81960,59
82320,57
82560,57
83040,69
83760,66
83760,65
84000,64
84240,66
84240,65
84720,64
84960,62
85440,59
85680,61
85920,62
86160,64
86400,66
86640,66
86880,66
87120,66
88560,57
88800,57
89040,57
89280,57
89520,57
89760,64
90000,62
90240,62
105360,57
105600,64
106080,66
106320,61
106800,62
108480,59
108720,61
108960,62
109200,64
109440,66
109920,67
110160,63
110640,64
112320,61
112320,60
112680,59
113040,57
113280,57
113760,69
114480,66
114480,65
114720,64
114960,66
115440,64
115560,62
116160,59
116400,61
116640,62
116880,64
117120,66
117360,66
117600,66
117840,66
118800,59
119040,66
119400,66
119760,66
120000,66
120360,67
120720,63
120960,64
124560,66
124800,66
124800,65
125040,66
125280,66
125520,66
126000,64
126240,62
126480,64
126960,57
127920,62
128160,61
128400,62
128880,62
129120,62
129360,62
129600,62
129840,64
130080,62
130320,61
130800,57
131760,59
131880,62
132960,69
133200,67
133680,69
134160,66
134640,64
134880,62
135120,62
135840,57
136080,57
136320,66
136560,66
136800,66
137040,66
138720,66
138960,66
139440,67
139680,63
139920,64
142080,64
142800,66
142920,64
143040,63
143760,66
144000,66
144480,68
144720,63
145200,64
146880,61
147120,63
147360,64
147600,66
147840,68
148320,69
148560,65
149040,66
150720,63
150720,62
151080,61
151440,59
151680,59
152160,71
152880,68
152880,67
153120,66
153360,68
153840,66
153960,64
154560,61
154800,63
155040,64
155280,66
155520,68
155760,68
156000,68
156240,68
157680,59
157920,59
158160,59
158400,59
158640,59
158880,66
158880,65
159360,64
159600,64
