time,semitone
9600,64
9840,64
9960,64
10320,67
10440,72
11280,65
11400,64
11520,65
11760,65
11880,65
12240,74
12360,74
13440,65
13680,64
13800,65
14160,67
14280,74
14640,72
14760,71
15120,69
15240,69
15600,67
17040,64
17160,62
17280,61
17520,61
17640,61
18000,62
18120,64
18720,61
18960,62
19080,64
19200,67
19440,69
19560,65
19920,64
20040,65
20880,69
21000,71
21120,72
21360,72
21480,72
21960,72
22080,72
22320,69
22440,76
22680,77
23040,74
24840,72
24960,69
25200,69
25320,69
25680,72
25800,77
26640,72
26760,69
26880,70
27120,70
27240,70
27600,79
27720,79
28800,70
29040,69
29160,70
29520,74
29640,79
30000,77
30120,76
30480,74
30600,74
30960,72
31080,72
32400,69
32520,67
32640,66
32880,66
33000,66
33360,67
33480,69
34080,66
34240,67
34400,69
34560,72
34800,74
34920,70
35280,69
35440,70
36220,74
36340,76
36460,77
36700,77
36820,77
37300,77
37420,77
37660,74
37780,81
38020,82
38380,79
39580,72
39820,71
40060,72
40180,82
40540,81
41020,72
41140,82
41500,81
41740,79
41980,77
42100,81
42460,79
43420,82
43660,81
43900,76
44140,79
44380,77
44500,77
44980,77
45100,79
45340,77
45580,76
45820,77
46060,81
46680,82
47040,79
47880,70
48120,74
48240,74
48480,73
48720,74
48840,76
49080,76
49680,74
49800,76
50140,77
50260,77
50380,79
50620,81
50740,84
50980,82
51700,82
51820,82
52060,81
52180,77
52540,72
52780,82
53020,81
53260,79
53500,77
53740,80
63240,72
63580,69
63700,69
64060,72
64180,77
65020,72
65140,69
65260,70
65500,70
65620,70
65980,79
66100,79
67180,70
67420,69
67540,70
67900,74
68020,79
68380,77
68500,76
68860,74
68980,74
69340,72
69460,72
70780,69
70900,67
71020,66
71260,66
71380,66
71740,67
71860,69
72460,66
72620,67
72780,69
72940,72
73180,74
73300,70
73660,69
73820,70
74660,74
74780,76
74900,77
75140,77
75260,77
75740,77
75860,77
76100,74
76220,81
76460,82
76820,79
78020,72
78260,71
78500,72
78620,82
78980,81
79460,72
79580,82
79940,81
80180,79
80420,77
80540,81
80900,79
81860,82
82100,81
82340,76
82580,79
82820,77
82940,77
83420,77
83540,79
83780,77
84020,76
84260,77
84500,81
85100,82
85460,79
86300,70
86420,74
86540,74
86660,74
86900,73
87140,74
87260,76
87500,76
88100,74
88220,76
88340,77
88580,77
88700,77
88820,79
89060,81
89180,84
89420,82
90140,82
90260,82
90500,81
90620,77
90980,72
91220,82
91460,81
91700,79
91940,77
92180,77
93380,72
93620,71
93860,72
93980,82
94340,81
94820,72
94940,82
95300,81
95540,79
95780,77
95900,81
96260,79
97220,82
97460,81
97700,76
97940,79
98180,77
98300,77
98780,77
98900,79
99140,77
99380,76
99620,77
99860,81
100460,82
100820,79
101660,70
101780,74
101900,74
102020,74
102260,73
102500,74
102620,76
102860,76
103460,74
103580,76
103700,77
103940,77
104060,77
104180,79
104420,81
104540,84
104780,82
105500,82
105620,82
105860,81
105980,77
106340,72
106580,82
106820,81
107060,79
107300,77
107540,77
108980,82
109460,82
109700,81
109820,77
110180,72
110420,82
110660,81
110900,79
111140,77
111380,77
