time,semitone
27840,62
28320,64
28800,66
29280,66
29760,66
30240,66
31440,62
31680,66
32160,66
32640,66
33120,66
34080,62
34560,64
35520,62
36000,64
36960,66
37440,57
39240,57
39360,62
39840,64
40320,66
40800,66
41280,66
41760,66
42240,64
42480,62
43200,66
43440,64
43680,62
45120,62
45600,62
46080,64
47040,62
47520,64
48480,66
48960,64
50880,62
51360,62
51840,69
52320,69
52560,69
53280,69
53760,69
54240,71
54720,64
55200,62
55440,64
56640,64
57120,62
57600,61
58080,69
58320,69
59040,69
59520,69
60000,71
60480,64
60960,62
61920,66
62400,64
62640,62
63360,64
63840,59
64080,59
67680,66
68160,64
68400,62
69120,69
69600,62
69840,64
73440,66
73920,67
74400,69
74880,69
76320,69
77760,70
78240,64
78480,66
79680,66
80160,66
80640,64
81120,62
81600,62
82080,62
82560,59
83040,66
83520,64
85440,59
85920,62
86400,67
86880,67
87360,67
87840,67
88320,66
88800,64
89280,67
89760,67
90000,67
90240,67
90720,67
91200,66
91680,64
92160,62
96480,66
96960,67
97440,69
97920,69
99360,69
100800,70
101280,64
101520,66
102720,66
103200,66
103680,71
104160,69
104400,69
104880,66
105120,71
105600,69
105840,66
106080,64
106560,62
108480,59
108960,62
109440,67
109920,67
110400,67
110880,67
111840,59
112080,62
112320,67
112800,67
113280,67
113760,67
114240,66
114720,64
115200,62
120000,62
120480,64
120960,66
121440,66
121920,66
122400,66
122880,64
123360,62
123840,66
125280,66
125760,64
126240,62
126720,64
127200,62
127680,59
131520,62
132000,64
132480,66
132960,66
133440,69
133920,66
134400,62
135120,62
135360,66
135600,64
135840,62
137280,64
137760,62
138240,64
138720,62
138960,59
143040,62
143520,62
144000,69
144480,69
144720,69
145440,69
145920,69
146400,71
146880,64
147360,62
147600,64
148800,64
149280,62
149760,61
150240,69
150480,69
151200,69
151680,69
152160,71
152640,64
153120,62
154080,66
154560,64
154800,62
155520,64
156000,59
156240,59
159840,66
160320,64
160560,62
161280,69
161760,62
162000,64
165540,66
166020,67
166500,69
166980,69
168420,69
169860,70
170340,64
170580,66
171780,66
172260,66
172740,64
173220,62
173700,62
174180,62
174660,59
175140,66
175620,64
177540,59
178020,62
178500,67
178980,67
179460,67
179940,67
180420,66
180900,64
181380,67
181860,67
182100,67
182340,67
182820,67
183300,66
183780,64
184260,62
188580,66
189060,67
189540,69
190020,69
191460,69
192900,70
193380,64
193620,66
194820,66
195300,66
195780,71
196260,69
196500,69
196980,66
197220,71
197700,69
197940,66
198180,64
198660,62
200580,59
201060,62
201540,67
202020,67
202500,67
202980,67
203940,59
204180,62
204420,67
204900,67
205380,67
205860,67
206340,66
206820,64
207300,62
214560,71
215040,69
215520,66
216000,71
216480,70
217440,70
217920,71
218400,73
218880,74
224640,71
225120,69
225600,66
226080,71
226560,69
227520,67
228000,67
228480,67
228960,67
229440,66
229920,64
230400,62
234720,66
235200,67
235680,69
236160,69
237600,69
239040,70
239520,64
239760,66
240960,66
241440,66
241920,71
242400,69
242640,69
243120,66
243360,71
243840,69
244080,69
244320,71
244800,74
245040,71
246720,59
247200,62
247680,67
248160,67
248640,67
249120,67
250080,59
250320,62
250560,67
251040,67
251520,67
252000,67
252480,66
252960,64
253440,62
257760,69
258720,66
259200,67
259680,67
260160,67
260640,67
261600,59
261840,62
262080,67
262560,67
263040,67
263520,67
264000,66
264480,64
264960,62
