time,semitone
18720,63
18960,61
19200,63
20640,63
21120,58
23280,59
23520,59
23760,61
24000,61
24240,59
24480,59
24720,61
24960,61
25200,59
25440,59
25680,61
25920,61
26160,59
26400,63
26640,61
26880,63
28320,63
28800,58
30960,59
31200,59
31440,61
31680,61
31920,59
32160,59
32400,61
32640,61
32880,59
33120,59
33360,61
33600,61
33840,59
34080,63
34320,61
34560,63
36000,63
36480,58
38640,59
38880,59
39120,61
39360,61
39600,59
39840,59
40080,61
40320,61
40560,59
40800,59
41040,61
41280,63
41520,59
41760,59
43920,63
44160,71
44400,70
44880,63
45840,66
46080,68
46320,66
46560,68
46800,66
47760,68
48000,68
48240,68
48720,71
48960,68
49920,70
50160,71
50640,70
54240,63
54480,63
54960,70
55440,71
57600,63
57840,63
58320,70
59040,66
59520,63
61440,63
61680,63
62160,70
62880,66
63360,64
65280,64
65520,63
65760,64
66000,63
67200,64
67440,63
67680,64
67920,63
68160,64
68400,66
68880,66
69600,63
69840,63
70320,70
70800,71
72960,63
73200,63
73680,73
74400,70
74880,71
76800,63
77040,63
77520,73
78240,70
78720,71
80640,68
80880,68
81360,71
81840,68
82560,70
82800,71
83280,73
83760,70
84240,73
84480,75
86400,70
86640,71
87120,73
87600,70
88320,71
103200,63
103440,61
103680,63
105120,63
105600,58
107760,59
108000,59
108240,61
108480,61
108720,59
108960,59
109200,61
109440,61
109680,59
109920,59
110160,61
110400,61
110640,59
110880,63
111120,61
111360,63
112800,63
113280,58
115440,59
115680,59
115920,61
116160,61
116400,59
116640,59
116880,61
117120,61
117360,59
117600,59
117840,61
118080,61
118320,59
118560,63
118800,61
119040,63
120480,63
120960,58
123120,59
123360,59
123600,61
123840,61
124080,59
124320,59
124560,61
124800,61
125040,59
125280,59
125520,61
125760,63
126000,59
126240,59
128400,63
128640,71
128880,70
129360,63
130320,66
130560,68
130800,66
131040,68
131280,66
132240,68
132480,68
132720,68
133200,71
133440,68
134400,70
134640,71
135120,70
138720,63
138960,63
139440,70
139920,71
142080,63
142320,63
142800,70
143520,66
144000,63
145920,63
146160,63
146640,70
147360,66
147840,64
149760,64
150000,63
150240,64
150480,63
151680,64
151920,63
152160,64
152400,63
152640,64
152880,66
153360,66
154080,63
154320,63
154800,70
155280,71
157440,63
157680,63
158160,73
158880,70
159360,71
161280,63
161520,63
162000,73
162720,70
163200,71
165120,68
165360,68
165840,71
166320,68
167040,70
167280,71
167760,73
168240,70
168720,73
168960,75
171360,73
171600,73
172080,70
172560,71
174720,71
174960,71
175440,73
175920,71
176400,70
176640,71
178560,71
178800,71
179280,73
179760,71
180240,70
180480,71
182400,68
182640,68
183120,71
183600,68
184320,70
184560,71
185040,73
185520,70
186000,68
186240,70
