time,semitone
2520,61
3240,61
4200,61
11640,57
11880,61
12360,61
12600,57
12840,61
13320,61
13560,59
13800,62
14280,62
14520,59
14760,62
15240,62
15480,61
15720,64
16200,64
16440,61
16680,64
17160,64
17400,62
17640,64
17880,66
18360,59
19320,57
19560,61
20040,61
20280,57
20520,61
21000,61
21240,59
21480,62
21960,62
22200,59
22440,62
22920,62
23160,61
23400,64
23880,64
24120,61
24360,64
25080,62
25320,64
25560,66
26040,59
26520,57
26760,57
27000,69
27720,68
27960,66
28200,68
28440,69
28680,64
30600,64
30840,64
31560,64
31800,64
32040,66
32280,61
32520,62
34200,57
34440,57
34680,69
35400,68
35640,66
35880,68
36120,69
36360,73
38520,73
39240,69
39960,66
40200,71
42360,57
42600,61
43080,61
43320,57
43560,61
44040,61
44280,59
44520,62
45000,62
45240,59
45480,62
45960,62
46200,61
46440,64
46920,64
47160,61
47400,64
48120,62
48360,64
48600,66
49080,59
50040,57
50280,61
50760,61
51000,57
51240,61
51720,61
51960,59
52200,62
52680,62
52920,59
53160,62
53640,62
53880,61
54120,64
54600,64
54840,61
55080,64
55800,62
56040,64
56280,66
56760,59
57240,57
57480,57
57720,69
58440,68
58680,66
58920,68
59160,69
59400,64
61320,64
61560,64
62280,64
62520,64
62760,66
63000,61
63240,62
64920,57
65160,57
65400,69
66120,68
66360,66
66600,68
66840,69
67080,73
69000,74
69240,73
69960,69
70200,69
70920,74
71160,73
71640,69
72120,69
72600,66
72840,69
87960,57
88200,57
88440,69
89160,68
89400,66
89640,68
89880,69
90120,64
92040,64
92280,64
93000,64
93240,64
93480,66
93720,61
93960,62
95640,57
95880,57
96120,69
96840,68
97080,66
97320,68
97560,69
97800,73
99720,74
99960,73
100680,69
100920,69
101640,74
101880,73
102360,69
102840,69
103320,66
103560,69
107400,74
107640,73
108360,69
108600,69
109320,74
109560,73
110040,69
110520,69
111000,66
111240,69
115080,74
115320,73
116040,69
116280,69
117000,74
117240,73
117840,69
118800,69
119520,66
120000,69
137880,57
137880,57
138120,57
138120,57
138360,69
139080,68
139320,66
139560,68
139800,69
140040,73
141960,74
142200,73
142920,69
143160,69
143880,74
144120,73
144600,69
145080,69
145560,66
145800,69
