time,semitone
9600,66
9760,66
9920,66
10080,66
10240,66
10400,66
10560,66
11520,66
11680,66
11840,66
12000,66
12160,66
12320,66
12480,66
12960,66
13120,64
13280,62
13440,59
14880,66
15040,64
15200,62
15360,57
17280,66
17440,66
17600,66
17760,66
17920,66
18080,66
18240,66
19200,66
19360,66
19520,66
19680,66
19840,66
20000,66
20160,66
20640,66
20800,64
20960,62
21120,59
22560,66
22720,64
22880,62
23040,57
24660,62
24820,62
24980,71
25140,69
25920,66
26560,66
26720,67
26880,69
27040,69
27200,69
27360,69
27520,67
27680,66
28000,62
28780,62
28940,62
29100,62
29260,62
29420,64
29580,66
29740,62
30700,62
30860,62
31180,61
31500,64
31660,66
32300,62
32460,62
32620,71
32780,69
33100,74
33580,62
34220,66
34380,67
34540,69
34700,69
34860,69
35020,69
35180,67
35340,66
35660,62
36500,62
36660,62
36980,64
37300,66
37460,62
38420,62
38900,62
39220,57
39380,62
47060,66
47220,66
47380,66
47540,66
47700,66
47860,66
48020,66
48980,66
49140,66
49300,66
49460,66
49620,66
49780,66
49940,66
50420,66
50580,64
50740,62
50900,59
52340,66
52500,64
52660,62
52820,57
54380,62
54540,62
54700,71
54860,69
55700,66
56340,66
56500,67
56660,69
56820,69
56980,69
57140,69
57300,67
57460,66
57780,62
58560,62
58720,62
58880,62
59040,62
59200,64
59360,66
59520,62
60480,62
60640,62
60960,61
61280,64
61440,66
62080,62
62240,62
62400,71
62560,69
62880,74
63360,62
64000,66
64160,67
64320,69
64480,69
64640,69
64800,69
64960,67
65120,66
65440,62
66220,62
66380,62
66700,64
67020,66
67180,62
68140,62
68640,62
68960,57
69120,62
75360,66
75520,64
75680,62
77440,62
77600,62
77760,71
77920,69
78700,66
79340,66
79500,67
79660,69
79820,69
79980,69
80140,69
80300,69
80460,71
80620,67
81580,62
81740,62
81900,62
82060,62
82220,64
82380,66
82540,62
83500,62
83660,62
83980,62
84300,64
84460,66
85100,62
85260,62
85420,71
85580,69
85900,74
86380,62
87020,66
87180,67
87340,69
87500,69
87660,69
87820,69
87980,67
88140,66
88460,62
89300,62
89460,62
89780,64
90100,66
90260,62
91220,62
91700,62
92020,57
92180,62
95540,71
95700,69
98400,69
98560,64
98720,66
98880,62
