time,semitone
0,64
1680,52
1920,61
2400,59
2640,59
3360,57
3600,61
5520,52
5760,61
6240,59
6480,59
7200,57
7680,59
9360,52
9600,61
10080,59
10320,59
11040,57
11280,59
13440,57
13920,54
14160,57
14880,54
17040,52
17280,61
17760,59
18000,59
18720,57
18960,61
20880,52
21120,61
21600,59
21840,59
22560,57
23040,59
24720,52
24960,61
25440,59
25680,59
26400,57
26640,59
28800,57
29280,54
29520,57
30240,54
31680,61
32640,59
33600,57
34560,61
35520,61
36000,59
36480,61
37440,64
37920,64
38880,59
40800,59
41280,59
41760,61
42240,62
43200,62
43680,61
44160,62
45120,66
45600,61
47520,59
48480,57
49920,61
50880,61
51360,59
51840,61
52800,64
53280,64
54240,59
56160,59
56640,59
57120,61
57600,62
58560,62
59040,61
59520,62
60480,66
60960,61
62880,59
63840,57
109200,64
109440,73
109920,71
110160,71
110880,69
111120,73
113040,64
113280,73
113760,71
114000,71
114720,69
115200,71
116880,64
117120,73
117600,71
117840,71
118560,69
118800,71
119520,73
119760,71
120960,69
121440,66
121680,69
122400,66
123840,73
124560,64
124800,73
125280,71
125520,71
126000,69
126480,69
127680,73
128000,73
128320,81
128640,81
128960,80
129280,80
129600,80
129920,76
130240,76
130560,76
130880,71
131200,71
131520,71
132240,69
132480,71
133200,69
133440,71
133680,69
133920,71
134160,69
134400,71
134640,73
134880,71
135840,69
136800,66
138240,73
138560,73
138880,74
139200,73
139680,69
140160,73
140480,73
140800,74
141120,73
141600,69
142080,73
143040,73
143520,71
144000,73
144960,76
145440,76
146400,71
148320,71
148800,71
149280,73
149760,74
150720,74
151200,73
151680,74
152640,78
153120,73
155040,71
156000,69
157440,73
158400,73
158880,71
159360,73
160320,76
160800,76
161760,71
163680,71
164160,71
164640,73
165120,74
166080,74
166560,73
167040,74
168000,78
168480,73
170400,71
171360,69
180960,73
181440,73
181920,71
182160,71
182640,69
183120,69
184800,73
185280,73
185760,71
186000,71
186480,69
187200,68
187680,69
196320,73
196800,73
197280,71
197520,71
198000,69
198480,69
200160,73
200640,73
201120,71
201360,71
202080,69
202560,68
203040,71
203520,69
205200,66
205440,66
205680,68
206160,69
206880,71
209280,73
211200,74
213120,76
215040,76
217440,76
217920,81
218400,80
245760,73
246720,73
247200,71
247680,73
248640,76
249120,76
250080,71
252000,71
252480,71
252960,73
253440,74
254400,74
254880,73
255360,74
256320,78
256800,73
261120,73
262080,73
262560,71
263040,73
264000,76
264480,76
265440,71
267360,71
267840,71
268320,73
268800,74
269760,74
270240,73
270720,74
271680,78
272160,73
276480,73
277440,73
277920,71
278400,73
279360,76
279840,76
280800,71
282720,71
283200,71
283680,73
284160,74
285120,74
285600,73
286080,74
287040,78
287520,73
291840,73
292800,73
293280,71
293760,73
294720,76
295200,76
296160,71
298080,71
298560,71
299040,73
299520,74
300480,74
300960,73
301440,74
302400,78
302880,73
307200,73
308160,73
308640,71
309120,73
310080,76
310560,76
311520,71
313440,71
313920,71
314400,73
314880,74
315840,74
316320,73
316800,74
317760,78
318240,73
322560,73
323520,73
324000,71
324480,73
325440,76
325920,76
326880,71
328800,71
329280,71
329760,73
330240,74
331200,74
331680,73
332160,74
333120,78
333600,73
334080,73
335040,73
335360,71
335680,71
336000,71
336320,69
336640,69
336960,68
337440,69
