time,semitone
20400,64
20640,64
20760,64
21120,64
21600,65
22080,64
22560,62
23040,60
24240,64
24480,64
24720,64
24960,64
25440,65
25920,64
26400,62
26880,60
28080,62
28320,62
28560,62
28800,62
29280,64
29760,62
30240,60
30720,59
31920,62
32160,62
32400,62
32640,62
33120,64
33600,62
34080,60
34560,62
35760,64
36000,64
36120,64
36480,64
36960,65
37440,64
37920,62
38400,60
39600,64
39840,64
40080,64
40320,64
40800,65
41280,64
41760,62
42240,60
43440,57
43680,57
43920,59
44160,60
44640,62
45120,57
45600,59
46080,60
47280,60
47520,60
47760,60
48000,63
48480,63
48960,63
49440,63
49920,62
50880,60
51360,59
51840,60
54240,60
54480,60
54720,64
54960,64
55200,67
55440,67
55680,69
56640,65
57600,62
58560,69
59040,71
59520,67
60480,64
61440,60
63840,65
64080,64
64320,65
64560,64
64800,65
65040,64
65280,65
65520,64
65760,65
66000,64
66240,65
66480,64
66720,65
66960,67
67200,64
68160,65
69120,67
70080,65
70560,67
71040,69
72000,65
72960,62
73920,69
74400,71
74880,67
75840,64
76800,60
79200,65
79440,64
79680,65
79920,64
80160,65
80400,67
80640,69
81120,67
81600,69
82080,71
82560,71
83520,72
101040,64
101280,64
101400,64
101760,64
102240,65
102720,64
103200,62
103680,60
104880,64
105120,64
105360,64
105600,64
106080,65
106560,64
107040,62
107520,60
108720,62
108960,62
109200,62
109440,62
109920,64
110400,62
110880,60
111360,59
112560,62
112800,62
113040,62
113280,62
113760,64
114240,62
114720,60
115200,62
116400,64
116640,64
116760,64
117120,64
117600,65
118080,64
118560,62
119040,60
120240,64
120480,64
120720,64
120960,64
121440,65
121920,64
122400,62
122880,60
124080,57
124320,57
124560,59
124800,60
125280,62
125760,57
126240,59
126720,60
127920,60
128160,60
128400,60
128640,63
129120,63
129600,63
130080,63
130560,62
131520,60
132000,59
132480,60
134880,60
135120,60
135360,64
135600,64
135840,67
136080,67
136320,69
137280,65
138240,62
139200,69
139680,71
140160,67
141120,64
142080,60
144480,65
144720,64
144960,65
145200,64
145440,65
145680,64
145920,65
146160,64
146400,65
146640,64
146880,65
147120,64
147360,65
147600,67
147840,64
148800,65
149760,67
150720,65
151200,67
151680,69
152640,65
153600,62
154560,69
155040,71
155520,67
156480,64
157440,60
159840,65
160080,64
160320,65
160560,64
160800,65
161040,67
161280,69
161760,67
162240,69
162720,71
163200,71
164160,72
196800,64
197040,64
197520,64
197760,64
198240,65
198720,64
199200,62
199680,60
200880,64
201120,64
201360,64
201600,64
202080,65
202560,64
203040,62
203520,60
204720,62
204960,62
205200,62
205440,62
205920,64
206400,62
206880,60
207360,59
208560,62
208800,62
209040,62
209280,62
209760,64
210240,62
210720,60
211200,62
212400,64
212640,64
212760,64
213120,64
213600,65
214080,64
214560,62
215040,60
216240,64
216480,64
216720,64
216960,64
217440,65
217920,64
218400,62
218880,60
220080,57
220320,57
220560,59
220800,60
221280,62
221760,57
222240,59
222720,60
223920,60
224160,60
224400,60
224640,63
225120,63
225600,63
226080,63
226560,62
227520,60
228000,59
228480,60
230880,60
231120,60
231360,64
231600,64
231840,67
232080,67
232320,69
233280,65
234240,62
235200,69
235680,71
236160,67
237120,64
238080,60
240480,65
240720,64
240960,65
241200,64
241440,65
241680,64
241920,65
242160,64
242400,65
242640,64
242880,65
243120,64
243360,65
243600,67
243840,64
244800,65
245760,67
246720,65
247200,67
247680,69
248640,65
249600,62
250560,69
251040,71
251520,67
252480,64
253440,60
255840,65
256080,64
256320,65
256560,64
256800,65
257040,67
257280,69
257760,67
258240,69
258720,71
259200,71
260160,72
271200,65
271440,64
271680,65
271920,64
272160,65
272400,64
272640,65
272880,64
273120,65
273360,64
273600,65
273840,64
274080,65
274320,67
274560,64
275520,65
276480,67
286560,65
286800,64
287040,65
287280,64
287520,65
287760,67
288000,69
288480,67
288960,69
289440,71
289920,71
290880,72
301920,65
302160,64
302400,65
302640,64
302880,65
303120,64
303360,65
303600,64
303840,65
304080,64
304320,65
304560,64
304800,65
305040,67
305280,64
306240,65
307200,67
