time,semitone
4380,59
4920,62
5640,60
5880,59
6540,57
6780,57
8220,60
8700,63
8760,64
9420,60
9720,59
12060,60
12540,64
13020,66
13500,67
14220,62
14460,62
15180,59
15420,59
16140,57
16380,55
21660,59
22200,62
22860,60
23160,59
23820,57
24060,57
25500,60
25980,64
26760,60
26940,59
27660,60
27900,59
29340,60
29580,60
29820,64
30300,66
30780,66
31500,67
31740,62
33180,69
33420,69
33660,67
34140,66
34680,67
35340,62
35580,62
36300,59
36600,59
36780,57
37020,64
38040,55
38220,54
38460,55
40860,59
41340,62
42060,60
42360,59
43020,57
43260,57
44760,60
45180,64
45900,60
46140,59
46920,60
47100,59
48540,60
48780,60
49020,64
49500,66
49980,66
50700,67
50940,62
52380,69
52620,69
52860,67
53340,66
53820,67
54540,62
54780,62
55500,59
55740,59
55980,57
56220,64
57240,55
57540,54
57660,55
59340,62
59580,71
60780,69
61020,67
61260,66
61500,69
61860,67
62040,67
63180,64
63420,72
64620,64
64860,66
65100,67
65340,71
65580,69
65700,67
65820,69
67020,62
67260,74
69660,71
70140,77
70620,76
71100,74
71340,72
71460,72
71760,72
71940,71
72060,74
72300,72
72480,72
73980,69
74340,71
74700,72
74940,74
75660,67
75900,67
76620,67
76860,76
78060,74
78300,72
78540,71
78780,74
79500,67
79740,67
80460,67
80700,76
81900,74
82140,72
82380,71
82620,74
82980,72
83100,72
84300,64
84420,66
84600,67
85260,71
85500,69
86220,67
86460,67
90060,62
90300,71
91500,69
91740,67
91980,66
92220,69
92580,67
92700,67
93900,64
94140,72
95340,64
95580,66
95820,67
96120,71
96360,69
96420,67
96540,69
97740,62
97980,74
100380,71
100860,77
101340,76
101820,74
102060,72
102180,72
102420,72
102660,71
102780,74
103020,72
103140,72
104700,69
105060,71
105420,72
105660,74
106380,67
106620,67
107340,67
107580,76
108780,74
109020,72
109260,71
109500,74
109920,67
109980,67
111180,67
111420,76
112620,74
112860,72
113100,71
113400,74
113700,72
113820,72
115020,64
115140,66
115260,67
115980,71
116220,69
116940,67
117180,67
120060,74
120420,72
120780,71
121020,74
121740,67
121980,67
123900,74
124260,72
124620,71
124860,74
125580,67
126540,64
126660,66
126780,67
127500,71
127740,69
128460,67
128940,67
