time,semitone
18960,51
19200,60
19440,61
19560,60
21000,56
21120,63
21240,65
21360,63
21480,65
21600,63
21840,65
22080,66
22320,66
24960,65
25200,65
25680,65
25920,65
26160,63
26400,61
26640,63
26880,63
28680,56
28800,65
29040,65
29280,65
29520,65
29760,68
30000,68
30240,68
30480,70
30720,68
32640,65
32880,67
33120,68
33360,60
33600,63
34440,63
34560,65
34800,67
35040,68
35280,70
35520,63
36360,60
36480,60
36720,63
36960,63
37200,67
37440,65
38280,65
38400,68
38640,68
38880,68
39120,68
39360,67
39480,65
39600,63
40200,63
40320,65
40560,67
40800,68
41040,70
41280,63
46080,63
46320,63
47040,62
47280,63
47520,65
47760,62
48000,63
48120,65
48240,63
49920,63
50160,63
50760,63
50880,65
51120,67
51360,68
51600,70
51840,63
53760,65
54000,65
54240,65
54480,65
54720,64
54960,65
55200,67
55440,64
55680,65
72960,65
73200,65
73440,65
73800,60
73920,63
74160,65
74280,63
74880,61
75120,61
75360,61
75600,63
75840,63
76680,63
76800,65
77040,67
77280,68
77520,70
77760,63
78600,63
78720,65
78960,65
79200,63
79440,62
79680,63
82560,63
82680,63
83520,62
83760,63
84000,65
84240,62
84480,63
84600,65
84720,63
86400,63
86520,63
87240,63
87360,65
87600,67
87840,68
88080,70
88320,63
90240,65
90480,65
91200,64
91440,65
91680,67
91920,68
92160,65
93840,65
94080,65
95040,68
95280,67
95520,65
95760,60
96000,63
97680,56
97920,65
98880,68
99120,67
99360,65
99600,60
99840,63
101520,56
101760,65
102720,68
102960,67
103200,65
103440,60
103680,63
105360,56
105600,65
106560,64
106800,65
107040,67
107280,64
107520,65
