time,semitone
31200,49
31440,51
31680,52
31920,49
32160,52
32400,59
35040,56
35280,59
35520,63
35760,59
36000,56
36240,59
38880,56
39120,59
39360,63
39600,59
39840,56
40080,54
41520,54
42000,52
42480,52
42960,52
43440,49
43920,47
46560,49
46800,51
47040,52
47280,49
47520,52
47760,59
50400,56
50640,59
50880,63
51120,59
51360,56
51600,59
54240,56
54480,59
54720,63
54960,59
55200,56
55440,54
56880,49
57120,47
57360,56
57840,54
58560,52
58800,49
59040,52
59280,59
63360,68
64080,64
65040,61
65280,68
65520,68
65760,68
66000,68
66480,64
66960,64
67200,66
67440,66
67680,66
67920,66
68400,63
68640,59
68880,66
71040,68
71280,64
71760,64
72720,61
72960,68
73200,68
73440,68
73680,68
74160,64
74640,64
74880,66
75120,66
75360,66
75600,66
76080,63
76320,59
76560,66
78720,68
79080,64
79440,64
79920,61
80160,64
80400,66
80640,67
81000,64
81360,64
82320,64
82560,66
82920,63
83280,63
84480,64
84720,64
85200,64
86400,64
86640,64
87120,64
87120,65
87600,59
88320,64
94560,49
94800,51
95040,52
95280,49
95520,52
95760,59
98400,56
98640,59
98880,63
99120,59
99360,56
99600,59
102240,56
102480,59
102720,63
102960,59
103200,56
103440,54
104880,54
105360,52
105840,52
106320,52
106800,49
107280,47
109920,49
110160,51
110400,52
110640,49
110880,52
111120,59
113760,56
114000,59
114240,63
114480,59
114720,56
114960,59
117600,56
117840,59
118080,63
118320,59
118560,56
118800,54
120240,49
120480,47
120720,56
121200,54
121920,52
122160,49
122400,52
122640,59
126720,68
127440,64
128400,61
128640,68
128880,68
129120,68
129360,68
129840,64
130320,64
130560,66
130800,66
131040,66
131280,66
131760,63
132000,59
132240,66
134400,68
134640,64
135120,64
136080,61
136320,68
136560,68
136800,68
137040,68
137520,64
138000,64
138240,66
138480,66
138720,66
138960,66
139440,63
139680,59
139920,66
142080,68
142440,64
142800,64
143280,61
143520,64
143760,66
144000,67
144360,64
144720,64
145680,64
145920,66
146280,63
146640,63
147840,64
148080,64
148560,64
149760,64
150000,64
150480,64
150480,65
150960,59
151680,64
186240,68
186960,64
187920,61
188160,68
188400,68
188640,68
188880,68
189360,64
189840,64
190080,66
190320,66
190560,66
190800,66
191280,63
191520,59
191760,66
193920,68
194160,64
194640,64
195600,61
195840,68
196080,68
196320,68
196560,68
197040,64
197520,64
197760,66
198000,66
198240,66
198480,66
198960,63
199200,59
199440,66
201600,68
201960,64
202320,64
202800,61
203040,64
203280,66
203520,67
203880,64
204240,64
205200,64
205440,66
205800,63
206160,63
207360,64
207600,64
208080,64
209280,64
209520,64
210000,64
210000,65
210480,59
211200,68
211200,64
211920,64
212880,61
213120,68
213360,68
213600,68
213840,68
214320,64
214800,64
215040,66
215280,66
215520,66
215760,66
216240,63
216480,59
216720,66
218880,68
219120,64
219600,64
220560,61
220800,68
221040,68
221280,68
221520,68
222000,64
222480,64
222720,66
222960,66
223200,66
223440,66
223920,63
224160,59
224400,66
226560,68
226920,64
227280,64
227760,61
228000,64
228240,66
228480,67
228840,64
229200,64
230160,64
230400,66
230760,63
231120,63
232320,64
232560,64
233040,64
234240,64
234480,64
234960,64
234960,65
235440,59
236220,64
236400,64
236880,64
238080,64
238320,64
238800,64
238820,76
239300,71
239300,59
240020,64
240020,76
240260,64
240260,76
240680,76
240740,64
241940,64
241940,76
242180,64
242180,76
242660,64
242684,76
243104,71
243104,59
243885,64
243885,76
