time,semitone
42120,63
42240,63
42480,63
42720,63
42960,63
43080,63
43200,62
43440,60
43560,58
44040,55
44160,53
44400,53
44640,55
44880,58
45000,55
45240,53
45960,51
46080,63
46320,63
46500,63
47040,62
47040,60
47280,60
47340,58
47640,55
47820,58
47940,55
48180,53
49560,51
49680,51
49800,53
49920,55
50160,55
50400,58
50640,60
50880,58
51360,55
51600,53
51840,51
52080,51
52320,51
52560,51
52680,51
53400,51
53520,51
53640,53
53760,55
54000,58
54240,60
54480,58
54600,60
55020,58
55140,60
55380,63
55620,65
55680,67
55920,65
56160,63
56400,65
57120,58
57360,60
57600,63
57840,63
58080,63
58320,63
58440,63
58560,62
58800,60
58920,58
59400,58
59520,65
59760,67
60000,65
60240,67
61080,58
61200,58
61320,60
61440,63
61680,63
61920,63
62160,63
62280,65
62400,62
62640,60
62760,58
63240,59
63240,58
63360,65
63600,67
63840,65
64080,63
64920,58
65040,58
65160,60
65280,63
65520,63
65760,63
66000,63
66120,63
66240,62
66480,60
66600,58
67080,58
67200,65
67440,67
67680,65
67920,67
68760,58
68880,58
69000,60
69120,63
69360,63
69600,63
69840,63
69960,65
70080,62
70320,60
70440,58
70920,58
71040,65
71280,67
71520,65
71760,63
82440,63
82560,63
82800,63
83040,63
83280,63
83400,63
83520,62
83760,60
83880,58
84360,55
84480,53
84720,53
84960,55
85200,58
85320,55
85560,53
86280,51
86400,63
86640,63
86820,63
87360,62
87360,60
87600,60
87660,58
87960,55
88140,58
88260,55
88500,53
89880,51
90000,51
90120,53
90240,55
90480,55
90720,58
90960,60
91200,58
91680,55
91920,53
92160,51
92400,51
92640,51
92880,51
93000,51
93720,51
93840,51
93960,53
94080,55
94320,58
94560,60
94800,58
94920,60
95340,58
95460,60
95700,63
95940,65
96000,67
96240,65
96480,63
96720,65
97440,58
97680,60
97920,63
98160,63
98400,63
98640,63
98760,63
98880,62
99120,60
99240,58
99720,58
99840,65
100080,67
100320,65
100560,67
101400,58
101520,58
101640,60
101760,63
102000,63
102240,63
102480,63
102600,65
102720,62
102960,60
103080,58
103560,59
103560,58
103680,65
103920,67
104160,65
104400,63
105240,58
105360,58
105480,60
105600,63
105840,63
106080,63
106320,63
106440,63
106560,62
106800,60
106920,58
107400,58
107520,65
107760,67
108000,65
108240,67
109080,58
109200,58
109320,60
109440,63
109680,63
109920,63
110160,63
110280,65
110400,62
110640,60
110760,58
111240,58
111360,65
111600,67
111840,65
112080,63
143640,51
143760,51
143880,53
144000,55
144240,55
144480,58
144720,60
144960,58
145440,55
145680,53
145920,51
146160,51
146400,51
146640,51
146760,51
147480,51
147600,51
147720,53
147840,55
148080,58
148320,60
148560,58
148680,60
149100,58
149220,60
149460,63
149700,65
149760,67
150000,65
150240,63
150480,65
151200,60
151440,62
151680,65
151920,65
152160,65
152400,65
152520,65
152640,64
152880,62
153000,60
153480,60
153600,67
153840,69
154080,67
154320,69
155160,60
155280,60
155400,62
155520,65
155760,65
156000,65
156240,65
156360,67
156480,64
156720,62
156840,60
157320,61
157320,60
157440,67
157680,69
157920,67
158160,65
159000,60
159120,60
159240,62
159360,65
159600,65
159840,65
160080,65
160200,65
160320,64
160560,62
160680,60
161160,60
161280,67
161520,69
161760,67
162000,69
162840,60
162960,60
163080,62
163200,65
163440,65
163680,65
163920,65
164040,67
164160,64
164400,62
164520,60
165000,60
165120,67
165360,69
165600,67
165840,65
166560,60
166800,62
167040,65
167280,65
167520,65
167760,65
167880,65
168000,64
168240,62
168360,60
168840,60
168960,67
169200,69
169440,67
169680,69
170520,60
170640,60
170760,62
170880,65
171120,65
171360,65
171600,65
171720,67
171840,64
172080,62
172200,60
172680,61
172680,60
172800,67
173040,69
173280,67
173520,65
174360,60
174480,60
174600,62
174720,65
174960,65
175200,65
175440,65
175560,65
175680,64
175920,62
176040,60
176520,60
176640,67
176880,69
177120,67
177360,69
178200,60
178320,60
178440,62
178560,65
178800,65
179040,65
179280,65
179400,67
179520,64
179760,62
179880,60
180360,60
180480,67
180720,69
180960,67
181200,65
