time,semitone
9840,55
9960,55
10080,55
10320,55
10560,55
10800,55
11040,57
11280,59
11520,60
12480,52
12720,53
12840,55
13200,48
13440,57
14160,57
14280,57
14400,55
14640,57
14880,55
15120,52
15360,53
17520,57
17640,57
17760,57
18000,57
18240,57
18480,57
18720,59
18960,60
19200,52
19920,60
20160,59
20400,60
20640,59
20880,52
21120,55
21480,53
22560,50
22720,52
22880,53
23040,57
23760,55
24000,55
25200,55
25320,55
25440,55
25680,55
25920,55
26160,55
26400,57
26640,59
26880,60
27840,52
28080,53
28200,55
28560,48
28800,57
29520,57
29640,57
29760,55
30000,57
30240,55
30480,52
30720,53
32880,57
33000,57
33120,57
33360,57
33600,59
34080,59
34240,60
34400,62
34560,64
35040,65
35200,64
35360,62
35520,60
36000,57
36120,60
36240,60
36360,57
36480,62
36720,57
37920,57
38040,60
38160,60
38280,57
38400,62
38640,55
39840,57
39960,60
40080,60
40200,57
40320,62
40560,57
41040,57
41280,65
41520,64
41760,60
42000,64
42240,62
43680,62
43840,64
44000,65
44160,64
44880,60
45120,62
45840,64
45960,65
46080,64
46800,62
47040,60
47520,62
47680,64
47840,65
48000,64
48240,60
48360,60
48720,57
48840,65
49200,64
49440,60
49680,64
49920,62
51360,62
51520,64
51680,65
51840,64
52560,60
52800,62
53280,62
53440,64
53600,65
53760,67
54480,64
54720,60
55200,62
55360,64
55520,65
55680,64
55920,60
56040,60
56400,57
56520,65
56880,64
57120,62
57480,60
57600,60
65520,55
65640,55
65760,55
66000,55
66240,55
66480,55
66720,57
66960,59
67200,60
68160,52
68400,53
68520,55
68880,48
69120,57
69840,57
69960,57
70080,55
70320,57
70560,55
70800,52
71040,53
73200,57
73320,57
73440,57
73680,57
73920,57
74160,57
74400,59
74640,60
74880,52
75600,60
75840,59
76080,60
76320,59
76560,52
76800,55
77160,53
78240,50
78400,52
78560,53
78720,57
79440,55
79680,55
80880,55
81000,55
81120,55
81360,55
81600,55
81840,55
82080,57
82320,59
82560,60
83520,52
83760,53
83880,55
84240,48
84480,57
85200,57
85320,57
85440,55
85680,57
85920,55
86160,52
86400,53
88560,57
88680,57
88800,57
89040,57
89280,59
89760,59
89920,60
90080,62
90240,64
90720,65
90880,64
91040,62
91200,60
91680,57
91800,60
91920,60
92040,57
92160,62
92400,57
93600,57
93720,60
93840,60
93960,57
94080,62
94320,55
95520,57
95640,60
95760,60
95880,57
96000,62
96240,57
96720,57
96960,65
97200,64
97440,60
97680,64
97920,62
99360,62
99520,64
99680,65
99840,64
100560,60
100800,62
101520,64
101640,65
101760,64
102480,62
102720,60
103200,62
103360,64
103520,65
103680,64
103920,60
104040,60
104400,57
104520,65
104880,64
105120,60
105360,64
105600,62
107040,62
107200,64
107360,65
107520,64
108240,60
108480,62
108960,62
109120,64
109280,65
109440,67
110160,64
110400,60
110880,62
111040,64
111200,65
111360,64
111600,60
111720,60
112080,57
112200,65
112560,64
112800,62
113160,60
113280,60
114720,62
114880,64
115040,65
115200,64
115920,60
116160,62
116880,64
117000,65
117120,64
117840,62
118080,60
118560,62
118720,64
118880,65
119040,64
119280,60
119400,60
119760,57
119880,65
120240,64
120480,60
120720,64
120960,62
122400,62
122560,64
122720,65
122880,64
123600,60
123840,62
124320,62
124480,64
124640,65
124800,67
125520,64
125760,60
126240,62
126400,64
126560,65
126720,64
126960,60
127080,60
127440,57
127560,65
127920,64
128160,62
128400,60
128640,60
130080,62
130240,64
130400,65
130560,64
131280,60
131520,62
132240,64
132360,65
132480,64
133200,62
133440,60
133920,62
134080,64
134240,65
134400,64
134640,60
134760,60
135120,57
135240,65
135600,64
135840,60
136080,64
136320,62
137760,62
137920,64
138080,65
138240,64
138960,60
139200,62
139680,62
139840,64
140000,65
140160,67
140880,64
141120,60
141600,62
141760,64
141920,65
142080,64
142320,60
142440,60
142800,57
142920,65
143280,64
143520,62
143880,60
144000,60
145440,62
145600,64
145760,65
145920,64
146640,60
146880,62
147600,64
147720,65
147840,64
148560,62
148800,60
149280,62
149440,64
149600,65
149760,64
150000,60
150120,60
150480,57
150600,65
150960,64
151200,60
151440,64
151680,62
153120,62
153280,64
153440,65
153600,64
154320,60
154560,62
155040,62
155200,64
155360,65
155520,67
156240,64
156480,60
156960,62
157120,64
157280,65
157440,64
157680,60
157800,60
158160,57
158280,65
158640,64
158880,62
159120,60
159360,60
