time,semitone
7680,64
10080,66
10260,64
10560,62
11040,57
11700,61
11820,62
12000,64
12240,57
12480,66
12660,64
12900,62
13140,61
13440,61
13680,64
13800,61
15360,67
17760,69
18000,67
18240,65
18720,60
19380,64
19500,65
19660,67
19900,60
20140,69
20380,67
20620,65
20860,64
21100,64
21340,67
21460,64
23020,62
23260,64
23380,65
23740,69
23860,72
24940,72
25180,67
25300,69
25660,65
25780,67
26860,62
27100,64
27220,65
27580,69
27700,72
28420,72
28660,71
28740,69
30420,67
30660,69
31200,67
31680,65
32160,64
32640,62
34500,65
35220,67
35340,65
35500,64
36460,65
37080,64
37260,60
37440,62
39000,71
39240,72
39360,67
40080,67
40800,64
41280,63
41760,66
46560,61
46800,57
47040,68
47760,68
48220,71
48460,69
48700,66
50380,66
50620,59
50860,66
51580,66
51820,71
52060,69
52540,68
54240,68
54480,61
54720,68
55440,71
55720,71
55900,73
56380,69
57340,66
57580,64
58080,69
58560,69
59040,66
61920,61
62160,57
62400,68
63120,68
63580,71
63820,69
64060,66
65740,66
65980,59
66220,66
66940,66
67180,71
67420,69
67900,68
69600,68
69840,61
70080,68
70800,71
71260,73
71740,69
72700,66
72940,64
73440,69
73920,69
74640,64
