time,semitone
40320,64
43080,64
43680,64
44280,64
46080,59
47760,52
48000,60
49920,59
50640,60
52320,55
55680,53
56160,55
56400,57
57120,53
58080,53
59280,53
60240,52
60960,52
62880,52
63360,60
65280,57
65340,59
65760,60
66000,62
66720,55
67440,64
71040,65
72960,64
73680,62
74400,60
75120,59
78240,53
78720,60
80640,60
82320,57
82560,54
83520,57
84480,59
86040,60
86880,62
87120,60
87360,59
94080,76
96840,76
97440,76
98040,76
99840,71
101520,64
101760,72
103680,71
104400,72
106080,67
109440,65
109920,67
110160,69
110880,65
111840,65
113040,65
114000,64
114720,64
116640,64
117120,72
118560,72
118740,74
118860,72
119040,71
119520,72
119760,74
120480,67
121200,76
124800,77
126720,76
127440,74
128160,72
128880,71
132000,65
132480,72
134400,72
135840,72
136320,71
140160,72
140640,74
140880,74
141600,72
142560,74
143760,72
144000,72
144960,74
147360,69
148080,67
151680,65
152160,67
152400,69
153600,65
154260,65
155280,65
156360,64
156960,64
157200,65
157440,64
158880,64
159600,72
160560,74
161280,71
161640,72
162000,74
162960,67
163680,76
167040,77
167280,79
167520,77
168960,76
169680,74
170160,72
171000,71
174060,64
174300,68
174420,69
174540,64
174720,72
176640,72
178920,71
180960,69
181380,68
182820,69
251520,72
252000,74
252240,74
252960,72
253920,74
255120,72
255360,72
256320,74
258720,69
259440,67
263040,65
263520,67
263760,69
264960,65
265620,65
266640,65
267720,64
268320,64
268560,65
268800,64
270240,64
270960,72
271920,74
272640,71
273000,72
273360,74
274320,79
275040,76
278400,77
278640,79
278880,77
279840,76
280080,77
280320,76
281040,74
281520,72
282360,71
285600,64
286080,72
287280,72
287400,71
287520,69
287640,67
287760,66
287940,64
288180,62
288360,60
288660,59
288960,57
289200,55
289680,54
290280,71
292320,69
292740,68
294180,69
