time,semitone
19560,56
19680,59
19920,59
20040,59
21120,59
21360,57
21480,57
21720,56
21960,57
23520,63
23760,63
23880,63
24240,64
24480,66
24960,57
25320,56
25560,56
25680,54
25800,56
27360,64
27600,64
27720,64
28680,64
28800,64
29040,57
29280,57
29520,56
29640,57
31260,64
31440,64
31680,64
31920,66
32160,68
32640,68
33120,66
33600,63
34080,61
34560,59
34980,56
35220,59
35400,59
35520,59
36480,59
36720,57
36840,57
37080,56
37320,57
38880,63
39120,63
39240,63
39600,64
39720,66
40320,57
40680,56
40920,56
41100,54
41220,56
42720,64
42960,64
43080,64
44040,64
44160,64
44400,57
44640,57
44880,56
45000,57
46560,64
46800,64
46920,64
47220,66
47460,68
48000,68
48180,66
48960,59
49200,61
49320,64
49560,66
49920,68
50280,68
50640,68
50880,66
51240,66
51480,68
51720,66
51840,64
54120,64
54420,64
54600,64
54720,64
55360,61
55600,60
55720,59
56020,68
56620,66
57960,68
58320,68
58560,66
58920,66
59160,68
59400,66
59540,64
61760,61
62000,61
62240,64
62360,64
62600,61
62720,64
62960,66
63680,59
63800,59
64040,64
64220,64
64580,59
64820,64
65060,66
65660,61
65780,61
66020,64
66140,64
66500,61
66980,64
67100,66
67220,68
67700,66
67880,69
68780,68
69140,64
84500,59
84860,56
85100,59
85280,59
85460,59
86420,59
86660,57
86780,57
87020,56
87260,57
88820,63
89000,63
89180,63
89480,64
89660,66
90200,57
90620,56
90860,56
90980,54
91100,56
92660,64
92900,64
93020,64
93920,64
94100,64
94340,57
94520,57
94760,56
94880,57
96440,64
96680,64
96860,64
97160,66
97400,68
97880,68
98120,66
98840,59
99080,61
99200,64
99500,66
99860,68
100220,68
100580,68
100820,66
101180,66
101420,68
101600,66
101780,64
104000,64
104300,64
104540,64
104660,64
105300,61
105480,60
105600,59
105960,68
106560,66
107880,68
108240,68
108480,66
108780,66
109080,68
109260,66
109420,64
111720,61
111960,61
112200,64
112320,64
112560,61
112680,64
112920,66
113640,59
113760,59
114000,64
114120,64
114480,59
114720,64
114960,66
115600,61
115720,61
115960,64
116080,64
116380,61
116860,64
116980,66
117160,68
117580,66
117820,69
118660,68
119020,68
119400,68
119760,68
120000,66
120360,66
120660,68
120840,66
121000,64
123240,64
123540,64
123780,64
123900,64
124540,61
124720,60
124820,59
125180,68
125780,66
127100,68
127400,68
127640,66
128000,66
128300,68
128480,66
128640,64
130920,61
131160,61
131340,64
131520,64
131700,61
131880,64
132120,66
132840,59
132960,59
133200,64
133320,64
133680,59
133920,64
134160,66
134760,61
134880,61
135120,64
135240,64
135600,61
136080,64
136200,66
136320,68
136800,66
137040,69
137760,68
138240,64
