time,semitone
19200,59
19680,59
20160,54
20640,54
20880,52
21120,59
21600,59
22080,54
22560,54
22800,52
23040,59
23520,59
24000,54
24240,54
24360,54
24720,56
24960,52
25200,54
26400,47
26640,47
26880,59
27840,54
28200,54
28560,56
28800,57
29040,56
30240,54
30480,52
30720,54
30960,56
31200,52
32880,52
34560,59
35040,59
35040,59
35520,54
36000,54
36240,52
36480,59
36960,59
37440,54
37920,54
38160,52
38400,59
38880,59
39360,54
39600,54
39720,54
40080,56
40320,52
40560,54
41760,47
42000,47
42240,59
43200,54
43560,54
43920,56
44160,57
44400,56
45600,54
45840,52
46080,54
46320,56
46560,56
50400,64
50640,63
50880,64
51120,63
51360,64
51600,66
51840,66
52560,59
52800,59
54120,59
54240,64
54480,63
54720,64
54960,63
55200,64
55440,66
55680,66
56400,59
56640,59
58320,63
58560,64
58800,63
59040,61
59280,59
59520,59
60240,63
60480,64
60720,63
60960,61
61200,59
61440,59
61920,57
62160,56
62400,57
62640,56
62880,57
63120,59
63360,54
65040,56
65280,57
65520,56
65760,57
66000,56
66240,57
66480,56
66720,54
66960,52
67200,52
74880,59
75360,59
75360,59
75840,54
76320,54
76560,52
76800,59
77280,59
77760,54
78240,54
78480,52
78720,59
79200,59
79680,54
79920,54
80040,54
80400,56
80640,52
80880,54
82080,47
82320,47
82560,59
83520,54
83880,54
84240,56
84480,57
84720,56
85920,54
86160,52
86400,54
86640,56
86880,56
88800,64
89040,63
89280,64
89520,63
89760,64
90000,66
90240,66
90960,59
91200,59
92520,59
92640,64
92880,63
93120,64
93360,63
93600,64
93840,66
94080,66
94800,59
95040,59
96720,63
96960,64
97200,63
97440,61
97680,59
97920,59
98640,63
98880,64
99120,63
99360,61
99600,59
99840,59
100320,57
100560,56
100800,57
101040,56
101280,57
101520,59
101760,59
104160,64
104400,63
104640,64
104880,63
105120,64
105360,66
105600,66
105600,66
106320,59
106560,59
107880,59
108000,64
108240,63
108480,64
108720,63
108960,64
109200,66
109440,66
110160,59
110400,59
112080,63
112320,64
112560,63
112800,61
113040,59
113280,59
114000,63
114240,64
114480,63
114720,61
114960,59
115200,59
115680,57
115920,56
116160,57
116400,56
116640,57
116880,59
117120,54
118800,56
119040,57
119280,56
119520,57
119760,56
120000,57
120240,56
120480,54
120720,52
120960,52
138720,66
138960,65
139200,66
139440,65
139680,66
139920,68
140160,68
140880,61
141120,61
142440,61
142560,66
142800,65
143040,66
143280,65
143520,66
143760,68
144000,68
144720,61
144960,61
146640,65
146880,66
147120,65
147360,63
147600,61
147840,61
148560,65
148800,66
149040,65
149280,63
149520,61
149760,61
150240,59
150480,58
150720,59
150960,58
151200,59
151440,61
151680,56
154080,66
154320,65
154560,66
154800,65
155040,66
155280,68
155520,68
156240,61
156480,61
157920,66
158160,65
158400,66
158640,65
158880,66
159120,68
159360,68
160080,61
160320,61
162000,65
162240,66
162480,65
162720,63
162960,61
163200,61
163920,65
164160,66
164400,65
164640,63
164880,61
165120,61
165600,59
165840,58
166080,59
166320,58
166560,59
166800,61
167040,56
168720,58
168960,59
169200,58
169440,59
169680,58
169920,59
170160,58
170400,56
170640,54
170880,54
173280,58
173520,58
173760,59
174000,58
174240,56
174480,54
174720,54
177120,58
177360,58
177600,59
177840,58
178080,59
178320,61
178560,61
180240,58
180480,59
180720,58
180960,59
181200,58
181440,59
181680,58
181920,56
182160,54
182400,54
