time,semitone
48000,62
48360,60
48720,62
50880,62
51240,63
51600,65
51840,60
53280,58
53520,60
55200,58
55440,60
55680,62
56040,60
56400,62
58560,62
58920,63
59280,65
59520,60
60960,58
61200,62
61680,60
62880,58
63360,67
64080,67
66240,63
66720,65
67200,66
67680,68
67920,66
68040,68
68400,66
71040,65
71400,66
71760,65
73920,62
74400,65
74880,60
76560,60
76800,62
77040,62
77280,60
77520,65
78000,63
78720,62
79080,60
79440,62
79440,60
81600,62
81960,63
82320,65
82560,60
84000,58
84240,60
85920,58
86160,60
86400,62
86760,60
87120,62
89280,62
89640,63
90000,65
90240,60
91680,58
91920,60
93600,58
94080,67
94800,67
96960,63
97440,65
97920,66
98400,68
98640,66
98760,68
99120,66
101760,65
102120,66
102480,65
104640,62
105120,65
105600,60
107280,60
107520,62
107760,62
108000,60
108240,65
108720,63
109440,62
109800,60
110160,62
110160,60
112320,62
112680,63
113040,65
113280,60
114720,58
114960,60
116640,58
116880,60
117120,62
117480,60
117840,62
120000,62
120360,63
120720,65
120960,60
122400,58
122640,60
124320,58
124560,60
124800,62
125160,60
125520,62
127680,62
128040,63
128400,65
128640,60
130080,58
130320,60
238080,62
238440,60
238800,62
240960,62
241320,63
241680,65
241920,60
243360,58
243600,60
245280,58
245520,60
245760,62
246120,60
246480,62
248640,62
249000,63
249360,65
249600,60
251040,58
251280,62
251760,60
252960,58
253440,67
254160,67
256320,63
256800,65
257280,66
257760,68
258000,66
258120,68
258480,66
261120,65
261480,66
261840,65
264000,62
264480,65
264960,60
266640,60
266880,62
267120,62
267360,60
267600,65
268080,63
268800,62
269160,60
269520,62
