time,semitone
20880,55
21120,55
21600,55
21840,57
22560,59
22800,57
26400,59
26640,60
26880,62
27360,62
27600,62
28080,62
28800,55
30000,50
30240,55
30480,57
30720,59
31200,60
31440,59
31680,57
31920,55
32400,55
32640,57
36240,55
36480,55
36960,55
37200,57
37680,59
38160,57
38400,57
41760,59
42000,60
42240,62
42480,62
42960,62
43440,62
43680,55
43920,55
44640,57
44880,59
45360,60
45840,59
46080,57
49920,62
50640,55
50880,55
51120,55
51360,67
51600,66
52080,62
52560,59
53040,57
53520,57
53760,59
54480,55
54720,55
54960,55
55200,64
55440,62
55920,60
56400,59
56640,57
57120,55
57360,55
58320,50
58560,52
58920,54
59280,55
59520,55
59760,50
60240,50
60480,50
60840,55
61200,59
61440,59
61920,57
62160,57
65280,62
66000,55
66240,55
66480,55
66720,67
66960,66
67440,62
67920,59
68400,57
68880,57
69120,59
69840,55
70080,55
70320,55
70560,64
70800,62
71280,60
71760,59
72000,57
72480,55
72720,55
73680,50
73920,52
74160,54
74400,55
74640,55
74880,50
75840,50
76200,55
76560,59
76800,59
77280,57
77520,57
79200,60
79440,59
79680,55
80160,55
80400,57
82080,55
90000,55
90240,55
90720,55
90960,57
91680,59
91920,57
95520,59
95760,60
96000,62
96480,62
96720,62
97200,59
97680,62
97760,64
99140,50
99380,55
99620,57
99860,59
100340,55
100580,55
100820,50
101060,50
101540,55
101780,57
105620,55
106100,55
106340,57
107060,59
107540,57
108020,59
109220,60
109300,59
109460,57
110900,59
111140,60
111380,62
111620,62
112100,62
112340,59
112580,59
113300,64
113540,62
114020,59
114500,60
114980,62
115100,64
115220,62
119060,62
119780,55
120020,55
120260,55
120500,67
120740,66
121220,62
121700,59
122180,57
122660,57
122900,59
123620,55
123860,55
124100,55
124340,64
124580,62
125060,60
125540,59
125780,57
126260,55
126500,55
127460,50
127700,52
127940,54
128180,55
128420,55
128660,50
128900,50
129380,50
129620,50
129980,55
130340,59
130580,59
131060,57
131300,57
134420,62
135140,55
135380,55
135620,55
135860,67
136100,66
136580,62
137060,59
137540,57
138020,57
138260,59
138980,55
139220,55
139460,55
139700,64
139940,62
140420,60
140900,59
141140,57
141620,55
141860,55
142820,50
143060,52
143300,54
143540,55
143780,55
144020,50
144980,50
145340,55
145700,59
145940,59
146420,57
146660,60
147620,59
147860,57
149060,57
149300,59
149540,60
149780,62
150260,62
150500,62
150980,62
151460,55
151700,55
153380,50
153620,59
154100,60
154340,59
154580,57
154820,55
155300,55
155540,57
157220,54
157460,54
157940,54
158180,62
158420,54
158660,54
159140,54
159380,55
160340,55
160700,57
161060,59
161300,59
164420,60
164660,59
164900,57
165140,57
168980,62
169700,55
169940,55
170180,55
170420,67
170660,66
171140,62
171620,59
172100,62
172580,59
172700,57
172820,55
173540,55
173780,55
174020,55
174260,64
174500,62
174980,60
175460,59
175940,62
176420,62
177380,62
177620,62
177860,62
178100,59
178340,64
178820,62
179300,55
179540,55
179900,57
180260,59
180500,59
181220,60
181460,59
181700,59
181940,60
182180,62
182300,64
182420,62
183620,62
183700,64
183860,59
184100,62
185060,55
185300,55
185540,55
185780,67
186020,66
186740,62
186980,59
187460,57
187940,57
188180,59
188900,55
189140,55
189380,55
189620,64
189860,62
190340,60
190820,59
191060,57
191540,55
191780,55
192740,50
192980,52
193220,54
193460,55
193700,55
193940,50
194900,50
195260,55
195620,59
195860,59
196340,57
196580,59
196660,60
198220,60
198460,59
198700,55
198940,55
199420,57
200380,59
202080,60
202320,59
202560,55
202800,52
203280,50
203400,52
205920,60
206160,59
206400,55
206700,55
207120,57
209020,55
209260,55
211000,55
211320,55
212340,54
213480,54
213780,55
