time,semitone
34560,71
34800,73
35280,71
35760,73
36240,76
36720,73
37200,71
37680,69
38160,71
38880,73
39120,71
39600,73
40080,66
42240,71
42480,73
42960,71
43440,73
43920,76
44400,73
44880,71
45360,69
45840,76
46560,73
46800,71
47280,69
47760,71
49920,71
50160,73
50640,71
51120,73
51600,76
52080,73
52560,71
53040,69
53520,71
54240,73
54480,71
54960,73
55440,66
57600,71
57840,73
58320,71
58800,73
59280,76
59760,73
60240,71
60720,69
61200,76
61920,73
62160,71
62640,69
63120,71
72960,71
73200,73
73680,71
74160,73
74640,76
75120,73
75600,71
76080,69
76560,71
77280,73
77520,71
78000,73
78480,66
80640,71
80880,73
81360,71
81840,73
82320,76
82800,73
83280,71
83760,69
84240,76
84960,73
85200,71
85680,69
86160,71
88320,71
88560,73
89040,71
89520,73
90000,76
90480,73
90960,71
91440,69
91920,71
92640,73
92880,71
93360,73
93840,66
96000,71
96240,73
96720,71
97200,73
97680,76
98160,73
98640,71
99120,69
99600,76
100320,73
100560,71
101040,69
101520,71
102720,69
102720,66
102960,69
102960,66
103680,69
103680,66
104640,66
104640,61
104880,69
104880,66
105360,71
105360,68
106560,69
106560,66
106800,71
106800,66
107280,73
107280,69
107760,76
107760,71
108240,76
108240,71
108720,78
108720,73
109200,76
109200,73
109680,74
109680,71
110400,73
110400,69
110640,73
110640,69
111360,73
111360,69
112320,69
112320,66
112560,73
112560,69
113040,76
113040,71
114240,73
114240,69
114720,71
114720,66
115200,73
115200,69
115680,74
115680,71
116160,73
116160,69
116640,74
116640,71
118800,71
119040,73
119520,74
120000,73
120480,74
120960,73
121920,69
122400,71
123360,76
126720,73
126960,74
127440,76
127920,76
128400,85
128880,83
129360,81
129840,80
130320,81
130800,83
131280,81
134160,76
134400,76
134880,78
135120,76
135600,78
136080,76
136560,78
137040,76
138000,76
138240,76
138720,78
138960,76
139440,78
139920,81
140400,78
140880,76
142080,73
142320,74
142800,76
143280,76
143760,85
144240,83
144720,81
145200,80
145680,81
146160,83
146640,81
149520,76
149760,76
150240,78
150480,76
150960,78
151440,76
151920,78
152400,76
153360,76
153600,76
154080,78
154320,76
154800,78
155280,81
155760,78
156240,76
157440,73
157680,74
158160,76
158640,76
159120,85
159600,83
160080,81
160560,80
161040,81
161520,83
162000,81
165120,76
165600,76
166080,76
166560,76
167040,73
168000,69
168480,71
169440,69
192000,71
192240,73
192720,71
193200,73
193680,76
194160,73
194640,71
195120,69
195600,71
196320,73
196560,71
197040,73
197520,66
199680,71
199920,73
200400,71
200880,73
201360,76
201840,73
202320,71
202800,69
203280,76
204000,73
204240,71
204720,69
205200,71
207360,71
207600,73
208080,71
208560,73
209040,76
209520,73
210000,71
210480,69
210960,71
211680,73
211920,71
212400,73
212880,66
215040,71
215280,73
215760,71
216240,73
216720,76
217200,73
217680,71
218160,69
218640,76
219360,73
219600,71
220080,69
220560,71
221760,69
221760,66
222000,69
222000,66
222720,69
222720,66
223680,66
223680,61
223920,69
223920,66
224400,71
224400,68
225600,69
225600,66
225840,71
225840,66
226320,73
226320,69
226800,76
226800,71
227280,76
227280,71
227760,78
227760,73
228240,76
228240,73
228720,74
228720,71
229440,73
229440,69
229680,73
229680,69
230400,73
230400,69
231360,69
231360,66
231600,73
231600,69
232080,76
232080,71
233280,73
233280,69
233760,71
233760,66
234240,73
234240,69
234720,74
234720,71
235200,73
235200,69
235680,74
235680,71
237840,71
238080,73
238560,74
239040,73
239520,74
240000,73
240960,69
241440,71
242400,76
245760,73
246000,74
246480,76
246960,76
247440,85
247920,83
248400,81
248880,80
249360,81
249840,83
250320,81
253200,76
253440,76
253920,78
254160,76
254640,78
255120,76
255600,78
256080,76
257040,76
257280,76
257760,78
258000,76
258480,78
258960,81
259440,78
259920,76
261120,73
261360,74
261840,76
262320,76
262800,85
263280,83
263760,81
264240,80
264720,81
265200,83
265680,81
268560,76
268800,76
269280,78
269520,76
270000,78
270480,76
270960,78
271440,76
272400,76
272640,76
273120,78
273360,76
273840,78
274320,81
274800,78
275280,76
276480,73
276720,74
277200,76
277680,76
278160,85
278640,83
279120,81
279600,80
280080,81
280560,83
281040,81
284160,76
284640,76
285120,76
285600,76
286080,73
287040,69
287520,71
288480,76
291840,81
291840,78
293280,80
293280,76
295680,81
297120,80
298080,76
299520,81
299520,78
