time,semitone
36480,73
36960,71
37200,73
37920,71
38160,73
38880,71
39120,73
39600,71
40320,73
40800,74
41040,73
44160,74
44640,73
44880,74
45600,73
45840,74
46560,73
46800,74
47520,76
48000,74
48480,73
48720,73
51840,73
52320,71
52560,73
53280,71
53520,73
54240,71
54480,73
54960,71
55680,73
56160,74
56400,73
59520,74
60000,73
60240,74
60960,73
61200,74
61920,73
62160,74
62880,76
63360,74
63840,73
64080,73
67920,69
68160,78
68400,76
68640,74
68880,74
69600,73
69840,74
70320,76
71040,74
71520,73
71760,73
75600,69
75840,78
76080,76
76320,74
76560,74
77280,73
77520,74
78000,73
78720,76
79920,69
80400,73
82560,81
82800,81
83280,76
83520,76
84000,74
84240,73
84720,74
85200,76
86400,81
86640,81
87120,76
87360,76
87840,74
88080,73
88560,74
89040,76
90240,81
90480,81
90960,76
91200,76
91680,74
91920,73
92400,74
92880,76
94080,81
94320,81
94800,81
95040,81
95280,81
95760,85
96240,81
96720,81
97920,81
98160,81
98640,76
98880,76
99360,74
99600,73
100080,74
100560,76
101760,81
102000,81
102480,76
102720,76
103200,74
103440,73
103920,74
104400,76
105600,81
105840,81
106320,76
106560,76
107040,74
107280,73
107760,74
108240,76
109440,81
109680,81
110160,81
110400,81
110640,81
111120,85
111600,81
112080,81
128640,73
129120,71
129360,73
130080,71
130320,73
131040,71
131280,73
131760,71
132480,73
132960,74
133200,73
136320,74
136800,73
137040,74
137760,73
138000,74
138720,73
138960,74
139680,76
140160,74
140640,73
140880,73
144000,73
144480,71
144720,73
145440,71
145680,73
146400,71
146640,73
147120,71
147840,73
148320,74
148560,73
151680,74
152160,73
152400,74
153120,73
153360,74
154080,73
154320,74
155040,76
155520,74
156000,73
156240,73
160080,69
160320,78
160560,76
160800,74
161040,74
161760,73
162000,74
162480,76
163200,74
163680,73
163920,73
167760,69
168000,78
168240,76
168480,74
168720,74
169440,73
169680,74
170160,73
170880,76
172080,69
172560,73
174720,81
174960,81
175440,76
175680,76
176160,74
176400,73
176880,74
177360,76
178560,81
178800,81
179280,76
179520,76
180000,74
180240,73
180720,74
181200,76
182400,81
182640,81
183120,76
183360,76
183840,74
184080,73
184560,74
185040,76
186240,81
186480,81
186960,81
187200,81
187440,81
187920,85
188400,81
188880,81
190080,81
190320,81
190800,76
191040,76
191520,74
191760,73
192240,74
192720,76
193920,81
194160,81
194640,76
194880,76
195360,74
195600,73
196080,74
196560,76
197760,81
198000,81
198480,76
198720,76
199200,74
199440,73
199920,74
200400,76
201600,81
201840,81
202320,81
202560,81
202800,81
203280,85
203760,81
204240,81
236160,73
236640,71
236880,73
237600,71
237840,73
238560,71
238800,73
239280,71
240000,73
240480,74
240720,73
243840,74
244320,73
244560,74
245280,73
245520,74
246240,73
246480,74
247200,76
247680,74
248160,73
248400,73
