time,semitone
28800,62
29520,62
30240,59
30720,60
31440,59
32160,55
36480,62
36960,62
37440,59
37920,59
38400,60
39120,59
39840,55
44160,62
44880,59
45360,59
46080,60
46800,59
47520,55
49440,55
49920,57
50640,59
51360,59
59520,62
60240,62
60960,59
61440,60
62160,59
62880,55
67200,62
67860,62
68640,59
69120,60
69840,59
70560,55
74880,62
75600,59
76080,59
76800,60
77520,59
78240,55
80160,55
80640,57
81360,59
82080,59
89760,76
90240,76
90720,78
90960,78
91680,79
92160,78
92880,74
93600,71
94080,74
97440,76
97920,76
98640,78
99360,79
99840,78
100560,81
101280,74
101760,76
102720,74
102960,72
103200,71
103440,72
105120,76
105600,76
106320,78
106800,79
107520,78
108240,74
108720,71
109440,74
111360,79
112080,78
112800,74
113280,79
114000,78
114720,74
115200,79
115920,78
116640,74
121440,79
122160,78
122880,74
125280,71
125760,81
126240,79
128160,78
129840,74
130560,74
131280,72
132960,72
133440,83
133920,81
135840,79
136800,78
137760,74
140640,71
141120,81
141600,79
143520,78
145200,74
145920,74
146880,72
148320,72
148800,83
149280,81
151200,79
152160,78
153120,78
153600,79
170880,62
171600,62
172320,59
172800,60
173520,59
174240,55
178080,62
178560,62
179040,62
179520,59
180000,59
180480,60
181200,59
181920,55
186240,62
186960,59
187440,59
188160,60
188880,59
189600,55
191520,55
192000,57
192720,59
193440,59
201600,62
202320,62
203040,59
203520,60
204240,59
204960,55
209280,62
209760,62
210240,59
210720,59
211200,60
211920,59
212640,55
216960,62
217680,59
218160,59
218880,60
219600,59
220320,55
222240,55
222720,57
223440,59
224160,59
232800,79
233520,78
234240,74
236640,71
237120,81
237600,79
239520,78
241200,74
241920,74
242640,72
244320,72
244800,83
245280,81
247200,79
248160,78
249120,74
252000,71
252480,81
252960,79
254880,78
256560,74
257280,74
258240,72
259680,72
260160,83
260640,81
262560,79
263520,78
264480,78
264960,79
297120,76
297600,76
298080,78
298320,78
299040,79
299520,78
300240,74
300960,71
301440,74
304800,76
305280,76
306000,78
306720,79
307200,78
307920,81
308640,74
309120,76
310080,74
310320,72
310560,71
310800,72
312480,76
312960,76
313680,78
314160,79
314880,78
315600,74
316080,71
316800,74
318720,79
319440,78
320160,74
320640,79
321360,78
322080,74
322560,79
323280,78
324000,74
328800,79
329520,78
330240,74
332640,71
333120,81
333600,79
335520,78
337200,74
337920,74
338640,72
340320,72
340800,83
341280,81
343200,79
344160,78
345120,74
348000,71
348480,81
348960,79
350880,78
352560,74
353280,74
354240,72
355680,72
356160,83
356640,81
358560,79
359520,78
360480,78
361440,79
363360,81
364080,78
364560,78
365280,79
366240,78
367920,74
368640,74
369360,72
371040,72
371520,83
372000,81
373920,79
374880,78
375840,74
378720,71
379200,81
379680,79
381600,78
383280,74
384000,74
384960,72
386400,72
386880,83
387360,81
389280,79
390240,78
391200,78
391680,79
