time,semitone
38400,64
39840,63
41280,66
43200,64
43680,66
44160,68
44640,68
45120,68
45600,69
46080,68
46800,66
47040,68
47520,68
48000,68
48480,69
48960,68
49920,66
52800,63
55680,68
58560,63
61440,64
62880,63
64320,66
66240,64
66720,66
67200,68
67680,68
68160,68
68640,69
69120,68
69840,66
70080,68
70560,68
71040,68
71520,69
72000,68
72960,66
75840,63
78720,68
81600,63
84480,64
86880,61
87360,68
88320,66
89280,64
90240,64
91200,66
91680,63
92640,61
93120,59
95040,63
95520,63
96000,64
98400,61
98880,68
99840,66
100800,64
101760,64
102720,66
103200,63
106560,64
107040,66
107520,66
108480,64
109440,63
110400,64
112320,64
112800,66
113280,68
113760,68
114240,68
114720,69
115200,68
115920,66
116160,68
116640,68
117120,68
117600,69
118080,68
118560,66
119040,68
120480,66
121920,64
124320,64
124800,63
125280,63
125760,63
126240,63
126720,64
127200,66
127680,63
129120,64
129600,66
130080,66
130560,66
131520,64
132480,63
133440,64
135360,64
135840,66
136320,68
136800,68
137280,68
137760,69
138240,68
138960,66
139200,68
139680,68
140160,68
140640,69
141120,68
141600,66
142080,68
143520,66
144960,64
147360,64
147840,63
148320,63
148800,63
149280,63
149760,64
150240,66
150720,71
176640,64
178080,63
179520,66
181440,64
181920,66
182400,68
182880,68
183360,68
183840,69
184320,68
185040,66
185280,68
185760,68
186240,68
186720,69
187200,68
188160,66
191040,63
193920,68
196800,69
198240,68
199680,66
202080,61
202560,68
203520,66
204480,64
205440,64
206400,66
206880,63
207840,61
208320,59
210240,63
210720,63
211200,64
213600,61
214080,68
215040,66
216000,64
216960,64
217920,66
218400,63
221760,69
222240,69
222720,69
223680,68
224640,66
225600,68
227520,64
228000,66
228480,68
228960,68
229440,68
229920,69
230400,68
231120,66
231360,68
231840,68
232320,68
232800,69
233280,68
233760,66
234240,68
235680,66
237120,64
239520,64
240000,63
240480,63
240960,63
241440,63
241920,64
242400,66
242880,63
244320,64
244800,66
245280,66
245760,66
246720,64
247680,63
248640,64
250560,64
251040,66
251520,68
252000,68
252480,68
252960,69
253440,68
254160,66
254400,68
254880,68
255360,68
255840,69
256320,68
256800,66
257280,68
258720,66
260160,64
262560,64
263040,63
263520,63
264000,63
264480,63
264960,64
265440,66
265920,63
317280,61
317760,68
318720,66
319680,64
320640,64
321600,66
322080,63
323040,61
323520,59
325440,63
325920,63
326400,64
328800,61
329280,68
330240,66
331200,64
332160,64
333120,66
333600,63
336960,71
337440,71
337920,71
338880,70
339840,68
340800,70
342720,66
343200,68
343680,70
344160,70
344640,70
345120,71
345600,70
346320,68
346560,70
347040,70
347520,70
348000,71
348480,70
348960,68
349440,70
350880,68
352320,66
354720,66
355200,65
355680,65
356160,65
356640,65
357120,66
357600,68
358080,65
359520,66
360000,68
360480,68
360960,68
361920,66
362880,65
363840,66
365760,66
366240,68
366720,70
367200,70
367680,70
368160,71
368640,70
369360,68
369600,70
370080,70
370560,70
371040,71
371520,70
372000,68
372480,70
373920,68
375360,66
377760,66
378240,65
378720,65
379200,65
379680,65
380160,66
380640,68
381120,73
