time,semitone
14400,60
14640,60
14880,62
15120,64
15360,57
16320,64
16560,62
16800,60
17040,57
17280,59
22080,60
22320,60
22560,62
22800,64
23040,57
24000,64
24240,62
24480,60
24720,69
24960,67
28800,65
29520,72
30000,65
30720,64
31440,65
31920,67
32640,64
33120,64
33360,65
33840,67
34320,62
36480,65
37200,72
37680,65
38400,64
38880,64
39120,72
39840,69
40080,69
40320,67
44640,56
44880,59
45360,64
45840,66
46560,64
46800,63
47760,63
48000,64
48240,63
48720,61
49200,64
49680,59
52320,56
52560,59
53040,64
53520,66
54240,68
54480,66
55440,68
55680,69
56040,68
56400,66
56880,64
57600,69
58080,68
58560,66
58800,64
59280,64
68160,60
68400,60
68640,62
68880,64
69120,57
70080,64
70320,62
70560,60
70800,57
71040,59
75840,60
76080,60
76320,62
76560,64
76800,57
77760,64
78000,62
78240,60
78480,69
78720,67
82560,65
83280,72
83760,65
84480,64
84960,64
85200,72
85920,69
86160,69
86400,67
90720,56
90960,59
91440,64
91920,66
92640,64
92880,63
93840,63
94080,64
94320,63
94800,61
95280,64
95760,59
98400,56
98640,59
99120,64
99600,66
100320,68
100560,66
101520,68
101760,69
102120,68
102480,66
102960,64
103440,68
121440,56
121680,59
122160,64
122640,66
123360,64
123600,63
124560,63
124800,64
125040,63
125520,61
126000,64
126480,59
129120,56
129360,59
129840,64
130320,66
131040,68
131280,66
132240,68
132480,69
132840,68
133200,66
133680,64
134160,68
136800,68
137040,69
137520,68
138000,66
138720,64
138960,63
139920,63
140160,64
140640,63
140880,61
141360,64
141840,59
144480,56
144720,59
145200,64
145680,66
146400,68
146640,66
147600,68
147840,69
148200,68
148560,66
149040,64
149760,69
150240,68
150720,66
150960,64
151440,64
