time,semitone
34320,67
34560,71
35040,71
35280,71
35760,71
36240,72
36720,71
38880,71
39120,71
39600,71
40080,72
40560,71
41040,69
41520,67
42240,66
42720,66
42960,66
43440,67
43920,69
49680,67
49920,74
50160,74
50640,74
51120,71
51600,72
52080,71
54240,71
54480,71
54960,71
55440,72
55920,71
56400,69
56880,67
57600,66
58080,66
58320,66
58800,67
59280,69
64800,69
65280,71
66000,72
66720,72
69600,72
69840,71
70320,72
70800,74
71280,72
71520,71
72480,69
72960,72
73680,72
74400,74
75360,72
77280,72
77520,71
78000,72
78480,74
79200,72
79440,71
80160,69
80640,72
81360,72
82080,79
84960,79
85200,78
85680,79
86160,81
86640,79
87120,78
87840,79
88320,79
90240,78
92160,76
94080,78
96000,81
97440,79
100320,79
100560,78
101040,79
101520,81
102000,79
102480,78
102960,76
103680,83
104400,83
105120,76
108000,79
108240,78
108720,79
109200,81
109680,79
110160,78
110640,76
111360,86
114240,81
115200,81
116160,83
116640,79
118560,76
119040,83
119520,81
119760,81
120240,79
120720,79
121200,78
121680,78
122640,76
122880,78
123360,76
123600,78
124080,79
124560,81
125040,79
125520,78
126000,79
126480,81
128160,79
141840,67
142080,71
142320,71
142800,71
143280,71
143760,72
144240,74
146400,74
146640,74
147120,74
147600,76
148080,74
148560,71
149040,69
149760,66
150240,66
150480,66
150960,67
151440,69
157200,74
157440,79
157680,79
158160,79
158640,79
159120,81
159600,79
161760,79
162000,79
162480,79
162960,81
163440,79
163920,78
164400,74
165120,76
165600,76
165840,76
166320,79
166800,81
167520,79
172320,69
172800,71
173520,72
174240,72
177120,72
177360,71
177840,72
178320,74
178800,72
179040,71
180000,69
180480,72
181200,72
181920,74
182880,72
184800,72
185040,71
185520,72
186000,74
186720,72
186960,71
187680,69
188160,72
188880,72
189600,79
192480,79
192720,78
193200,79
193680,81
194160,79
194640,78
195360,79
195840,79
197760,78
199680,76
201600,78
203520,81
204960,79
207840,79
208080,78
208560,79
209040,81
209520,79
210000,78
210480,76
211200,83
211920,83
212640,76
215520,79
215760,78
216240,79
216720,81
217200,79
217680,78
218160,76
218880,86
221760,81
222720,81
223680,83
224160,79
226080,76
226560,83
227040,81
227280,81
227760,79
228240,79
228720,78
229200,78
230160,76
230400,78
230880,76
231120,78
231600,79
232080,81
232560,79
233040,78
233520,79
234000,81
235680,79
238560,79
238800,78
239280,79
239760,81
240240,79
240720,78
241200,76
241920,83
242640,83
243360,76
246240,79
246480,78
246960,79
247440,81
247920,79
248400,78
248880,76
249600,86
252480,81
253440,81
254400,83
254880,79
256800,76
257280,83
257760,81
258000,81
258480,79
258960,79
259440,78
259920,78
260880,76
261120,78
261600,76
261840,78
262320,79
262800,81
263280,79
263760,78
264240,79
264720,81
266400,79
280080,67
280320,71
280800,71
281040,71
281520,71
282000,72
282480,71
284640,71
284880,71
285360,71
285840,72
286320,71
286800,69
287280,67
288000,71
288480,71
288720,71
289200,71
289680,72
290400,71
295440,67
295680,71
296160,71
296400,71
296880,71
297360,72
297840,71
300000,71
300240,71
300720,71
301200,72
301680,71
302160,69
302640,67
303360,71
303840,71
304080,71
304560,71
305040,72
305760,71
