time,semitone
26640,61
26880,61
27360,59
27600,61
28080,61
28560,59
28800,61
29040,59
29280,61
29520,64
30000,61
30480,61
30720,68
30960,66
31200,64
31440,64
31920,61
32400,61
32640,68
32880,66
33120,64
33360,64
33840,61
34320,59
34560,61
34800,61
35040,59
35280,61
35760,61
36240,59
36480,61
36720,59
36960,61
37200,64
37680,61
38160,61
38400,68
38640,66
38880,64
39120,66
39600,66
39840,64
40080,66
42000,59
42240,61
42480,61
42720,59
42960,61
43440,61
43920,59
44160,61
44400,59
44640,61
44880,64
45360,61
45840,61
46080,68
46320,66
46560,64
46800,64
47280,61
47760,61
48000,68
48240,66
48480,64
48720,64
49200,61
49680,59
49920,61
50160,61
50400,59
50640,61
51120,61
51600,59
51840,61
52080,59
52320,61
52560,64
53040,61
53520,61
53760,68
54000,66
54240,64
54480,66
54960,66
55200,64
55440,66
58080,64
58320,64
58800,64
59280,66
59520,64
59760,63
60000,61
60240,63
61920,63
62160,63
62640,59
63120,66
63360,68
63600,66
63840,64
64080,64
65760,64
66000,64
66480,64
66960,66
67440,64
67920,63
68400,61
68880,68
70320,69
70800,68
73200,68
73440,68
73680,68
74160,64
74640,61
75120,68
75360,68
75600,68
76080,64
76560,61
77040,69
77280,69
77520,69
78000,64
78420,61
78960,69
79200,69
79440,69
79860,64
80400,61
80640,71
80640,68
81840,68
81840,64
82320,64
82320,59
83040,68
83040,64
83280,68
83280,64
83760,69
83760,66
84480,68
84480,64
84720,66
84720,63
85200,66
85200,63
85680,66
85680,61
86160,66
86160,63
95760,61
96000,61
96240,61
96480,59
96720,61
97200,61
97680,59
97920,61
98160,59
98400,61
98640,64
99120,61
99600,61
99840,68
100080,66
100320,64
100560,64
101040,61
101520,61
101760,68
102000,66
102240,64
102480,64
102960,61
103440,59
103680,61
103920,61
104160,59
104400,61
104880,61
105360,59
105600,61
105840,59
106080,61
106320,64
106800,61
107280,61
107520,68
107760,66
108000,64
108240,66
108720,66
108960,64
109200,66
111840,64
112080,64
112560,64
113040,66
113280,64
113520,63
113760,61
114000,63
115680,63
115920,63
116400,59
116880,66
117120,68
117360,66
117600,64
117840,64
119520,64
119760,64
120240,64
120720,66
121200,64
121680,63
122160,61
122640,68
124080,69
124560,68
126960,68
127200,68
127440,68
127920,64
128400,61
128880,68
129120,68
129360,68
129840,64
130320,61
130800,69
131040,69
131280,69
131760,64
132180,61
132720,69
132960,69
133200,69
133620,64
134160,61
134400,71
134400,68
135600,68
135600,64
136080,64
136080,59
136800,68
136800,64
137040,68
137040,64
137520,69
137520,66
138240,68
138240,64
138480,66
138480,63
138960,66
138960,63
139440,66
139440,61
139920,66
139920,63
142320,68
142560,68
142800,68
143280,64
143760,61
144240,68
144480,68
144720,68
145200,64
145680,61
146160,69
146400,69
146640,69
147120,64
147540,61
148080,69
148320,69
148560,69
148980,64
149520,61
149760,71
149760,68
150960,68
150960,64
151440,64
151440,59
152160,68
152160,64
152400,68
152400,64
152880,69
152880,66
153600,68
153600,64
153840,66
153840,63
154320,66
154320,63
154800,66
154800,61
155280,66
155280,63
173280,64
173520,64
174000,64
174480,66
174960,64
175440,63
175920,61
176400,68
177840,69
178320,68
180720,68
180960,68
181200,68
181680,64
182160,61
182640,68
182880,68
183120,68
183600,64
184080,61
184560,69
184800,69
185040,69
185520,64
186000,61
186480,69
186720,69
186960,69
187440,64
187920,61
188160,71
188160,68
189360,68
189360,64
189840,64
189840,59
190560,68
190560,64
190800,68
190800,64
191280,69
191280,66
192000,68
192000,64
192240,66
192240,63
192720,66
192720,63
193200,66
193200,61
193680,66
193680,63
196080,68
196320,68
196560,68
197040,64
197520,61
198000,68
198240,68
198480,68
198960,64
199440,61
199920,69
200160,69
200400,69
200880,64
201360,61
201840,69
202080,69
202320,69
202800,64
203280,61
203520,71
203520,68
204720,68
204720,64
205200,64
205200,59
205920,68
205920,64
206160,68
206160,64
206640,69
206640,66
207360,68
207360,64
207600,66
207600,63
208080,66
208080,63
208560,66
208560,61
209040,66
209040,63
