time,semitone
18720,59
18960,59
19200,59
19680,59
19920,59
20400,59
20880,59
21360,57
21840,59
22320,61
22800,61
26400,59
26640,59
26880,59
27360,59
27600,59
28080,59
28560,59
29040,57
29520,59
30000,61
30480,59
30960,57
31200,54
34080,61
34320,61
34560,61
35040,61
35280,61
35760,61
36240,61
36720,62
38160,62
38400,61
38880,61
39120,61
39600,61
40080,61
40560,62
42000,62
42240,61
42720,61
42960,61
43440,61
43920,61
44400,59
44880,59
45360,57
45840,61
46320,59
49440,59
49680,59
49920,59
50400,59
50640,59
51120,59
51600,59
52080,57
52560,59
53040,61
53520,61
56880,64
57360,64
57600,64
58080,61
58320,61
58800,59
59280,59
59760,57
60240,59
60720,61
61200,57
64560,61
65040,61
65280,61
65760,59
66000,61
66480,59
66960,61
67440,62
68880,59
69120,61
69600,59
69840,61
70320,59
70800,61
71280,62
72720,59
72960,61
73440,62
73680,62
74640,59
74880,61
75360,62
75600,62
76560,64
76800,64
77040,66
77520,66
78000,68
78480,71
82080,64
82560,69
83040,69
83280,69
83760,69
84240,69
84720,69
85200,69
85680,69
86160,68
87840,64
88080,64
89760,64
90240,69
90720,69
90960,69
91440,69
91920,69
92400,69
92880,69
93360,69
93840,68
94800,64
95520,61
96240,62
96720,64
97440,64
97920,66
98400,69
98640,69
99120,69
99600,69
100080,69
100560,69
101040,68
102240,64
102960,66
103440,66
103920,64
105120,64
105600,66
106080,69
106320,69
106800,69
107280,69
107760,66
108960,64
109440,66
110160,69
127920,64
128400,64
128640,64
129120,61
129360,61
129840,59
130320,59
130800,57
131280,59
131760,61
132240,61
135600,64
136080,64
136320,66
136800,69
137040,69
137520,69
138000,69
138480,69
138960,69
139440,66
139920,69
140400,66
143220,61
143700,61
143940,61
144420,59
144660,61
145140,59
145620,61
146100,62
147540,59
147780,61
148260,59
148500,61
148980,59
149460,61
149940,62
151380,59
151620,61
152100,62
152340,62
153300,59
153540,61
154020,62
154260,62
155220,64
155460,64
155700,66
156180,66
156660,68
157140,71
158880,64
159360,69
159840,69
160080,69
160560,69
161040,69
161520,69
162000,69
162480,69
162960,68
164640,64
164880,64
166560,64
167040,69
167520,69
167760,69
168240,69
168720,69
169200,69
169680,69
170160,69
170640,68
171600,64
172320,61
173040,62
173520,64
174240,64
174720,66
175200,69
175440,69
175920,69
176400,69
176880,69
177360,69
177840,68
179040,64
179760,66
180240,66
180720,64
181920,64
182400,66
182880,69
183120,69
183600,69
184080,69
184560,66
185760,64
186240,66
186960,69
216480,64
216960,69
217440,69
217680,69
218160,69
218640,69
219120,69
219600,69
220080,69
220560,68
222240,64
222480,64
224160,64
224640,69
225120,69
225360,69
225840,69
226320,69
226800,69
227280,69
227760,69
228240,68
229200,64
229920,61
230640,62
231120,64
231840,64
232320,66
232800,69
233040,69
233520,69
234000,69
234480,69
234960,69
235440,68
236640,64
237360,66
237840,66
238320,64
239520,64
240000,66
240480,69
240720,69
241200,69
241680,69
242160,66
243360,64
243840,66
244560,69
247200,64
247680,69
248160,69
248400,69
248880,69
249360,69
249840,69
250320,69
250800,69
251280,68
252960,64
253200,64
254880,64
255360,69
255840,69
256080,69
256560,69
257040,69
257520,69
258000,69
258480,69
258960,68
259920,64
260640,61
261360,62
261840,64
262560,64
263040,66
263520,69
263760,69
264240,69
264720,69
265200,69
265680,69
266160,68
267360,64
268080,66
268560,66
269040,64
270240,64
270720,66
271200,69
271440,69
271920,69
272400,69
272880,66
274080,64
274560,66
275280,69
