time,semitone
19200,55
20640,55
20760,57
20880,59
21120,59
21360,60
21480,60
22560,55
22680,54
22800,52
23040,62
23280,60
23400,60
24480,54
24660,55
24840,57
24960,59
26940,55
28320,55
28500,57
28680,59
28800,62
29040,60
29160,60
30600,55
30720,64
30960,64
31080,64
31440,64
31560,64
31800,66
32400,66
32520,64
32700,62
32940,62
33060,62
33300,59
33540,62
33660,64
34320,64
34440,62
34560,60
34800,59
34920,60
35400,59
35580,60
35760,59
35880,57
36360,55
36480,60
36720,59
36840,57
37140,55
37440,57
39360,59
40800,55
40980,57
41160,59
41340,59
41580,60
41700,60
42780,55
42900,54
43020,52
43260,62
43440,60
43560,60
44640,54
44880,55
45000,57
45180,59
46920,55
47040,64
47280,64
47460,64
47820,64
47940,64
48180,66
48720,66
48840,64
48960,62
49200,62
49320,62
49560,59
49800,62
49980,64
50640,64
50760,62
50880,60
51120,59
51240,60
51840,60
52080,59
52200,57
52560,55
52800,60
53040,59
53160,60
53520,62
53760,62
57120,62
57240,64
57360,67
57600,71
57900,62
58020,62
58500,71
58620,69
58860,62
58980,62
59820,67
60060,67
60180,66
60300,64
60540,62
61740,67
61980,67
62100,66
62220,64
62460,62
62940,62
63060,60
63240,59
63360,57
64860,62
64980,64
65040,67
65280,71
65520,62
65640,62
66180,71
66300,69
66480,62
66600,62
67500,67
67740,67
67860,66
67980,64
68220,62
69660,67
69780,66
69900,64
70080,62
70620,62
70740,60
70800,59
71040,57
74880,59
76320,55
76500,57
76680,59
76860,59
77100,60
77220,60
78300,55
78420,54
78540,52
78780,62
78960,60
79080,60
80160,54
80400,55
80520,57
80700,59
82440,55
82560,64
82800,64
82980,64
83340,64
83460,64
83700,66
84240,66
84360,64
84480,62
84720,62
84840,62
85080,59
85320,62
85500,64
86160,64
86280,62
86400,60
86640,59
86760,60
87360,60
87600,59
87720,57
88080,55
88380,64
88620,62
88740,64
88980,69
89280,66
90720,62
90840,64
90960,67
91200,71
91500,62
91620,62
92100,71
92220,69
92460,62
92580,62
93420,67
93660,67
93780,66
93900,64
94140,62
95340,67
95580,67
95700,66
95820,64
96060,62
96540,62
96660,60
96840,59
96960,57
98460,62
98580,64
98640,67
98880,71
99120,62
99240,62
99780,71
99900,69
100080,62
100200,62
101100,67
101340,67
101460,66
101580,64
101820,62
103020,67
103260,67
103380,66
103500,64
103740,62
103980,66
104100,67
104520,59
104700,60
104880,67
105060,67
105480,64
105600,67
105840,69
106080,67
106320,69
106440,71
109440,66
110220,67
110700,62
110940,74
111180,71
111420,69
111900,67
112140,69
112260,71
113340,69
113820,67
114060,69
114180,71
115260,69
116160,68
116320,69
116480,76
134900,62
135020,64
135140,67
135380,71
135620,62
135740,62
136280,71
136400,69
136580,62
136760,62
137540,67
137840,67
137960,66
138080,64
138260,62
139460,67
139700,67
139820,66
139940,64
140180,62
140720,62
140840,60
141020,59
141140,57
142580,62
142700,64
142820,67
143060,71
143300,62
143420,62
143900,71
144020,69
144260,62
144380,62
145220,67
145460,67
145580,66
145700,64
145940,62
147380,67
147500,66
147620,64
147860,62
149300,67
149480,66
149660,69
149780,62
151220,67
151340,66
151460,64
151700,62
152180,62
152360,62
152480,62
152900,74
