time,semitone
10080,71
10200,69
10320,69
10380,67
10560,69
10800,67
10920,67
11280,67
11400,64
11520,67
11760,64
11880,67
12120,69
12360,64
13920,71
14040,69
14160,69
14280,67
14400,69
14640,67
14760,67
14880,64
15120,67
15240,64
15360,67
15600,67
15720,67
16080,69
16320,66
17280,72
17580,71
18660,69
18900,67
19200,72
19560,71
20580,69
20820,67
21060,72
21360,71
21600,69
21840,67
22260,64
22500,67
22800,69
25440,71
25560,69
25680,69
25800,67
25920,69
26160,67
26280,67
26640,67
26760,64
26880,67
27120,64
27240,67
27480,69
27720,64
29280,71
29400,69
29520,69
29640,67
29760,69
30000,67
30120,67
30480,67
30600,64
30720,67
30960,67
31080,67
31320,71
31500,67
31560,69
32640,72
33000,71
34080,69
34320,67
34560,72
34920,71
36000,69
36180,67
36480,72
36720,71
36960,69
37140,67
37680,67
37920,74
38160,74
40560,72
40680,72
40980,71
41280,69
41760,74
42480,74
42600,74
42960,74
43020,74
43440,72
43560,71
44400,72
44520,72
44880,72
45000,72
45300,71
45420,69
45840,71
45960,67
46680,64
46800,67
46920,69
48240,72
48360,72
48660,71
48900,69
49440,74
50160,74
50280,74
50640,74
50760,74
51120,72
51240,71
52080,72
52200,72
52560,72
52680,72
53040,71
53160,69
53460,67
53760,69
54000,71
54240,67
54480,67
56160,71
56400,69
57120,71
57360,67
60000,71
60120,69
60240,69
60360,67
60480,69
60720,67
60840,67
61200,67
61320,64
61440,67
61680,64
61800,67
62040,69
62280,64
63840,71
63960,69
64080,69
64200,67
64320,69
64560,67
64680,67
65040,67
65160,64
65280,67
65520,67
65640,67
65880,67
66000,69
66240,66
67200,72
67560,71
68640,69
68880,67
69120,72
69480,71
70560,69
70740,67
71040,72
71280,71
71460,69
71700,67
72240,67
72480,74
72720,74
75120,72
75240,72
75600,71
75840,69
76320,74
77040,74
77160,74
77520,74
77640,74
78000,72
78120,71
78960,72
79080,72
79440,72
79560,72
79920,71
80040,69
80400,71
80520,67
81240,64
81360,67
81480,69
82800,72
82920,72
83280,71
83520,69
84000,74
84720,74
84840,74
85200,74
85320,74
85680,72
85800,71
86640,72
86760,72
87120,72
87240,72
87600,71
87720,69
88080,67
88320,69
88560,71
88800,66
89040,67
105120,69
105360,71
105600,72
105960,71
107040,69
107220,67
107520,72
107880,71
108960,69
109200,67
109440,72
109680,71
109920,69
110100,67
110640,67
110880,74
111060,74
113520,72
113640,72
114000,71
114240,69
114720,74
115440,74
115560,74
115920,74
115980,74
116400,72
116520,71
117360,72
117480,72
117840,72
117960,72
118320,71
118440,69
118800,71
118920,67
119640,64
119760,67
119880,69
121200,72
121320,72
121620,71
121920,69
122400,74
123120,74
123240,74
123600,74
123720,74
124080,72
124200,71
125040,72
125160,72
125520,72
125640,72
126000,71
126120,69
126420,67
126660,69
126900,71
127200,66
127440,67
128880,72
129000,72
129360,71
129600,69
130080,74
130800,74
130920,74
131280,74
131400,74
131760,72
131880,71
132720,72
132840,72
133200,72
133320,72
133680,71
133800,69
134160,71
134280,67
135000,64
135120,67
135240,69
136500,72
136620,72
136980,71
137220,69
137760,74
138480,74
138600,74
138960,74
139080,74
139440,72
139560,71
140400,72
140520,72
140820,72
140940,72
141360,71
141480,69
141840,67
142080,69
142320,71
142560,66
142800,67
144480,71
144720,69
145440,71
145680,67
148320,71
148560,69
149280,66
149520,67
