time,semitone
10080,55
10320,52
10560,55
10740,52
11040,55
11280,57
11760,55
12960,53
13140,52
13380,53
13680,53
13920,52
14160,48
17760,55
18000,52
18180,55
18420,52
18660,55
18960,57
19440,55
19860,57
20340,60
20880,55
21120,57
21360,60
21600,57
21840,60
24480,55
24720,64
26400,64
26640,62
27300,60
27600,59
28500,55
28800,57
29040,60
29280,57
29520,60
32160,55
32340,67
32880,64
34020,64
34320,62
34980,60
35280,59
36000,60
36480,65
36720,64
36960,62
37200,60
37920,57
38160,62
39360,60
39840,67
40320,64
41040,62
41280,64
43200,64
43440,62
43680,60
43920,64
44160,62
44820,55
45060,62
47040,62
47280,60
47520,59
47760,59
48000,60
48660,53
48900,60
50640,59
50880,60
51060,59
51300,57
51540,59
51840,59
52560,60
53040,55
54180,64
54420,64
54660,67
55020,65
55380,64
55620,64
56340,65
56880,60
58620,62
58800,60
59040,59
59280,60
59520,62
60900,67
61380,62
61440,64
62400,57
62880,59
63360,60
64080,62
64320,60
65460,60
65760,60
65940,59
66240,57
66900,59
67440,60
71520,55
71700,52
71940,55
72240,52
72480,55
72720,57
73200,55
74400,53
74580,52
74820,53
75060,53
75300,52
75540,48
79200,55
79440,52
79680,55
79860,52
80160,55
80340,57
80820,55
81300,57
81780,60
82260,55
82500,57
82740,60
82980,57
83220,60
85920,55
86160,64
87840,64
88020,62
88740,60
88980,59
89940,55
90180,57
90420,60
90720,57
90900,60
93540,55
93780,67
94080,64
95520,64
95760,62
96420,60
96660,59
97380,60
97920,65
98100,64
98340,62
98580,60
99300,57
99540,62
100740,60
101220,67
101760,64
102480,62
102660,64
104640,64
104880,62
105060,60
105300,64
105600,62
106260,55
106500,62
108420,62
108660,60
108900,59
109140,59
109440,60
110100,53
110400,60
111120,59
112020,59
112320,60
112560,59
112740,57
112980,59
113280,59
114000,60
114420,55
115680,64
115920,64
116100,67
116520,65
116820,64
117120,64
117780,65
118260,60
120000,62
120240,60
120420,59
120720,60
120900,62
122340,67
122820,64
123780,57
124260,59
124740,60
125520,62
125700,60
126900,60
127140,60
127380,59
127620,57
128160,59
128640,60
137220,60
137700,67
138240,64
138960,62
139140,64
141120,64
141360,62
141540,60
141780,64
142080,62
142740,55
142980,62
144900,62
145140,60
145380,59
145620,59
145920,60
146580,53
146880,60
147600,59
148500,59
148800,60
149040,59
149220,57
149460,59
149760,59
150480,60
150900,55
152160,64
152400,64
152580,67
153000,65
153300,64
153600,64
154260,65
154740,60
156480,62
156720,60
156900,59
157200,60
157380,62
158820,67
159300,64
160260,57
160740,59
161220,60
162000,62
162180,60
163380,60
163620,60
163860,59
164100,57
164640,59
165120,60
168000,57
168480,59
168900,60
169680,62
169860,60
171060,60
171300,60
171540,59
171840,57
172800,59
174240,60
