time,semitone
17280,73
17280,66
17280,63
17280,58
17520,66
18000,66
19200,63
19200,60
19200,56
20160,72
20520,73
20820,75
21060,70
21120,65
21120,61
21120,56
21180,72
21480,68
21840,68
22080,68
24720,72
24960,70
24960,66
24960,63
24960,58
25260,66
25680,66
25920,66
26640,65
26760,66
26880,65
26880,65
26880,60
26880,57
27840,72
28200,73
28560,69
28800,70
28800,65
28800,61
28800,58
28860,72
29160,70
29520,65
32640,73
32640,66
32640,63
32640,58
32940,66
33360,66
34560,63
34560,60
34560,56
35460,70
35520,72
35820,73
36180,75
36420,70
36480,72
36480,65
36480,61
36480,56
36780,68
37200,68
37440,68
40080,72
40320,70
40320,66
40320,63
40320,58
40620,66
41040,66
41280,66
42000,66
42240,65
42240,60
42240,57
42480,65
43200,72
43560,73
43860,69
44160,70
44160,65
44160,61
44160,58
44220,72
44880,73
45000,72
45120,70
48000,77
48480,78
48720,77
49200,70
49680,70
49920,72
50760,70
50880,72
51240,73
51540,75
51780,73
51900,75
52260,77
52560,75
53040,68
53460,68
53700,70
54720,72
55020,73
55380,75
55620,73
55740,75
56100,77
56340,75
56880,73
57360,72
58560,72
58920,73
59280,69
59520,70
59640,72
60240,70
63360,77
63840,78
64080,77
64560,70
65040,70
65280,72
66180,70
66240,72
66600,73
66960,75
67200,73
67260,75
67620,77
67920,75
68400,68
68880,68
69120,70
70080,72
70440,73
70800,75
70980,73
71100,75
71520,77
71760,75
72240,73
72720,72
73920,72
74280,73
74640,69
74820,70
74940,72
75600,70
78720,73
78960,66
79440,66
81600,72
81960,73
82260,75
82500,70
82620,72
82920,68
83280,68
83520,68
86160,72
86400,70
86700,66
87120,66
87360,66
88080,65
88200,66
88320,65
89280,72
89640,73
90000,69
90240,70
90300,72
90600,70
90960,65
94080,73
94380,66
94800,66
96900,70
96960,72
97260,73
97620,75
97860,70
97920,72
98220,68
98640,68
98880,68
101520,72
101760,70
102060,66
102480,66
102720,66
103440,66
103920,65
104640,72
105000,73
105300,69
105600,70
105660,72
106320,73
106440,72
106560,70
109440,77
109920,78
110160,77
110640,70
111120,70
111360,72
112200,70
112320,72
112680,73
112980,75
113220,73
113340,75
113700,77
114000,75
114480,68
114900,68
115140,70
116160,72
116460,73
116820,75
117060,73
117180,75
117540,77
117780,75
118320,73
118800,72
120000,72
120360,73
120720,69
120960,70
121080,72
121680,70
124800,77
125280,78
125520,77
126000,70
126480,70
126720,72
127620,70
127680,72
128040,73
128400,75
128640,73
128700,75
129060,77
129360,75
129840,68
130320,68
130560,70
131520,72
131880,73
132240,75
132420,73
132540,75
132960,77
133200,75
133680,73
134160,72
135360,72
135720,73
136080,69
136260,70
136380,72
137040,70
170880,77
171360,78
171600,77
172080,70
172560,70
172800,72
173640,70
173760,72
174120,73
174420,75
174660,73
174780,75
175140,77
175440,75
175920,68
176340,68
176580,70
177600,72
177900,73
178260,75
178500,73
178620,75
178980,77
179220,75
179760,73
180240,72
181440,72
181800,73
182160,69
182400,70
182520,72
183120,70
186240,77
186720,78
186960,77
187440,70
187920,70
188160,72
189060,70
189120,72
189480,73
189840,75
190080,73
190140,75
190500,77
190800,75
191280,68
191760,68
192000,70
192960,72
193320,73
193680,75
193860,73
193980,75
194400,77
194640,75
195120,73
195600,72
196800,72
197160,73
197520,69
197700,70
197820,72
198480,70
201600,77
202080,78
202320,77
202800,70
203280,70
203520,72
204360,70
204480,72
204840,73
205140,75
205380,73
205500,75
205860,77
206160,75
206640,68
207060,68
207300,70
208320,72
208620,73
208980,75
209220,73
209340,75
209700,77
209940,75
210480,73
210960,72
212160,72
212520,73
212880,69
213120,70
213240,72
213840,70
216960,77
217440,78
217680,77
218160,70
218640,70
218880,72
219780,70
219840,72
220200,73
220560,75
220800,73
220860,75
221220,77
221520,75
222000,68
222480,68
222720,70
223680,72
224040,73
224400,75
224580,73
224700,75
225120,77
225360,75
225840,73
226320,72
227520,72
227880,73
228240,69
228420,70
228540,72
229200,70
231360,72
231720,73
232080,69
232320,70
232380,72
233040,70
235200,72
235560,73
235920,69
236160,70
236220,72
236880,70
