time,semitone
36000,62
36480,62
36960,60
37440,59
37860,62
40080,55
40260,62
40740,60
41280,59
41760,62
43860,55
44160,62
44580,64
44880,62
45360,64
45780,65
46260,64
47520,62
47940,60
48480,62
48660,60
49200,62
49620,60
51600,55
51840,60
52260,62
52500,60
52980,62
53520,63
54000,62
55140,60
55680,59
56160,64
57120,66
58020,67
59280,59
59460,66
60000,67
60420,66
60900,59
62880,59
63060,59
63360,62
63840,64
64080,62
65040,59
65280,62
65760,64
66000,62
70560,62
71040,62
71520,60
71940,59
72420,62
74640,55
74880,62
75360,60
75780,59
76260,62
78420,55
78720,62
79140,64
79440,62
79860,64
80340,65
80880,64
82080,62
82500,60
82980,62
83280,60
83760,62
84240,60
86160,55
86400,60
86820,62
87120,60
87540,62
88020,63
88500,62
89700,60
90240,59
90720,64
91680,66
92640,67
93780,59
94020,66
94500,67
94980,66
95460,59
97440,59
97620,59
97920,62
98400,64
98640,62
99600,59
99840,62
100260,64
100560,62
103440,62
103680,62
104100,64
104400,67
104880,69
105300,71
106800,62
107280,63
108720,63
109200,71
110640,71
111120,65
114240,64
114660,64
115140,66
115860,67
116580,72
120240,62
120720,71
122160,62
122640,63
124080,63
124500,71
126000,71
126480,65
128580,64
129600,64
130080,64
130500,66
131280,67
132000,72
139680,62
140160,62
140640,60
141060,59
141540,62
143760,55
144000,62
144420,60
144960,59
145380,62
147600,55
147840,62
148320,64
148560,62
149040,64
149460,65
149940,64
151140,62
151680,60
152160,62
152400,60
152880,62
153300,60
155280,55
155520,60
155940,62
156180,60
156660,62
157140,63
157620,62
158820,60
159360,59
159840,64
160740,66
161700,67
162900,59
163140,66
163680,67
164100,66
164640,59
166560,59
166800,59
167040,62
167520,64
167760,62
168780,59
168960,62
169440,64
169680,62
172560,62
172800,62
173220,64
173460,67
174000,69
174480,71
175920,62
176400,63
177840,63
178320,71
179820,71
180240,65
182400,64
183360,64
183780,64
184260,66
184980,67
185760,72
189360,62
189840,71
191280,62
191760,63
193200,63
193620,71
195120,71
195600,65
197760,64
198720,64
199140,64
199620,66
200340,67
201120,72
211680,71
211920,71
212400,71
212820,72
213360,71
213780,67
214740,62
214980,72
215220,71
215760,67
216180,69
216660,67
217140,69
217440,71
226980,71
227220,71
227700,71
228180,72
228660,71
229140,67
230040,62
230340,72
230580,71
231060,67
231540,69
232020,67
232500,69
232800,71
256800,62
257280,62
257760,60
258240,59
258660,62
260880,55
261120,62
261540,60
262020,59
262500,62
264660,55
264900,62
265380,64
265680,62
266100,64
266640,65
267120,64
268260,62
268740,60
269280,62
269520,60
270000,62
270420,60
272400,55
272640,60
273060,62
273300,60
273780,62
274260,63
274740,62
275940,60
276420,59
277020,64
277920,66
278820,67
280020,59
280320,66
280740,67
281220,66
281700,59
283680,59
283860,59
284100,62
284640,64
284880,62
285840,59
286080,62
286500,64
286800,62
289680,62
289920,62
290340,64
290640,67
291120,69
291600,71
293040,62
293520,63
294960,63
295440,71
296940,71
297360,65
299520,64
300480,64
300900,64
301380,66
302100,67
302820,72
306480,62
306960,71
308400,62
308880,63
310320,63
310740,71
312240,71
312720,69
313140,67
313680,69
314460,64
314880,67
315360,64
315780,64
316320,64
316740,66
317460,67
318180,72
321840,62
322320,71
323760,62
324240,63
325680,63
326100,71
327600,71
328080,65
330240,64
331200,64
331620,64
332100,66
332880,67
333600,72
336480,72
336720,72
336960,72
337200,72
337440,72
337920,71
339120,62
339600,63
341100,63
341520,71
342960,71
343440,69
343920,67
344400,69
344940,64
345360,67
346080,64
346500,64
346980,64
347460,66
348180,67
348960,72
357120,71
360480,69
361440,67
363780,69
364020,67
364500,67
365040,69
365280,71
